ID,Name,Dec
1000.0,การสรรหาทองคำ,รับสมัคร 1 ผู้เล่นแบบสุ่มพร้อมสถิติแบบรวมที่อยู่เหนือ 81
1001.0,แพคเกจทองคำ,รับสมัครผู้เล่นแบบสุ่ม 5 คนที่มีสถิติแบบรวมที่อยู่เหนือ 81
1002.0,การสรรหาผู้เล่น,รับสมัคร 1 ผู้เล่นแบบสุ่ม
1003.0,การสรรหาเงิน,รับสมัคร 1 ผู้เล่นแบบสุ่มพร้อมสถิติแบบรวมที่อยู่เหนือ 76
1004.0,การสรรหาทองคำ,รับสมัคร 1 ผู้เล่นแบบสุ่มพร้อมสถิติแบบรวมที่อยู่เหนือ 81
1005.0,การสรรหาแพลทินัม,รับสมัคร 1 ผู้เล่นแบบสุ่มที่มีเกรดเฉลี่ยรวม 84 หรือสูงกว่า
1006.0,แพคเกจพื้นฐาน,รับสมัคร 5 ผู้เล่นสุ่ม
1007.0,แพคเกจเงิน,รับสมัครผู้เล่นแบบสุ่ม 5 คนพร้อมสถิติแบบรวมที่อยู่เหนือ 76
1008.0,แพคเกจทองคำ,รับสมัครผู้เล่นแบบสุ่ม 5 คนที่มีสถิติแบบรวมที่อยู่เหนือ 81
1009.0,แพคเกจแพลทินัม,รับสมัครผู้เล่นแบบสุ่ม 5 คนที่มีเกรดเฉลี่ยรวม 84 หรือสูงกว่า
1010.0,2021 การสรรหา,รับสมัคร 1 ผู้เล่นแบบสุ่มจากฤดูกาล 21SPR-21SUM
1011.0,แพคเกจ 2021, (ไม่รวมถึงข้อ จำกัด )
1012.0,ฤดูกาลที่ผ่านมาการสรรหา,รับสมัคร 5 ผู้เล่นแบบสุ่มจากฤดูกาล 21SPR-21SUM
1013.0,แพ็คเกจฤดูกาลก่อนหน้า, (ไม่รวมถึงข้อ จำกัด )
1014.0,Rekrutierung der vorherigen Saison,5 zufällige Spieler aus der 18- bis 20. Saison werden rekrutiert.
1015.0,Vorgängeres Paket, (Ohne Einschränkung)
1016.0,Rekrutierung von Coach,Ein zufälliger Spieler aus der 18- bis 20. Saison wird rekrutiert.
1017.0,Den Teamnamen ändern, (Ohne Einschränkung)
1016.0,Thay đổi tên nhóm,Thay đổi tên nhóm của bạn.
1017.0,Thay đổi tên nhóm,Thay đổi tên nhóm của bạn.
1012.0,Changer le nom de l'équipe,Changez le nom de votre équipe.
1013.0,Changer le nom de l'équipe,Changez le nom de votre équipe.
1012.0,Rekrutierung der vorherigen Saison,Ein zufälliger Spieler aus der 18- bis 20. Saison wird rekrutiert.
1013.0,Vorgängeres Paket, (Ohne Einschränkung)
