ID,Dec
11000,ทีมของคุณชนะลีกด้วยการฝึกที่ยอดเยี่ยม! มาเตรียมที่จะชนะการแข่งขันชิงแชมป์โลก
11001,แม้ว่ามันจะไม่ชนะ แต่ก็ทำได้ดีมาก หิมะอาบน้ำทำในแชมป์โลก!
11002,มันไม่ใช่การแข่งขันชิงแชมป์ อย่างไรก็ตามเราประสบความสำเร็จในการก้าวไปสู่การแข่งขันชิงแชมป์โลก!
11003,มันไม่ใช่การแข่งขันชิงแชมป์ แต่มันเป็นอันดับที่ดีที่จะลองชนะในฤดูกาลหน้า
11004,หลีกเลี่ยงที่เลวร้ายที่สุด แต่มันไม่ใช่การจัดอันดับที่ดี สำหรับการจัดอันดับที่สูงขึ้น} ฉันคิดว่ามันต้องการการบำรุงรักษา
11005,เราสิ้นสุดฤดูกาลในตำแหน่งที่เลวร้ายที่สุด สำหรับแฟน ๆ ที่สนับสนุนเรา} เราไปต่ออีกครั้งสำหรับฤดูกาลหน้า
11006,ทีมชนะการแข่งขันชิงแชมป์โลกด้วยการฝึกสอนที่ยอดเยี่ยม! ผู้เล่นและแฟน ๆ เฉลิมฉลองคำสั่งที่ยอดเยี่ยมของคุณ ขอแสดงความยินดี
11007,มันไม่ชนะ แต่มันก็เป็นงานที่ยอดเยี่ยม ลองชนะการแข่งขันชิงแชมป์โลกในฤดูกาลหน้า!
11008,น่าเสียดายที่มันเป็นเกรดที่ดี เรามาเพิ่มพลังของเราในฤดูกาลหน้าและพยายามที่จะชนะแชมป์โลกต่อไป
11009,คุณได้เข้าร่วมทัวร์นาเมนต์เรียบร้อยแล้ว ฤดูกาลหน้าเรามาหัวเพื่อการแข่งขันที่สูงขึ้น
11010,น่าเสียดายที่ทัวร์นาเมนต์ล้มเหลว น่าเสียดายที่ Let's ก้าวไปสู่การแข่งขันชิงแชมป์โลกในฤดูกาลหน้าและตั้งเป้าหมายสำหรับการแข่งขันชิงแชมป์
20000,นิทรรศการ / การดำเนินงานสาย
20001,สมดุล
20002,การต่อสู้
20003,กำหนดเอง
21000,มันเป็นกลยุทธ์ในการม้วนสโนว์บอลตามการต่อสู้ที่แข็งแกร่ง {{-it เหมาะเมื่อคุณมีการต่อสู้ที่แข็งแกร่ง {you สามารถเปลี่ยนกลับเป็นหนึ่งนัดเมื่อคุณมีการระเบิดที่อ่อนแอ
21001,Operation} Hanta} เล่นเกมในวิธีที่สมดุล {{- นี้เหมาะสมเมื่อความสามารถของผู้เล่นเป็นแม้กระทั่ง
21002,มันเป็นกลยุทธ์ที่มุ่งเป้าไปที่การยิงครั้งเดียวผ่านนัดเดียว {{-It เหมาะเมื่อทีมมีความสามารถเดียวที่แข็งแกร่ง {
21003,นี่คือกลยุทธ์ของคุณ
22000,ศูนย์กลางของเกม
22001,ศูนย์กลางของการโก่ง
22002,คำสั่งหลัก
23000,เลือกความสามารถในการเป็นศูนย์กลางของเกม สถิติของทีมจะเพิ่มขึ้น แทน} ส่วนที่เหลือของพลังงานตก
23001,Jungler ตัดสินใจให้สายสำหรับ Gankinging
23002,ตั้งตำแหน่งที่มุ่งเน้นไปที่การดำเนินการ คำสั่งหลักจะเพิ่มสัดส่วนการทำงานของทีม
24000,สมดุล
24001,ไลน์
24002,การต่อสู้
24003,การดำเนินงาน
24004,สมดุล
24005,ด้านบน
24006,กลาง
24007,ด้านล่าง
24008,ด้านบน
24009,ป่า
24010,กลาง
24011,โฆษณา
24012,สนับสนุน
25000,โจมตี
25001,สมดุล
25002,เรือบรรทุกน้ำมัน
25003,โจมตี
25004,สมดุล
25005,เรือบรรทุกน้ำมัน
25006,โจมตี
25007,สมดุล
25008,ผู้สนับสนุน
25009,โจมตี
25010,สมดุล
25011,ยูทิลิตี้
25012,โจมตี
25013,สมดุล
25014,เรือบรรทุกน้ำมัน
26000,กดคู่ต่อสู้อย่างมากในบรรทัด นอกจากนี้ยังควบคุมการทำงานผ่านการแยก {{▲สถิติการดำเนินงานเพิ่มขึ้น {{-points ได้รับหรือสูญหายในการเพิ่มขึ้นของบรรทัด {{▼ hanta stat จะลดลง
26001,รถถังดีลพื้นฐาน
26002,อิทธิพลจะลดลงในการต่อสู้ของสาย อย่างไรก็ตาม} เขาแข็งแกร่งขึ้นที่ฮันตา {{▲ Hanta ความสามารถจะเพิ่มขึ้น {{-points ได้รับหรือสูญหายที่บรรทัดลดลง {{▼สถิติการดำเนินงานลดลง
26003,ganking กลายเป็นพลัง อย่างไรก็ตาม} มีความเสี่ยงสูงในการ ganking failure {{▲สถิติสายเพิ่มขึ้น {{
26004,รถถังดีลพื้นฐาน
26005,ความสามารถในการ ganking ลดลง อย่างไรก็ตาม} ความสามารถในการกดปุ่มเพิ่มขึ้น {{▲ความสามารถในการกดปุ่มเพิ่มขึ้น {{▼ความสามารถของผู้เล่นตัวจริงลดลง
26006,กดคู่ต่อสู้อย่างมากในบรรทัด นอกจากนี้ยังควบคุมการทำงานผ่านการแยก {{▲สถิติการดำเนินงานเพิ่มขึ้น {{-points ได้รับหรือสูญหายในการเพิ่มขึ้นของบรรทัด {{▼ hanta stat จะลดลง
26007,Nuker Champ ขั้นพื้นฐาน
26008,เป้าหมายคือการปรับปรุงความสามารถของคนหนึ่ง {{▲สถิติของ DIL เพิ่มขึ้น
26009,วันแรกมีพลัง อย่างไรก็ตาม} เมื่อเวลาผ่านไป} มันจะอ่อนแอลง {{▲เรียงลำดับจนถึง 20 นาทีแรก} ความสามารถของ Hanta เพิ่มขึ้น {{▼ความสามารถของฮันตาลดลงจากครึ่งหลัง
26010,แชมป์ข้อตกลงพื้นฐานขั้นพื้นฐาน
26011,มุ่งเน้นไปที่การช่วยเหลือทีมมากกว่าบทบาทของ Carrie {{▲สถิติการดำเนินงานเพิ่มขึ้น {{~ ▼บรรทัดสถิติลงไป
26012,การต่อสู้ของเส้นมีประสิทธิภาพ อย่างไรก็ตาม} มันเป็นอันตรายที่จะใช้งานกับสุขภาพที่ต่ำ {{▲สถิติออนไลน์เพิ่มขึ้นเพิ่มขึ้น {{-points ได้รับหรือสูญหายจากการเพิ่มการดำเนินงาน
26013,Champ Supporter พื้นฐาน
26014,อ่อนแอในบรรทัด อย่างไรก็ตามมันแข็งแกร่งในฮันตา {{▲ Hanta Stat เพิ่มขึ้น {{~ ~ stat stat จะลดลง
30000,หากคุณไม่สามารถลงชื่อเข้าใช้ Google คุณไม่สามารถเล่นผู้เล่นหลายคนได้ กรุณาเข้าสู่ระบบ Google
30001,มีจุดสิ้นสุดที่ผิดปกติของเกมในช่วงการแข่งขันหลายนัดสุดท้าย เกมถูกริบ
30002,ขอแสดงความยินดี! คุณได้รับการเลื่อนตำแหน่งให้เป็นระดับต่อไป!
30003,คุณถูกลดระดับเนื่องจากความพ่ายแพ้อย่างต่อเนื่อง
30004,การลงชื่อเข้าใช้
30005,มีปัญหา เหตุผลสำหรับปัญหา:
30006,การเชื่อมต่ออินเทอร์เน็ตหายไป เมื่อคุณมีการเชื่อมต่ออินเทอร์เน็ต} คุณจะถูกเชื่อมต่อใหม่โดยอัตโนมัติ
30007,อินเทอร์เน็ตถูกตัดการเชื่อมต่อระหว่างการแข่งขันหลายนัด {ถ้าคุณคลิกตกลง} คุณจะออกจากสนามกีฬา
30008,มีปัญหาในการค้นหาคู่ต่อสู้ของคุณ {กดตกลงเพื่อออกจากสนามกีฬา
30009,เกมนี้ไม่ทันสมัย คุณต้องอัปเดตเป็นเวอร์ชันล่าสุดเพื่อเล่นการแข่งขัน {{กดปุ่มด้านล่างเพื่อตรวจสอบเวอร์ชันอีกครั้ง} หรือไปที่หน้าการอัพเดท
30010,การตรวจสอบ
30011,มันไม่ใช่รุ่นล่าสุด
30012,นาที
30013,คุณได้รับการรายงานว่าเป็นผู้เล่นโกงและไม่สามารถเล่นเกมที่มีผู้เล่นหลายคน {{โปรดส่งอีเมล {hucce@gmail.com สำหรับคำถามใด ๆ
30014,คุณลงทะเบียนเป็นผู้เล่นโกง
30015,ตรวจสอบเซิร์ฟเวอร์แบบมัลติเพลย์ โปรดรอจนกว่าการตรวจสอบจะสิ้นสุดลง
30016,ไม่สามารถโหลดรายการ กรุณาเข้าสู่ระบบ Google ในการเล่นซ้ำ
31000,ขอบคุณสำหรับการเล่นเกม รีวิวของคุณเป็นความช่วยเหลือที่ดีสำหรับนักพัฒนา คุณจะได้รับ 300 เอสเซ้นส์เป็นรางวัล
32000,ขอบคุณที่ดูโฆษณา คลิกตกลงเพื่อรับรางวัลการดูของคุณ
32001,โฆษณาข้ามคุณต้องดูโฆษณาจนถึงจุดจบเพื่อรับรางวัล
32002,ไม่สามารถดึงโฆษณาได้โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ
36000,คะแนนลีก
36001,ม
36002,W
36003,l
36004,ประวัติศาสตร์
36005,ด้านบน
36006,ผลการแข่งขัน
36007,รับ
36008,สมบูรณ์
36009,ไม่สมบูรณ์
36010,ลิงค์
36011,ฤดูกาล
33000,การอัพเกรดเป็นไปได้มากถึงระดับ 10 เท่านั้น
33001,ความสำเร็จ
33002,ความล้มเหลว
33003,ความน่าจะเป็นของความสำเร็จ
33004,ความแตกต่าง
33005,คุณต้องการข้ามการกวดวิชาหรือไม่? คุณไม่สามารถรับรางวัลจากการกวดวิชาได้
33006,ภาษาจะเปลี่ยนเมื่อคุณรีสตาร์ทเกม
34000,ตรวจสอบเวอร์ชันบริการของ Google Play
34001,Google Play เข้าสู่ระบบเสร็จสมบูรณ์
34002,การเข้าสู่ระบบเซิร์ฟเวอร์เสร็จสมบูรณ์
34003,Cloud บันทึกการยืนยันเสร็จสมบูรณ์
34004,นำเข้าข้อมูลเสร็จสมบูรณ์
34005,ลองอีกครั้ง
34006,ข้อผิดพลาด! โหลดไปที่โหมดออฟไลน์
33007,รอบ
33008,ไลน์
33009,การต่อสู้
33010,การดำเนินงาน
33011,ด้านบน
33012,กลาง
33013,ด้านล่าง
33014,ความพ่ายแพ้ครั้งยิ่งใหญ่
33015,ความพ่ายแพ้
33016,งุ่มง่าม
33017,การโต้แย้ง
33018,ความเหนือกว่า
33019,ชัยชนะ
33020,ชัยชนะที่ยิ่งใหญ่
33021,ทีม Jungler Ganking
33022,วัน
33023,รางวัลสิ้นสุดฤดูกาล
33024,เพื่อนของคุณได้รับการร้องขอแล้ว
33025,เพื่อนอยู่แล้ว
33026,คุณแน่ใจหรือว่าต้องการลบเพื่อนคนนี้?
33027,คัดลอกกลยุทธ์
33028,ชนิด
33029,ห้าม
33030,การประกาศ
33031,ข้อผิดพลาด / ข้อเสนอแนะ
33032,เชิญผู้จัดการ เป็นผู้จัดการทีมฮ่า ๆ
33033,คะแนนสุดท้าย
33034,รางวัลสุดท้าย
33035,ฤดูกาลเริ่มต้น
33036,ฤดูกาลใหม่เริ่มขึ้นแล้ว
33037,หอเกียรติยศ
33038,พักผ่อน
33039,สาระสำคัญไม่เพียงพอ
37000,ไม่มี
37001,แก่นแท้
37002,แพ็ค
37003,แพคเกจ
38000,ทั้งหมด
38001,เงิน
38002,ทอง
38003,แพลทินัม
33040,ทั้งหมด
33041,เงิน
33042,ทอง
33043,แพลทินัม
33044,เพชร
33045,ผู้ท้าชิง
33046,ต้นแบบ
33047,การสรรหา
33048,แพคเกจ
33049,การนำเสนอ
33050,รวมถึงข้อ จำกัด
33051,จำกัด เท่านั้น
33052,การแลกเปลี่ยน
33053,เพิ่ม
33054,ลบ
33055,รวม
33056,สถิติ
33057,บรอนซ์
33058,จนกว่าจะอัพเกรดอันดับต่อไป
33059,ย้าย
33060,รับ
33061,ผู้เล่นคนเดียวกันอยู่ในรายการเริ่มต้นแล้ว
33062,ไม่มีข้อมูล.
33063,ข้อมูลผิดปกติ
33064,เหตุผล
33065,ถัดไปเริ่มต้นวันที่เริ่มต้น
33066,เกิดข้อผิดพลาดขณะสร้างทัวร์นาเมนต์ {{touch ลองใหม่เพื่อสร้างทัวร์นาเมนต์ใหม่
33067,เซิร์ฟเวอร์กำลังรับข้อมูล
33068,ไม่ได้รับข้อมูลอย่างถูกต้อง
33069,การนำเสนอผู้เล่นซีซั่น
33070,รายการชิงแชมป์โลก
33071,ผู้เล่นที่เลือกที่เปิดตัวในลีกในปีนี้และหวังว่าจะได้อนาคต มันสามารถรับได้เป็นรางวัลฤดูกาลเท่านั้น
33072,คุณต้องการหยุดการจับคู่อัตโนมัติหรือไม่? {รายการที่ใช้แล้วจะหายไป
