ID,Korean,Dec
1000,효과음,ध्वनि प्रभाव
1001,배경음,पृष्ठभूमि आवाज
1002,언어,भाषा: हिन्दी
1003,만든이: 허민구{연락: huccce@gmail.com,द्वारा निर्मित: heo min-gu {संपर्क: hucccce@gmail.com
1004,불러오는 중 /{구글 로그인,लोड हो रहा है / {Google साइन इन करें
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<ध्यान> {{एक से अधिक डेटा हैं। लोड करने के लिए कृपया डेटा का चयन करें। {अवांछित डेटा हटा दिया जाएगा।
1006,팀이름,टीम का नाम
1007,라운드,गोल
1008,정수,सार
1009,저장날짜,तिथि बचाओ
1010,결정,फेसला
1011,경기,मैच
1012,리그,संघ
1013,전략,रणनीति
1014,선수{관리,खिलाड़ी {प्रबंधन
1015,영입{시장,भर्ती {बाजार
1016,멀티{대전,बहु {मैच
1017,계정,लेखा
1018,순위,पद
1019,승,डब्ल्यू
1020,패,एल
1021,라인전,लाइन
1022,한타,दल की लड़ाई
1023,운영,ऑपरेशन
1024,포지션,पद
1025,이름,नाम
1026,종합,संपूर्ण
1027,일정,पंचांग
1028,상대팀,विरोधी टीम
1029,총합,संपूर्ण
1030,결과,परिणाम
1031,승리,विजय
1032,패배,हार
1033,간편,सरल
1034,지침,दिशानिर्देश
1035,픽밴,प्रतिबंध लगाना
1036,설정,सेट
1037,설명,व्याख्या
1038,라인,लाइन
1039,타입,प्रकार
1040,등급,रेटिंग
1041,강화,सुदृढ़
1042,재조합,पुनर्संयोजन
1043,팀케미,टीम केमी
1044,선발 선수,प्रारंभिक खिलाड़ी
1045,후보 선수,उप खिलाड़ी
1046,레벨 포인트,स्तर बिंदु
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),टीम चेमी (▲ 2) {वर्ष केमि (▲ 1) {टाइप चेमी (▲ 1) {लीग चेमी (▲ 1)
1048,케미스트리,रसायन विज्ञान
1049,재조합 선수,रीकॉम्बीनेंट खिलाड़ी
1050,제거,हटाना
1051,강화 선수,सुदृढीकरण खिलाड़ी
1052,재료 선수,सामान खिलाड़ी
1053,성공확률:,सफलता मौका:
1054,영입시장,भर्ती बाजार
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,पुरस्कार प्राप्त करने के लिए प्रायोजित विज्ञापन देखें।
1056,5번 보시면 200정수를 추가로 드립니다.,यदि आप 5 बार देखते हैं} आपको अतिरिक्त 200xence प्राप्त होगा।
1057,골드 영입,सोने की भर्ती
1058,실버 선수,रजत खिलाड़ी
1059,시청,घड़ी
1060,플레,प्लैटिनम
1061,골드,सोना
1062,선수명단,खिलाड़ी सूची
1063,가격,कीमत
1064,추천,सिफारिश
1065,구입,खरीद
1066,탑 랭킹,बेवकूफ बनाने के लिए
1067,내 순위,मेरी रैंक
1068,새로고침시간,ताज़ा समय
1069,대전정보,मैच जानकारी
1070,대전찾기,मिलान खोज
1071,선수,खिलाड़ी
1072,감독,मैनेजर
1073,로그인,लॉग इन करें
1074,확인,पुष्टि करें
1075,일일,दिन
1076,업적,उपलब्धियों
1077,기타,आदि
1078,보상,इनाम
1079,공지사항,नोटिस
1080,계속,जारी रखें
1081,이곳을 눌러 입력,प्रवेश करने के लिए यहां दबाएं
1082,최종순위,अंतिम रैंक
1083,시즌 보상:,सीजन इनाम:
1084,스킵,छोड़ें
1085,예,हाँ
1086,아니오,नहीं न
1087,터치 하면 게임 시작,खेल शुरू करने के लिए स्पर्श करें
1088,평점,ग्रेड
1089,경기진행,मैच प्रगति
1090,버전확인,जाँच संस्करण
1091,업데이트하러 가기,अद्यतन पर जाएं
1092,다시확인,फिर से जाँचो
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,टीम की जानकारी लोड करने में विफल। {फिर से प्रयास करें
1094,이곳을 눌러 찾을 팀이름 입력,खोजने के लिए टीम का नाम दर्ज करने के लिए यहां टैप करें
1095,밴플레이어,खिलाड़ी
1096,전달,रिले
1097,전송,संदेश
1098,문의하기,संपर्क करें
1099,버그/건의,बग / सुझाव
1100,게임 종료,खेल से बाहर जाएं
1101,초대링크,निमंत्रण लिंक
1102,모의경기,सिमुलेशन मैच
1103,전략복사,सामरिक प्रति
1104,신고,रिपोर्ट good
1105,<이벤트>,<घटना>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,प्रायोजक एक्सप्रेस घटना! {{अतिरिक्त + 50% इनाम प्राप्त करने के लिए प्रायोजित विज्ञापनों को देखें।
1107,영입시장으로 가기,भर्ती बाजार में जाओ
1108,<리뷰 이벤트>,<समीक्षा घटना>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,खेल खेलने के लिए धन्यवाद। {{डेवलपर्स के लिए यह एक बड़ी मदद है। आपको एक इनाम के रूप में 300 सार प्राप्त होगा।
1110,리뷰하러 가기,समीक्षा पर जाएं
1111,답변을 받으실 메일을 적어주세요.,कृपया उत्तर देने के लिए एक ईमेल लिखें।
1112,(언어 변경 시 재시작 필요),(भाषा बदलते समय पुनरारंभ करने की आवश्यकता होती है)
1113,이벤트,प्रतिस्पर्धा
1114,포인트,बिंदु
1115,친구요청,मित्र अनुरोध
1116,친구추가,दोस्त जोड़ें
1117,친구 목록,फ़्रेन्ड लिस्ट
1118,찾기,खोज
1119,아니요,नहीं न
1120,멀티대전정보,मल्टीमैच जानकारी
1121,친구 추가,दोस्त जोड़ें
1122,라인전{운영,लाइन {ऑपरेशन
1123,밸런스,संतुलित
1124,커스텀,रिवाज
1125,탑,ऊपर
1126,정글,ऊपर
1127,미드,जंगल
1128,원딜,मध्य
1129,서폿,विज्ञापन
1130,중심,केन्द्र
1131,갱킹,गनकिंग
1132,메인오더,मुख्य क्रम
1133,한정,सीमित
1134,레벨,एलवी
1135,팀,टीम
1136,당신의 팀이름을 정해주세요{(최대 5글자),कृपया अपनी टीम का नाम निर्दिष्ट करें {(5 वर्ण तक)
1137,보낸이,से
1138,내용,अंतर्वस्तु
1139,첨부,आसक्ति
1140,쪽지 목록,संदेश सूची
1141,받는이:,सेवा:
1142,첨부종류:,अनुलग्नक प्रकार:
1143,상세:,विवरण:
1144,전송 비용:,संचरण लागत:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(आइटम मूल्य + मूल शुल्क 100 + संलग्न आइटम मूल्य का 5%)
1146,쪽지보내기,एक संदेश भेजो
1147,첼린저,दावेदार
1148,마스터,गुरुजी
1149,다이아,हीरा
1150,플레티넘,प्लैटिनम
1151,골드,सोना
1152,실버,चांदी
1153,브론즈,पीतल
1154,<시즌 보상정보>,<सीजन इनाम सूचना>
1155,시즌 보상정보,सीजन इनाम जानकारी
1156,등급상승 보상,क्लास अपग्रेड इनाम
1157,명예의 전당 헌액,हॉल ऑफ फेम योगदान
1158,시즌보상카드 증정,सीजन इनाम कार्ड
1159,다이아 패키지,डायमंड पैकेज
1160,플레티넘 패키지,प्लैटिनम पैकेज
1161,골드 패키지,गोल्ड पैकेज
1162,실버 패키지,रजत पैकेज
1163,모든선수 패키지,सभी खिलाड़ी पैकेज
1164,다이아 영입,डायमंड भर्ती
1165,첼린저 영입,चैलेंजर भर्ती
1166,모든한정포함 첼린저 영입,सभी शामिल सीमा भर्ती
1167,보낸날짜,भेजने का दिनांक
1168,보상정보,पुरस्कार जानकारी
1169,모든팀에게 승리 시,सभी टीमों को जीत
1170,상세보기,विवरण देखें
1171,연습{경기,अभ्यास {मैच
1172,대전,मैच
1173,멀티 시즌성적,बहु मौसम के परिणाम
1174,새로운 시즌 시작,नया सीजन शुरू
1175,평균 선수 종합:,एवीजी प्लेयर कुल:
1176,이곳을 눌러{선수 이름 입력,{प्लेयर नाम एंटर के लिए यहां दबाएं
1177,시즌,मौसम
1178,영입정보,भर्ती जानकारी
1179,검색,खोज के
1180,난이도,कठिनाई
1181,대표팀,प्रसिद्ध टीम
1191,새로운 리그 시작,नई लीग शुरू
1192,<선수 등급 정보>,<प्लेयर दर जानकारी>
1193,토너먼트,टूर्नामेंट
1194,우승,चैंपियन
1195,승자조,विजेता का ब्रैकेट
1196,패자조,हारने वाला ब्रैकेट
1197,시즌보상정보,सीजन इनाम जानकारी
1198,격전보상정보,क्रश इनाम जानकारी
1199,재시도,पुन: प्रयास करें
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,"※ यदि आप अंतिम टूर्नामेंट में आगे नहीं बढ़ते हैं, तो आपको पुरस्कृत नहीं किया जाएगा।"
1201,랭크,पद
1202,격전,क्रश
1203,팀정보,टीम की जानकारी
1204,다음경기,अगला मिलान
1205,팀 능력,टीम आँकड़े
1206,선수 능력,खिलाड़ी आँकड़े
1207,<시즌보상선수>,<सीजन इनाम खिलाड़ी>
1208,추가경험치,EXP जोड़ें
1209,경기 자동,ऑटो मैच
1210,아이템,मद
1211,사용중인 아이템,उपयोग में आइटम
1212,경기 아이템,मैच आइटम
1213,사용,प्रयोग करें
1214,개수,गिनती
1215,자동,ऑटो
1216,추가경험치,AddEXP
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ पुरस्कार केवल 10 या उससे अधिक के लिए प्राप्त किया जा सकता है।
1218,언어설정,भाषा सेटिंग
