ID,Dec
11000,Tim sampeyan menang liga kanthi coaching gedhe! Ayo nyiyapake kanggo menang Kejuaraan Donya.
11001,"Sanajan ora menang, nindakake tugas sing apik. Mandi salju wis rampung ing juara donya!"
11002,"Iku dudu juara. Nanging, kita sukses kanggo maju menyang juara donya!"
11003,Iku dudu juara. Nanging iku peringkat apik kanggo nyoba kanggo menang musim sabanjure.
11004,"Sing paling ala nyingkiri, nanging dudu rangking sing apik. Kanggo peringkat sing luwih dhuwur} aku mikir pangopènan."
11005,Kita mungkasi musim ing posisi sing paling ala. Kanggo para penggemar sing ndhukung kita} supaya luwih awal kanggo musim sabanjure.
11006,Tim kasebut menang Kejuaraan Donya kanthi Coaching sing apik! Pemain lan penggemar ngrayakake prentah sing apik. Sugeng.
11007,"Ora menang, nanging nindakake proyek sing apik. Ayo coba menang ing musim juara sabanjure!"
11008,"Sayange, iku kelas sing apik. Ayo nambah kekuwatan sabanjure lan nyoba kanggo menang juara jagad sabanjure."
11009,"Sampeyan wis sukses mlebu turnamen kasebut. Musim mbesuk, ayo tumuju turnamen sing luwih dhuwur."
11010,"Sayange, turnamen kasebut gagal. Sayange, coba maju menyang musim juara donya lan tujuane juara."
20000,Pameran / Operasi Line
20001,Balance
20002,TeamFight
20003,Custom
21000,Iki minangka strategi kanggo muter bola salju adhedhasar pertempuran garis sing kuwat. {{-It cocog nalika sampeyan duwe perang sing kuwat. {You bisa dibalik menyang siji nembak nalika sampeyan duwe jotosan sing ringkih.
21001,Operasi lineup} Hanta} Game main kanthi cara sing seimbang. {{-Tis cocog nalika kemampuan pemain uga.
21002,Iki minangka strategi sing tujuane kanggo dijupuk siji liwat nembak siji. {{-It cocog nalika tim duwe kemampuan nembak siji-sing kuwat. {
21003,Iki strategi sampeyan.
22000,Pusat game
22001,Pusat ganking
22002,Pesenan utama
23000,Pilih kemampuan dadi pusat game. Statistik tim bakal saya tambah. Nanging} liyane saka kekuwatan tumiba.
23001,Jungler mutusake baris kanggo ganking.
23002,Setel posisi sing fokus ing operasi. Pesenan utama bakal nambah proporsi operasi tim.
24000,Balance
24001,Garis
24002,TeamFight
24003,Operasi
24004,Balance
24005,Ndhuwur
24006,Mid
24007,Ngisor
24008,Ndhuwur
24009,Alas
24010,Mid
24011,Iklan
24012,Dhukungan
25000,Serangan
25001,Imbang
25002,Tanker
25003,Serangan
25004,Imbang
25005,Tanker
25006,Serangan
25007,Imbang
25008,Panyengkuyung
25009,Serangan
25010,Imbang
25011,Utilitas
25012,Serangan
25013,Imbang
25014,Tanker
26000,Pencet banget mungsuh. Uga ngontrol operasi liwat pamisah. {{▲ Stats Operasi mundhak. {{-Points entuk utawa ilang nalika nambah. {{▼ HANTA STAT.
26001,Tank Deal Dasar.
26002,Pengaruhe dikurangi ing pertempuran line. Nanging} Dheweke luwih kuwat ing Hanta. {{▲ kemampuan hantu tambah. {{-Points entuk utawa ilang ing baris diturunake. {{▼ Operasi Stat diturunake.
26003,Ganking dadi kuat. Nanging} Ana risiko gagal ganking. {{▲ Stats LINE Nambah. {{
26004,Tank Deal Dasar.
26005,Kemampuan Ganking diturunake. Nanging} nambah kemampuan sing bisa nambah. {{▲ Kemampuan nambah. {{▼ Kemampuan antrian mudhun.
26006,Pencet banget mungsuh. Uga ngontrol operasi liwat pamisah. {{▲ Stats Operasi mundhak. {{-Points entuk utawa ilang nalika nambah. {{▼ HANTA STAT.
26007,Dhasar juara naper.
26008,Tujuane yaiku nambah kemampuan siji dilil. {{▲ siji stat mundhak.
26009,Dina-dina awal iku kuat. Nanging} kaya wis dadi luwih lemah. {{▲ LINE nganti 20 menit pisanan} tambah kemampuan hantu. {{▼ HANTA Kemampuan suda saka separo kapindho.
26010,Juara dhasar siji.
26011,Fokus kanggo mbantu tim tinimbang peran Carrie. {{▲ statistik operasional munggah. {{▼ lines stats mudhun.
26012,"Perang line kuwasa. Nanging, mbebayani kanggo operate kanthi kesehatan sing kurang. {{▲ Stats line-up nambah. {{-Points entuk utawa ilang saka kenaikan operasi."
26013,Juara dhukungan dhasar.
26014,Lemah ing baris. Nanging} Kuwat ing Hanta. {{▲ HANTA STAT tambah. {{▼ baris stat diturunake.
30000,"Yen sampeyan ora bisa mlebu menyang Google, sampeyan ora bisa muter bebarengan. Mangga login Google."
30001,Ana mburi sing ora normal sajrone pertandhingan pirang-pirang. Game kasebut dialami.
30002,Sugeng! Sampeyan promosi menyang level sabanjure!
30003,Sampeyan wis ditolak amarga kalah tetep.
30004,Mlebu
30005,Ana masalah. Alesan kanggo masalah:
30006,"Sambungan internet wis ilang. Yen sampeyan duwe sambungan Internet}, sampeyan bakal nyambung maneh kanthi otomatis."
30007,"Internet disopot sajrone pertandhingan multi. {Yen sampeyan klik OK}, sampeyan bakal metu stadion."
30008,Ana masalah golek mungsuh. {Pencet OK kanggo metu stadion.
30009,Game ora nganti saiki. Sampeyan kudu nganyari versi paling anyar kanggo muter match kasebut. {{Pencet tombol ing ngisor iki kanggo mriksa versi maneh} utawa menyang kaca Update.
30010,Priksa
30011,Iki dudu versi paling anyar.
30012,Menit
30013,Sampeyan wis dilaporake minangka pamuter cheat lan ora bisa muter game bebarengan. {{Mangga email {hucce@gmail.com kanggo pitakon.
30014,Sampeyan kadaptar minangka pamuter ngapusi.
30015,Priksa server multiplay. Enteni nganti wektu mriksa wis rampung
30016,Ora bisa mbukak dhaptar. Mangga login Google ing Multiplay.
31000,Matur nuwun kanggo muter game. Review sampeyan minangka pitulung gedhe kanggo pangembang. Sampeyan bakal nampa 300 intine minangka hadiah.
32000,Matur nuwun kanggo nonton iklan kasebut. Klik OK kanggo nampa hadiah sing dideleng.
32001,Iklan ngliwati sampeyan kudu nonton iklan pungkasan kanggo nampa hadiah kasebut.
32002,Gagal Fetch Ad Mangga priksa sambungan internet sampeyan.
36000,Skor Liga
36001,M
36002,W
36003,L
36004,Sejarah
36005,Ndhuwur
36006,Asil match
36007,Nampa
36008,Lengkap
36009,Ora lengkap
36010,Link
36011,Mangsa
33000,Nganyarke mung bisa nganti level 10.
33001,Sukses
33002,Gagal
33003,Kemungkinan sukses
33004,Bedane
33005,Apa sampeyan pengin ngliwati tutorial? Sampeyan ora bisa entuk hadiah saka tutorial.
33006,Basa kasebut bakal ganti nalika sampeyan miwiti maneh game.
34000,Google Play Service Version Priksa
34001,Google Play Login Lengkap
34002,Log mlebu server rampung
34003,Cloud Simpen Konfirmasi Lengkap
34004,Data Impor lengkap
34005,Masalah retry
34006,Kesalahan! Mbukak menyang mode offline
33007,Babak
33008,Garis
33009,TeamFight
33010,Operasi
33011,Ndhuwur
33012,Mid
33013,Ngisor
33014,Kekalahan gedhe
33015,Kalah
33016,Beingish
33017,Kahanan
33018,Kaunggulan
33019,Kamenangan
33020,Kamenangan gedhe
33021,Team Jungler ganking.
33022,Dina
33023,Mangsa rampung
33024,Kanca sampeyan wis dijaluk.
33025,Wis kanca
33026,Apa sampeyan pengin mbusak kanca iki?
33027,Strategi Disinikat
33028,Jinis
33029,Larangan
33030,Pranyatan
33031,Bug / Saran
33032,Undhangan manajer. Dadi manajer tim lol.
33033,Rating Akhir
33034,Ganjaran pungkasan
33035,Mangsa diwiwiti
33036,Musim anyar wis diwiwiti.
