ID,Dec
11000,Ekibiniz ligini büyük koçlukla kazandı! Dünya Şampiyonasını kazanmaya hazırlanalım.
11001,"Kazanmadığına rağmen, harika bir iş yaptı. Dünya Şampiyonu'nda kar banyo yapılır!"
11002,"Şampiyonluk değildi. Ancak, dünya şampiyonluğuna ilerlemeyi başardık!"
11003,Şampiyonluk değildi. Ama gelecek sezonu kazanmaya çalışmak için iyi bir sıralama.
11004,"En kötüsü kaçınıldı, ama bu iyi bir sıralama değildi. Daha yüksek bir sıralama için} Bakıma ihtiyacı olduğunu düşünüyorum."
11005,Sezonu en kötü durumda bitirdik. Bizi destekleyen fanlar için} Gelecek sezon için daha ileri gidelim.
11006,"Ekip dünya şampiyonluğunu büyük koçlukla kazandı! Oyuncular ve hayranlar, harika komutunuzu kutlar. Tebrikler."
11007,"Kazanmadı, ama harika bir iş yaptı. Gelecek sezon dünya şampiyonasını kazanmaya çalışalım!"
11008,"Ne yazık ki, bu harika bir not. Gelecek sezon gücümüzü artıralım ve bir sonraki Dünya Şampiyonu kazanmaya çalışalım."
11009,"Turnuvaya başarıyla girdiniz. Gelecek sezon, daha yüksek turnuvalara gidelim."
11010,"Ne yazık ki, turnuva başarısız oldu. Maalesef, gelecek sezon dünyaya şampiyonluğa ilerleyelim ve şampiyonluğu hedefleyelim."
20000,Hat Sergisi / Çalıştırma
20001,Denge
20002,Teamfight
20003,Özel
21000,Güçlü çizgi savaşlarına dayanarak kartoplarını yuvarlamak bir stratejidir. {{- Güçlü bir çizgi savaşınız olduğunda uygundur. {- Zayıf bir darbeniz olduğunda bir atışa geri dönebilirsiniz.
21001,Lineup} HANTA} Operasyon Oyunu dengeli bir şekilde oynatın. {{- Oyuncuların yetenekleri bile olsa da uygundur.
21002,Tek bir atıştan bir vuruşu amaçlayan bir stratejidir. {{- Bir takımın güçlü bir vuruş kabiliyetine sahip olduğunda uygundur. {
21003,Bu senin stratejin.
22000,Oyunun merkezi
22001,Bir göbek merkezi
22002,Ana sipariş
23000,Oyunun merkezi olma yeteneğini seçin. Takımın istatistikleri artacaktır. Bunun yerine} Güç düşüşü düşer.
23001,"Jungler, gösterme hattına karar verir."
23002,İşlemlere odaklanan bir pozisyon belirleyin. Ana sipariş takım operasyonunun oranını artıracaktır.
24000,Denge
24001,Hat
24002,Teamfight
24003,Operasyon
24004,Denge
24005,Üst
24006,Orta
24007,Alt
24008,Üst
24009,Orman
24010,Orta
24011,Reklam
24012,Destek
25000,Saldırı
25001,Dengeli
25002,Tanker
25003,Saldırı
25004,Dengeli
25005,Tanker
25006,Saldırı
25007,Dengeli
25008,Destekçi
25009,Saldırı
25010,Dengeli
25011,Yarar
25012,Saldırı
25013,Dengeli
25014,Tanker
26000,"Rakibin doğrultusunda kuvvetle basın. Aynı zamanda, operasyonun kontrolünü kontrol eder. {{▲ Çalışma istatistikleri artar. {{Hattın üzerinde kazandığı veya kaybolduğu noktalar. {{▼ HANTA STAT düşer."
26001,Temel anlaşma tankı.
26002,"Etkisi, hat savaşlarında azalır. Ancak} Hanta'da daha güçlüdür. {{▲ HANTA yeteneği arttırıldı. {{Hatta kazanılan veya kaybolan noktalar indirildi. {{▼ işlem statü indirildi."
26003,Gökte güçlü olur. Ancak} Ganking başarısızlığı riski yüksek. {{▲ Hat istatistikleri artar. {{
26004,Temel anlaşma tankı.
26005,Göking yeteneği düşürüldü. Ancak} isabet yeteneği artar. {{▲ isabet yeteneği artar. {{▼ dizinleme yeteneği azalır.
26006,"Rakibin doğrultusunda kuvvetle basın. Aynı zamanda, operasyonun kontrolünü kontrol eder. {{▲ Çalışma istatistikleri artar. {{Hattın üzerinde kazandığı veya kaybolduğu noktalar. {{▼ HANTA STAT düşer."
26007,Temel Nuker Champ.
26008,"Amaç, bir dilin kabiliyetini geliştirmektir. {{▲ One Dil'in statü artar."
26009,İlk günler güçlüdür. Ancak} zaman geçtikçe} daha zayıf olur. {{▲ İlk 20 dakikaya kadar sıralamaya} Hanta yeteneği artar. {{▼ HANTA yeteneği ikinci yarıdan azalır.
26010,Temel tek anlaşma şampiyonu.
26011,Carrie'nin rolünden ziyade takıma yardım etmeye odaklanıyor. {{▲ Operasyonel istatistikler yükseldi. {{▼ satırlar istatistikleri aşağı iniyor.
26012,Hat kavgası güçlüdür. Ancak} Düşük sağlık ile çalışmak tehlikelidir. {{▲ Line-up istatistikleri artar. {{- Operasyondan kazanılan veya kaybedilen puanlar.
26013,Temel destekçisi şampiyonu.
26014,Doğrultusunda zayıf. Ancak} Hanta'da güçlü. {{▲ HANTA STAT arttırıldı. {{▼ satırlar statü indirildi.
30000,"Google'a giriş yapamıyorsanız, çok oyunculu oynatamazsınız. Lütfen Google'a giriş yapın."
30001,Son çoklu maç sırasında oyunun anormal bir sonu vardı. Oyun kaybedildi.
30002,Tebrikler! Bir sonraki seviyeye terfi ettirilirsiniz!
30003,Sabit yenilgi nedeniyle indirildiniz.
30004,Giriş yapılıyor
30005,Bir sorun var. Sorun Nedeni:
30006,İnternet bağlantısı kayboldu. İnternet bağlantınız olduğunda} otomatik olarak yeniden bağlanacaksınız.
30007,İnternet çoklu eşleşme sırasında bağlantısı kesildi. {Tamam'ı tıklatırsanız} Stadyumdan çıkacaksınız.
30008,Rakibini bulma konusunda bir sorun vardı. {Stadyumdan çıkmak için OK tuşuna basın.
