ID,Dec
10000,Привет! Приятно познакомиться.
10001,При поддержке менеджера он создал новую команду в LOL‑лиге.
10002,Сначала укажите название своей команды.
10003,Давайте впишем AAA Team в историю!
10004,Это первый матч лиги.
10005,Здесь вы можете ознакомиться с информацией о нашей команде и соперниках перед матчем.
10006,У текущей команды уже есть подписанный игрок.
10007,Но для победы понадобится огромное количество игроков.
10008,Сначала подберём нового игрока перед матчем.
10009,Перейти на рынок найма
10010,"Вы можете нанимать новых игроков, используя свою эссенцию, на рынке набора."
10011,Подберём нового игрока за текущую эссенцию.
10012,Нажмите кнопку X1 «Recruitment».
10013,У нас новый игрок.
10014,"Команда всё ещё не конкурентоспособна. Нужно нанять более сильного игрока, чтобы повысить нашу боеспособность."
10015,"Эссенции не хватает, чтобы нанять сильного игрока. В этом случае ты можешь получить целое число с помощью спонсора."
10016,"Посмотрите все видеоролики‑рекламы спонсоров, чтобы заработать награды."
10017,Изначально} Спонсируемая реклама специально подготовлена для получения на 50 % больше наград.
10018,Нажмите «Спонсорская реклама».
10019,"Спонсор прислал нам целое число. Теперь давайте получим нового игрока, используя это число."
10020,Нажмите кнопку набора X5.
10021,У нас новый игрок.
10022,"Итак, давайте протестируем нового игрока!"
10023,Нажмите кнопку «Управление игроками».
10024,В разделе «Управление игроками» вы можете выбрать кандидата‑игрока.
10025,"Нажмите кнопку «Swap», чтобы опробовать кандидата."
10026,"Нажав кнопку «Заменить», выбранный игрок становится стартовым, а текущий игрок переводится в резерв."
10027,"Также, в зависимости от состава стартовых, могут быть получены дополнительные эффекты."
10028,Нажмите кнопку
10029,Информацию о Тиме Чемие вы можете найти здесь.
10030,"Вы можете усилить свою команду, подбирая разные синергии — тип и состав."
10031,"Нажмите X, чтобы выйти."
10032,"Итак, заменяем лишнего игрока новым."
10033,Попробуйте нажать кнопку «Рекомбинация».
10034,Здесь вы можете заменить четырёх кандидатов новыми игроками.
10035,Временно я распределил четырёх игроков. Давайте переорганизуем их.
10036,Нажмите кнопку «Добавить».
10037,Нажмите кнопку «Добавить».
10038,Нажмите кнопку «Добавить».
10039,Нажмите кнопку «Добавить».
10040,Поставьте всех трёх игроков. А теперь переключимся на нового игрока.
10041,Вы можете посмотреть информацию о способностях игрока в разделе рекрутинга.
10042,"Итак, получаем игрока!"
10043,Попробуйте активировать рекомбинацию.
10044,Таким способом вы можете заменить текущих игроков новыми игроками.
10045,А теперь давайте сыграем с этими игроками.
10046,Нажмите кнопку «Матч».
10047,Нажмите кнопку «Прогресс».
10048,Игра началась.
10049,Давайте доверимся игрокам и посмотрим матч.
10050,"Как только игра заканчивается, вы получаете опыт и золото."
10051,"Синяя эссенция не будет получена, если вы превысите дневной лимит матчей."
10052,"Нажмите кнопку «Продолжить», чтобы покинуть арену."
10053,Первый матч завершён.
10054,"Игроки — ключ к победе, но стратегия менеджера также имеет значение."
10055,Нажмите кнопку «Стратегия».
10056,Функция Quick Setup упрощает настройку ключевых стратегий.
10057,Баланс теперь — базовая стратегия.
10058,Давайте изменим настройки.
10059,Нажмите «Линия / Управление».
10060,"Лайнмэтч / операция — это стратегия, завершающая игру использованием преимуществ, полученных в лайнмэче."
10061,Переключаемся на стратегию «линия за линией».
10062,Нажмите кнопку «Настройки».
10063,Стратегия команды теперь сместилась в сторону line-to-run.
10064,Быстрая настройка упрощает смену стратегии вашей команды.
10065,Подробные параметры можно настроить с помощью инструкций и пик‑бана.
10066,А теперь проверим нашу стратегию.
10067,Нажмите кнопку «Поиск матча».
10068,"Давайте разберём, как пользоваться предметами матча перед стартом самой игры."
10069,! Нажмите кнопку!
10070,"Слышал, в подарок получили предмет, дающий +10 % к опыту."
10071,"Пожалуйста, проверьте использование."
10072,"Если включить «Использовать», соответствующий предмет будет применяться в последующих матчах."
10073,"Если предметов несколько, включите опцию «Авто», чтобы они использовались автоматически."
10074,Нельзя многократно применять предметы одного типа.
10075,"Нажмите X, чтобы выйти."
10076,А теперь посмотрим на стратегии и предметы.
10077,Нажмите кнопку «Прогресс игры».
10078,После этого матча уровень менеджера поднялся.
10079,"По мере повышения уровня менеджера вы получаете дополнительную эссенцию, как показано здесь."
10080,"Вы можете получать дополнительную эссенцию с уровня менеджера, независимо от дневного лимита матчей."
10081,"Нажмите кнопку **«Продолжить»**, чтобы покинуть арену."
10082,"Некоторые игроки повысили свой уровень, набрав опыт в этом матче."
10083,"Игроки, повышающие уровень, могут улучшать свои статы."
10084,Нажмите «Управление игроком».
10085,"Спортсмены, получившие повышение уровня, имеют отметку‑стрелку рядом с уровнем."
10086,"Тапните на уровень игрока, чтобы поднять его показатели."
10087,"Здесь вы можете увеличить нужные вам статы, потратив очки."
10088,"Вы можете повысить показатель, нажав на стрелку рядом с нужным параметром."
10089,Тапните нужные вам статы и тапните «Решение».
10090,Это повысит способности игрока.
10091,"Нажмите X, чтобы выйти."
10092,"Атлетов можно сделать сильнее, повысив их уровень и прокачав их таким способом."
10093,С помощью усиления сделаем игрока сильнее.
10094,Нажмите кнопку «Усилить».
10095,Подкрепление делает игрока сильнее за счёт самого себя.
10096,"В этот раз усилим игрока, которого я тебе дал."
10097,Попробуйте нажать кнопку ▼.
10098,"Нажмите кнопку, чтобы свернуть список стартовых игроков.  
Нажмите кнопку, чтобы открыть расширенный список запасных игроков."
10099,Теперь попробуйте добавить игрока.
10100,Нажмите кнопку «Добавить».
10101,"Если игрок добавлен, отображается только сам этот игрок."
10102,Нажмите кнопку «Добавить».
10103,По мере добавления игроков вы сможете увидеть шансы на победу.
10104,Вероятность успеха определяется разницей между уровнем усиления и уровнем усиления.
10105,Нажмите кнопку «Укрепить».
10106,"Если ты усиливаешь так, игрок пропадает."
10107,Не выполнение этого не заставит основного игрока исчезнуть или потерять класс.
10108,"Итак, давайте проведём последнюю проверку информации о лиге."
10109,Нажмите кнопку «League».
10110,Нажмите кнопку «Расписание».
10111,Вы можете посмотреть расписание лиги для своей команды здесь.
10112,Нажмите кнопку «Ранг».
10113,Здесь вы видите текущую таблицу лидеров лиги.
10114,Нажмите кнопку «Турнир».
10115,Здесь можно отслеживать плей‑офф после завершения регулярного сезона.
10116,W — показатель квалификации на Чемпионат мира.
10117,Чемпионат мира проводится в конце регулярного сезона.
10118,Вы сможете состязаться с лучшими командами из других лиг и получать более щедрые награды.
10119,Нажмите кнопку «Set».
10120,Где вы хотите разместить лигу.
10121,Вы можете установить уровень сложности и начать новую лигу.
10122,"Выбрав лигу и уровень сложности, вы сможете увидеть обновлённые награды и мощность команды лиги."
10123,"Выберите лигу и уровень сложности, затем нажмите кнопку «Начать новую лигу»."
10124,Вы можете начать новую лигу таким образом.
10125,Теперь всё готово.
10126,"Наконец, менеджер прислал нам эссенцию."
10127,Станем победителями AAA‑лиги!
10128,Привет! Добро пожаловать в Multi Match!
10129,Здесь вы можете сыграть матч с другими тренерами.
10130,"Здесь вы можете увидеть рейтинг своей команды, очки и данные матча."
10131,Нажмите кнопку «Информация о награде».
10132,Здесь вы можете найти информацию о наградах за Multi Match.
10133,"На таблице рангов представлены семь уровней: Бронза, Серебро, Золото, Платина, Алмаз, Мастер и Чемпион."
10134,При первом запуске вы стартуете в бронзовом дивизионе.
10135,"Повышая свой ранг, вы получите вышеуказанную Эссенцию."
10136,И вы можете заработать бонусную эссенцию в конце матча по указанному ниже проценту.
10137,Я объясню сезон.
10138,Сезон обнуляет рейтинг и стартует новая игра спустя фиксированный период.
10139,"Когда начинается новый сезон, вы получаете награду в соответствии с рангом прошлого сезона."
10140,Награды за ваш тир можно найти здесь.
10141,"Теперь нажмите X, чтобы выйти из окна с информацией о награде."
10142,"Чтобы повысить ранг, вам необходимо выиграть матч и собрать очки."
10143,"Наберите 100 очков, чтобы перейти в следующий тир."
10144,Но будьте внимательны — при непрерывных поражениях вас могут понизить до нуля.
10145,"Если вы поднимете свой тир, выиграв матч, можете увидеть рейтинг своей команды в таблице ниже."
10146,А также вы можете детально изучить состав рейтинговых игроков.
10147,Нажмите кнопку.
10148,Теперь вы можете увидеть игроков и стратегии топ‑ранговых. Зацените и сделайте свою команду ещё сильнее.
10149,А теперь нажмём кнопку ещё раз.
10150,Обновление рейтинга требует времени.
10151,"Если хотите обновить сразу, можете мгновенно пересчитать рейтинг с помощью кнопки «Обновить»."
10152,"Отлично. Готов? Повышай свой ранг и собирай очки, чтобы стать топ‑менеджером!"
10153,В вашем аккаунте} вы можете увидеть информацию об аккаунте и ежедневные} достижения} другую информацию.
10154,Ежедневные квесты обновляются каждый день.
10155,В разделе «Достижения» вы можете просмотреть свои достижения.
10156,"В сезоне вы можете увидеть новые задания, которые обновляются каждый сезон."
10157,"В разделе «Другое» вы можете увидеть дополнительные пункты, например поддержку разработчиков."
10158,"Получайте награды, завершив квест‑достижения или другие задания."
10159,"Кроме того, спонсорская поддержка поможет нам и дальше развивать игру."
10160,Спасибо за вашу поддержку. Спасибо.
