ID,Dec
11000,あなたのチームは素晴らしいコーチングでリーグを獲得しました！世界選手権を獲得する準備をしましょう。
11001,勝ちませんでしたが、素晴らしい仕事をしました。雪の入浴は世界チャンピオンで行われます！
11002,それはチャンピオンシップではありませんでした。しかし、私たちは世界選手権に進むことに成功しました！
11003,それはチャンピオンシップではありませんでした。しかし、それは来シーズンに勝つことを試みるのは良いランクです。
11004,最悪の事態は避けられましたが、それは良いランキングではありませんでした。より高いランキング}私はそれがメンテナンスが必要だと思います。
11005,私たちは最悪の地位でシーズンを終えました。私たちをサポートしているファンのために、次のシーズンのためにさらに行きましょう。
11006,チームは素晴らしいコーチングで世界選手権を獲得しました！プレイヤーとファンはあなたの素晴らしいコマンドを祝います。おめでとう。
11007,それは勝ちませんでしたが、それは素晴らしい仕事でした。来シーズンに勝利しよう！
11008,残念ながら、それは素晴らしい成績です。次のシーズンを増やして、次の世界チャンピオンに勝つことを試みましょう。
11009,あなたはトーナメントに正常に入力されました。来シーズン、より高いトーナメントに向かいましょう。
11010,残念ながら、トーナメントは失敗しました。残念ながら、来シーズンの世界選手権に進み、チャンピオンシップを目指しましょう。
20000,線展示会/営業
20001,残高
20002,チームファイト
20003,カスタム
21000,それは強い線の戦いに基づいてスノーボールをロールする戦略です。 {{-itはあなたが強い線の戦いを持っているときに適しています。あなたが弱い打撃を受けたとき、{-youは一方のショットに戻すことができます。
21001,操作のバランスのとれた方法でゲームを再生します。 {{ - これはプレーヤーの能力がさえも適しています。
21002,それは1ショットを通してショットを狙う戦略です。 {{-itはチームが強いワンショット能力を持っているときに適しています。 {
21003,これはあなたの戦略です。
22000,ゲームの中心
22001,ガーキングの中心
22002,メインオーダー
23000,ゲームの中心になる能力を選択してください。チームの統計が増えます。その代わりに}残りの電源が入っています。
23001,ジャングラーは、ゲインキングのための行を決定します。
23002,操作に焦点を当てた位置を設定します。主な順序はチーム操作の割合を増やすでしょう。
24000,残高
24001,ライン
24002,チームファイト
24003,操作
24004,残高
24005,上
24006,中々
24007,bottom
24008,上
24009,密林
24010,中々
24011,広告
24012,サポート
25000,攻撃
25001,バランス
25002,タンカー
25003,攻撃
25004,バランス
25005,タンカー
25006,攻撃
25007,バランス
25008,サポーター
25009,攻撃
25010,バランス
25011,有用性
25012,攻撃
25013,バランス
25014,タンカー
26000,相手を並んで強く押します。また、分割による操作を制御します。 {{▲操作統計が増加する。 {{{ - ライン上の増加または失われたポイント。 {{{▼ハンタスタートは低下します。
26001,ベーシックディールタンク。
26002,影響を伸ばして影響を与えます。しかし彼はハンタでより強いです。 {√Hanta能力が向上します。 {{ - ラインで獲得または失われたポイントが低下する。 {{▼操作STATが低下する。
26003,ゲインキングは強力になります。しかし、障害が発生する危険性が高いです。 {{▲線統計が増加する。 {{{{
26004,ベーシックディールタンク。
26005,Gapking能力が低下する。しかし、打撃力が増加します。 {{▲打撃能力は増加します。 {{{▼ラインアップ能力が下がります。
26006,相手を並んで強く押します。また、分割による操作を制御します。 {{▲操作統計が増加する。 {{{ - ライン上の増加または失われたポイント。 {{{▼ハンタスタートは低下します。
26007,基本的なナッカーチャンピオン。
26008,目標は、1倍のDIRの能力を向上させることです。 {{▲1つのDilの統計量が増加する。
26009,初期の頃は強力です。しかし、時間が経つにつれて}それは弱くなります。 Hanta能力が上がる{{▲} {{▼ハンタ能力は後半から減少します。
26010,基本的なワンディールシャン。
26011,キャリーの役割ではなくチームを支援することに焦点を当てています。 {{✓運用統計が上がる。 {{▼行統計統計が降ります。
26012,線の戦いは強力です。しかし、低い健康で動作するのは危険です。 {{▲ラインアップ統計が増加します。 {{{ - 稼働ポイントの増加から増加する。
26013,基本サポーターチャンピオン。
26014,並んで弱い。しかしハンタでは強いです。 {{▲ハンタステータスが増加する。 {{▼行統計が低下する。
30000,Googleにログインできない場合は、マルチプレイヤーを再生できません。 Googleにログインしてください。
30001,最後のマルチマッチの間にゲームの異常終了がありました。ゲームは没収されました。
30002,おめでとう！あなたは次のレベルに昇格しています！
30003,あなたは絶え間ない敗北のために降格されました。
30004,サインイン
30005,問題があります。問題の理由：
30006,インターネット接続が失われました。インターネット接続がある場合は、自動的に再接続されます。
30007,マルチマッチ中にインターネットが切断されました。 {OKをクリックするとスタジアムが終了します。
30008,あなたの対戦相手を見つけるのに問題がありました。 {OKを押してスタジアムを終了します。
30009,ゲームは最新のものではありません。試合を再生するには、最新バージョンに更新する必要があります。 {{{下のボタンを押してバージョンをもう一度確認するか、更新ページに移動します。
30010,チェック
30011,最新版ではありません。
30012,分
30013,あなたはチートプレーヤーとして報告されており、マルチプレイヤーゲームをプレイすることはできません。{{{{hucce@gmail.comに電子メールを送ってください。
30014,あなたはチートプレーヤーとして登録されています。
30015,マルチプレイサーバーのチェック小切手時間が終わるまで待ってください
30016,リストをロードできません。 GoogleでGoogleでログインしてください。
31000,ゲームをしてくれてありがとう。あなたのレビューは開発者にとって大きな助けです。あなたは300の本質を報酬として受け取るでしょう。
32000,広告を見てくれてありがとう。 [OK]をクリックして表示報酬を受け取ります。
32001,広告をスキップしたあなたは報酬を受け取るために広告を終わりに見なければなりません。
32002,ADの取得に失敗しましたインターネット接続を確認してください。
36000,リーグスコア
36001,m
36002,w
36003,l
36004,歴史
36005,上
36006,結果を一致させる
36007,届ける
36008,コンプリート
36009,不完全な
36010,リンク
36011,シーズン
33000,アップグレードはレベル10までのみ可能です。
33001,成功
33002,失敗
33003,成功の可能性
33004,差
33005,チュートリアルをスキップしますか？チュートリアルから報酬を得ることはできません。
33006,ゲームを再起動すると言語が変わります。
34000,Google Playサービスのバージョンチェック
34001,Google Playログイン完了
