ID,Korean,Dec
1000,효과음,Efeito sonoro
1001,배경음,Som de fundo
1002,언어,Língua
1003,만든이: 허민구{연락: huccce@gmail.com,Criado por: heo min-gu {CONTATO: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Carregando / {Google Entrar
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,"<Atenção> {{{existe mais de um dado. Por favor, selecione os dados para carregar. {Dados não selecionados serão excluídos."
1006,팀이름,Nome do time
1007,라운드,Redondo
1008,정수,Essência
1009,저장날짜,Salvar data
1010,결정,Decisão
1011,경기,Jogo
1012,리그,Liga
1013,전략,Estratégia
1014,선수{관리,Jogador {gerenciamento
1015,영입{시장,Recrutamento {Market
1016,멀티{대전,Multi {Match.
1017,계정,Conta
1018,순위,Classificação
1019,승,C
1020,패,eu
1021,라인전,Linha
1022,한타,TeamFight.
1023,운영,Operação
1024,포지션,Posição
1025,이름,Nome
1026,종합,Total
1027,일정,Calendário
1028,상대팀,Equipe adversária
1029,총합,Total
1030,결과,Resultado
1031,승리,Vitória
1032,패배,Derrota
1033,간편,Simples
1034,지침,Diretriz
1035,픽밴,Escolha banir
1036,설정,Definir
1037,설명,Explicação
1038,라인,Linha
1039,타입,Modelo
1040,등급,Avaliação
1041,강화,Reforçar
1042,재조합,Recombinação
1043,팀케미,Team Chemie.
1044,선발 선수,Jogador inicial
1045,후보 선수,Sub-jogador
1046,레벨 포인트,Ponto de nível
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {ano Chemie (▲ 1) {tipo Chemie (▲ 1) {liga Chemie (▲ 1)
1048,케미스트리,Química
1049,재조합 선수,Jogador recombinante.
1050,제거,Retirar
1051,강화 선수,Player de reforço
1052,재료 선수,Jogador de coisas
1053,성공확률:,Chance de sucesso:
1054,영입시장,Mercado de recrutamento
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Assista anúncios patrocinados para obter recompensas.
1056,5번 보시면 200정수를 추가로 드립니다.,"Se você olhar 5 vezes}, você receberá uma 200essence adicional."
1057,골드 영입,Recrutamento de ouro
1058,실버 선수,Player de prata
1059,시청,Assistir
1060,플레,Platina
1061,골드,Ouro
1062,선수명단,Lista de jogadores.
1063,가격,Preço
1064,추천,Recomendo
1065,구입,Comprar
1066,탑 랭킹,Rank Top
1067,내 순위,Minha classificação
1068,새로고침시간,Atualizar tempo
1069,대전정보,Combine informações
1070,대전찾기,Pesquisa de correspondência
1071,선수,Jogador
1072,감독,Gerente
1073,로그인,Conecte-se
1074,확인,confirme
1075,일일,Dia
1076,업적,Realizações
1077,기타,Etc.
1078,보상,Recompensa
1079,공지사항,Aviso prévio
1080,계속,Continuar
1081,이곳을 눌러 입력,Pressione aqui para entrar
1082,최종순위,Classificação final
1083,시즌 보상:,Recompensa da temporada:
1084,스킵,Pular
1085,예,sim
1086,아니오,Não
1087,터치 하면 게임 시작,Toque para iniciar o jogo
1088,평점,Grau
1089,경기진행,Combinar o progresso
1090,버전확인,Verifique a versão.
1091,업데이트하러 가기,Vá para atualizar.
1092,다시확인,Verifique novamente
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Falha ao carregar informações da equipe. {Tente novamente
1094,이곳을 눌러 찾을 팀이름 입력,Toque aqui para inserir o nome da equipe para encontrar
1095,밴플레이어,Ban Player.
1096,전달,Retransmissão
1097,전송,Mandar
1098,문의하기,Contate-Nos
1099,버그/건의,Bug / sugestões
1100,게임 종료,Sair do jogo
1101,초대링크,Link de convite
1102,모의경기,Jogo de simulação
1103,전략복사,Cópia Estratégica
1104,신고,Relatório
1105,<이벤트>,<Evento >.
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Evento Express do Patrocinador! {{Confira os anúncios patrocinados agora para obter uma recompensa adicional + 50%.
1107,영입시장으로 가기,Vá para o mercado de recrutamento
1108,<리뷰 이벤트>,<Evento de Revisão>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Obrigado por jogar o jogo. {{Esta é uma ótima ajuda para os desenvolvedores. Você receberá 300 essência como recompensa.
1110,리뷰하러 가기,Vá para revisar
1111,답변을 받으실 메일을 적어주세요.,"Por favor, escreva um email para responder."
1112,(언어 변경 시 재시작 필요),(Requer reinício ao alterar a linguagem)
1113,이벤트,Evento
1114,포인트,Ponto
1115,친구요청,Pedido de amizade
1116,친구추가,Adicionar amigo
1117,친구 목록,Lista de amigos
1118,찾기,Achar
1119,아니요,Não
1120,멀티대전정보,Informação multimatch
1121,친구 추가,Adicionar amigo
1122,라인전{운영,Linha {operação.
1123,밸런스,Equilibrado
1124,커스텀,Personalizado
1125,탑,Topo
1126,정글,Topo
1127,미드,Selva
1128,원딜,Meados de
1129,서폿,DE ANÚNCIOS
1130,중심,Centro
1131,갱킹,Ganking
1132,메인오더,Ordem principal
1133,한정,Limitado
1134,레벨,Lv.
1135,팀,Equipe
1136,당신의 팀이름을 정해주세요{(최대 5글자),"Por favor, especifique o nome da sua equipe {(até 5 caracteres)"
1137,보낸이,A partir de
1138,내용,Conteúdo
1139,첨부,Acessório
1140,쪽지 목록,Lista de mensagens.
1141,받는이:,Para:
1142,첨부종류:,Tipo de fixação:
1143,상세:,Detalhe:
1144,전송 비용:,Custo de transmissão:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Item preço + taxa básica 100 + 5% do preço do item anexo)
1146,쪽지보내기,Envie uma mensagem
1147,첼린저,Desafiador
1148,마스터,Mestre
1149,다이아,Diamante
1150,플레티넘,Platina
1151,골드,Ouro
1152,실버,Prata
1153,브론즈,Bronze
1154,<시즌 보상정보>,<Informação da Recompensa da Temporada>
1155,시즌 보상정보,Informações da recompensa da temporada
1156,등급상승 보상,Recompensa de atualização de classe.
1157,명예의 전당 헌액,Contribuição do Hall of Fame
1158,시즌보상카드 증정,Cartão de recompensa da temporada
1159,다이아 패키지,Pacote de Diamond
1160,플레티넘 패키지,Pacote de platina
1161,골드 패키지,Pacote de ouro
1162,실버 패키지,Pacote de prata
1163,모든선수 패키지,O pacote de todos os jogadores
1164,다이아 영입,Recrutamento de diamante
1165,첼린저 영입,Recrutamento de Challenger
1166,모든한정포함 첼린저 영입,Recrutamento de limite de todos
1167,보낸날짜,Data enviada
1168,보상정보,Recompensas informações
1169,모든팀에게 승리 시,Vitória a todas as equipes
1170,상세보기,Ver detalhes
