ID,Korean,Dec
1000,효과음,Sound-Effekt
1001,배경음,Hintergrundgeräusch
1002,언어,Sprache
1003,만든이: 허민구{연락: huccce@gmail.com,Erstellt von: Heo Min-Gu {Kontakt: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Laden / {Google-Anmeldung
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<ACHTUNG> {{Es gibt mehr als eine Daten. Bitte wählen Sie die Daten zum Laden. {Nicht ausgewählte Daten werden gelöscht.
1006,팀이름,Teamname
1007,라운드,Runden
1008,정수,Wesen
1009,저장날짜,Sichere Termin
1010,결정,Entscheidung
1011,경기,Spiel
1012,리그,Liga
1013,전략,Strategie
1014,선수{관리,Spieler {Management.
1015,영입{시장,Rekrutierung {Markt
1016,멀티{대전,Multi {Match.
1017,계정,Konto
1018,순위,Rang
1019,승,W.
1020,패,L.
1021,라인전,Linie
1022,한타,Teamkampf
1023,운영,Operation
1024,포지션,Position
1025,이름,Name
1026,종합,Gesamt
1027,일정,Kalender
1028,상대팀,Gegnerische Mannschaft
1029,총합,Gesamt
1030,결과,Ergebnis
1031,승리,Sieg
1032,패배,Niederlage
1033,간편,Einfach
1034,지침,Richtlinie
1035,픽밴,Pick-Ban
1036,설정,einstellen
1037,설명,Erläuterung
1038,라인,Linie
1039,타입,Art
1040,등급,Nennen
1041,강화,Verstärken
1042,재조합,Rekombination
1043,팀케미,Teamchemie
1044,선발 선수,Startspieler
1045,후보 선수,Unterspieler
1046,레벨 포인트,Levelpunkt
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {jahr chemie (▲ 1) {type chemie (▲ 1) {liga chemie (▲ 1)
1048,케미스트리,Chemie
1049,재조합 선수,Rekombinanter Spieler
1050,제거,Entfernen
1051,강화 선수,Verstärkungsspieler.
1052,재료 선수,Stuff-Spieler
1053,성공확률:,Erfolgsschance:
1054,영입시장,Rekrutierungsmarkt
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,"Sehen Sie sich gesponserte Anzeigen an, um Belohnungen zu erhalten."
1056,5번 보시면 200정수를 추가로 드립니다.,Wenn Sie 5-mal aussehen} erhalten Sie weitere 200 GESSENCE.
1057,골드 영입,Goldrekrutierung.
1058,실버 선수,Silberspieler
1059,시청,Sehen
1060,플레,Platin
1061,골드,Gold
1062,선수명단,Spielerliste
1063,가격,Preis
1064,추천,Empfehlen
1065,구입,Kaufen
1066,탑 랭킹,Top-Rang
1067,내 순위,Mein Rang
1068,새로고침시간,Zeitzeit aktualisieren
1069,대전정보,Übereinstimmungsinformationen
1070,대전찾기,Übereinstimmung der Suche
1071,선수,Spieler
1072,감독,Manager
1073,로그인,Anmeldung
1074,확인,Bestätigen
1075,일일,Tag
1076,업적,Erfolge
1077,기타,Usw
1078,보상,Belohnung
1079,공지사항,Beachten
1080,계속,Fortsetzen
1081,이곳을 눌러 입력,"Drücken Sie hier, um einzugeben"
1082,최종순위,Endgültiger Rang
1083,시즌 보상:,Saisonbelohnung:
1084,스킵,Überspringen
1085,예,Ja
1086,아니오,Nein
1087,터치 하면 게임 시작,"Berühren Sie, um das Spiel zu starten"
1088,평점,Klasse
1089,경기진행,Fortschritt anpassen
1090,버전확인,Überprüfen Sie die Version.
1091,업데이트하러 가기,Zum Update gehen
1092,다시확인,Nochmal Überprüfen
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Fehler beim Laden der Teaminformationen nicht. {Versuchen Sie es erneut
1094,이곳을 눌러 찾을 팀이름 입력,"Tippen Sie hier auf, um den Teamnamen einzugeben, um zu finden"
1095,밴플레이어,Banspieler
1096,전달,Relais
1097,전송,Senden
1098,문의하기,Kontaktiere uns
1099,버그/건의,Fehler / Vorschläge
1100,게임 종료,Spiel verlassen
1101,초대링크,Einladungslink.
1102,모의경기,Simulationsmatch.
1103,전략복사,Strategische Kopie.
1104,신고,Bericht
1105,<이벤트>,<Veranstaltung>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,"Sponsor's Express-Event! {{{Che check out the gespeicherte Anzeigen nun, um eine zusätzliche Belohnung von + 50% zu erhalten."
1107,영입시장으로 가기,Gehen Sie zum Recruitment Market
1108,<리뷰 이벤트>,<Review-Event>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,"Vielen Dank, dass Sie das Spiel gespielt haben. {{Dies ist eine große Hilfe für die Entwickler. Sie erhalten 300 Essenz als Belohnung."
1110,리뷰하러 가기,Zur Überprüfung gehen
1111,답변을 받으실 메일을 적어주세요.,"Bitte schreiben Sie eine E-Mail, um zu antworten."
1112,(언어 변경 시 재시작 필요),"(Erfordert, wenn die Sprache wiederholt)"
1113,이벤트,Veranstaltung
