ID,Dec
1000000,১৮ সিজনে KR লিগের সমস্ত দলকে পরাজিত করো।
1000001,১৯ বসন্ত মৌসুমে সকল KR লিগ টিমকে পরাজিত করুন।
1000002,১৯শো গ্রীষ্মকালীন মৌসুমে সব KR লিগ দলের বিরুদ্ধে জয়লাভ করুন।
1000003,মাল্টি-ম্যাচ ১৯ সিজনের শীর্ষ ১০ টিমকে 모두 পরাজিত করো।
1000004,২০ বসন্ত সিজনে সমস্ত KR লিগ দলকে পরাজিত করুন।
1000005,২০ বসন্ত সিজনে সমস্ত ইউরোপীয় লিগ টিমকে পরাজিত কর।
1000006,২০ বসন্ত সিজনে সমস্ত NA লিগ দলের বিরুদ্ধে জয়লাভ করুন।
1000007,২০তম গ্রীষ্মের মৌসুমে সমস্ত KR লিগ দলের ওপর বিজয় অর্জন করুন।
1000008,২০শে গ্রীষ্মের স্প্লিটে সব ইউরোপীয় লিগ দলকে পরাস্ত করুন।
1000009,২০তম গ্রীষ্মকালীন সিজনে সমস্ত NA লিগ দলের উপর বিজয় অর্জন করুন।
1000010,মাল্টি ম্যাচ ২০ সিজনের শীর্ষ ১০ দলকে পরাজিত করুন।
1000011,২১ স্প্রিং সিজনে সব KR লিগ টিমকে পরাজিত করো।
1000012,২১ বসন্ত সিজনে ইউইউ (EU) লীগ দলগুলোকে 모두 পরাজিত করো।
1000013,২১ বসন্ত সিজনে সমস্ত উত্তর‑আমেরিকা লিগ দলের বিরুদ্ধে জয়লাভ করুন।
1000014,মাল্টি ম্যাচ ২১‑১ সিজনের টপ ১০ দলগুলোকে পরাজিত করুন।
1000015,মাল্টি-ম্যাচ ২১‑২ সিজনের শীর্ষ ১০ দলের সবকটিকে পরাস্ত করো।
1000016,২১ বসন্ত মরসুমে সমস্ত CN লীগ দলকে পরাজিত করুন।
1000017,২১ গ্রীষ্মের সিজনে সমস্ত KR লিগ দলকে পরাস্ত করো।
1000018,২১ গ্রীষ্মকালীন সিজনে ইউরোপের সব লিগ দলকে পরাজিত করো।
1000019,২১ গ্রীষ্মের সিজনে সমস্ত এনএ লিগ টিমকে পরাজিত করো।
1000020,২১ গ্রীষ্মকালীন সিজনে সব CN লিগ টিমকে পরাজিত করো।
1000021,মাল্টি ম্যাচ ২১‑৩ সিজনের শীর্ষ ১০ দলকে পরাজিত করুন।
1000022,মাল্টি ম্যাচ ২২‑১ সিজনের টপ১০ দলগুলোকে পরাজিত করুন।
