ID,Korean,Dec
1000,효과음,Efeito Sonoro
1001,배경음,Som de Fundo
1002,언어,Idioma
1003,만든이: 허민구{연락: huccce@gmail.com,Criado por: Heo Min‑gu {Contato: huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,Carregando / {Login com o Google}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Atenção>{{Há mais de um conjunto de dados. Selecione o conjunto que deseja carregar. {Conjuntos não selecionados serão excluídos.
1006,팀이름,Nome da equipe
1007,라운드,Rodada
1008,정수,Essência
1009,저장날짜,Reserve a data
1010,결정,Decisão
1011,경기,Partida
1012,리그,Liga
1013,전략,Estratégia
1014,선수{관리,Jogador{Gerenciamento
1015,영입{시장,Recrutamento{Mercado
1016,멀티{대전,Multi{Partida}
1017,계정,Conta
1018,순위,Rank
1019,승,W
1020,패,L
1021,라인전,Rota
1022,한타,Luta em equipe
1023,운영,Operação
1024,포지션,Posição
1025,이름,Nome
1026,종합,Total
1027,일정,Calendário
1028,상대팀,Time adversário
1029,총합,Total
1030,결과,Resultado
1031,승리,Vitória
1032,패배,Derrota
1033,간편,Simples
1034,지침,Diretriz
1035,픽밴,Pick Ban
1036,설정,Conjunto
1037,설명,Explicação
1038,라인,Rota
1039,타입,Tipo
1040,등급,Classificação
1041,강화,Reforçar
1042,재조합,Recombinação
1043,팀케미,Time Química
1044,선발 선수,Jogador Titular
1045,후보 선수,Jogador Substituto
1046,레벨 포인트,Ponto de Nível
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Time Chemie(▲2){Ano Chemie(▲1){Tipo Chemie(▲1){Liga Chemie(▲1)
1048,케미스트리,Química
1049,재조합 선수,Jogador híbrido
1050,제거,Remover
1051,강화 선수,Jogador de Reforço
1052,재료 선수,Jogador de Itens
1053,성공확률:,Chance de Sucesso:
1054,영입시장,Mercado de Recrutamento
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Assista a anúncios patrocinados para ganhar recompensas.
1056,5번 보시면 200정수를 추가로 드립니다.,"Se você observar 5 vezes, ganhará 200 de Essência extra."
1057,골드 영입,Recrutamento Ouro
1058,실버 선수,Jogador Prata
1059,시청,Assistir
1060,플레,Platina
1061,골드,Ouro
1062,선수명단,Lista de Jogadores
1063,가격,Preço
1064,추천,Recomendar
1065,구입,Comprar
1066,탑 랭킹,Rank mais alto
1067,내 순위,Meu rank
1068,새로고침시간,Tempo de recarga
1069,대전정보,Informações da Partida
1070,대전찾기,Busca de Partida
1071,선수,Jogador
1072,감독,Gerente
1073,로그인,Login
1074,확인,Confirmar
1075,일일,Dia
1076,업적,Conquistas
1077,기타,etc.
1078,보상,Recompensa
1079,공지사항,Aviso
1080,계속,Continuar
1081,이곳을 눌러 입력,Clique aqui para entrar
1082,최종순위,Classificação final
1083,시즌 보상:,Recompensa da Temporada:
1084,스킵,Pular
1085,예,Sim
1086,아니오,Não
1087,터치 하면 게임 시작,Toque para iniciar a partida
1088,평점,Classificação
1089,경기진행,Andamento da Partida
1090,버전확인,Verificar versão
1091,업데이트하러 가기,Ir para atualização
1092,다시확인,Verifique novamente.
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Falha ao carregar as informações do time. {Tente novamente
1094,이곳을 눌러 찾을 팀이름 입력,Toque aqui para inserir o nome da equipe e buscar.
1095,밴플레이어,Banir jogador
1096,전달,Retransmissão
1097,전송,Enviar
1098,문의하기,Fale conosco
1099,버그/건의,Bug / Sugestões
1100,게임 종료,Sair do Jogo
1101,초대링크,Link de convite
1102,모의경기,Partida de Simulação
1103,전략복사,Cópia Estratégica
1104,신고,Denunciar
1105,<이벤트>,<Event>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Evento Relâmpago do Patrocinador! {{Confira os Anúncios Patrocinados agora e ganhe um bônus extra de +50% de recompensa.}}
1107,영입시장으로 가기,Vá ao mercado de recrutamento.
1108,<리뷰 이벤트>,Revisar evento
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Obrigado por jogar. {{Isso ajuda muito os desenvolvedores. Você receberá 300 Essência como recompensa.}}
1110,리뷰하러 가기,Ir para a análise
1111,답변을 받으실 메일을 적어주세요.,"Por favor, redija um e‑mail de resposta."
1112,(언어 변경 시 재시작 필요),(Requer reinicialização ao alterar o idioma)
1113,이벤트,Evento
1114,포인트,Ponto
1115,친구요청,Solicitação de amizade
1116,친구추가,Adicionar Amigo
1117,친구 목록,Lista de Amigos
1118,찾기,Encontrar
1119,아니요,Não
1120,멀티대전정보,Informações do MultiMatch
1121,친구 추가,Adicionar Amigo
1122,라인전{운영,Linha{Operação
1123,밸런스,Balanceado
1124,커스텀,Personalizado
1125,탑,Topo
1126,정글,Selva
1127,미드,Mid
1128,원딜,AD
1129,서폿,Suporte
1130,중심,Centro
1131,갱킹,Gankando
1132,메인오더,Ordem Principal
1133,한정,Limitado
1134,레벨,NV
1135,팀,Equipe
1136,당신의 팀이름을 정해주세요{(최대 5글자),"Por favor, informe o nome do seu time (até 5 caracteres)."
1137,보낸이,De
1138,내용,Conteúdo
1139,첨부,Anexo
1140,쪽지 목록,Lista de Mensagens
1141,받는이:,Para:
1142,첨부종류:,Tipo de Anexo:
1143,상세:,Detalhe:
1144,전송 비용:,Custo de transmissão:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Preço do item + taxa base 100 + 5% do preço do item acoplado)
1146,쪽지보내기,Enviar mensagem
1147,첼린저,Desafiador
1148,마스터,Mestre
1149,다이아,Diamante
1150,플레티넘,Platina
1151,골드,Ouro
1152,실버,Prata
1153,브론즈,Bronze
1154,<시즌 보상정보>,Informações das Recompensas da Temporada
1155,시즌 보상정보,Informações sobre as Recompensas da Temporada
1156,등급상승 보상,Recompensa de Upgrade de Classe
1157,명예의 전당 헌액,Contribuição ao Hall da Fama
1158,시즌보상카드 증정,Cartão de Recompensa da Temporada
1159,다이아 패키지,Pacote Diamante
1160,플레티넘 패키지,Pacote Platina
1161,골드 패키지,Pacote Gold
1162,실버 패키지,Pacote Prata
1163,모든선수 패키지,Pacote de Todos os Jogadores
1164,다이아 영입,Recrutamento Diamante
1165,첼린저 영입,Recrutamento Challenger
1166,모든한정포함 첼린저 영입,Recrutamento com Limite Total
1167,보낸날짜,Data de envio
1168,보상정보,Informações de Recompensas
1169,모든팀에게 승리 시,Vitória para todas as equipes!
1170,상세보기,Ver detalhes
