ID,Dec
11000,Timmu menang liga kanthi pelatihan sing luar biasa! Ayo persiapaké supaya bisa menangi Kejuaraan Dunia.
11001,"Sanajan ora menang, dheweke tetep ngetokake performa sing apik tenan. Snow Bathing wis rampung ing World Championship!"
11002,"Dudu kejuaraan, nanging kita sukses lolos menyang Kejuaraan Dunia!"
11003,"Iki dudu kejuaraan, nanging iku peringkat sing apik kanggo nyoba menang ing musim sabanjuré."
11004,"Sing paling ala wis dihindari, nanging rangkingé ora apik. Kanggo nggayuh rangking sing luwih dhuwur, aku rasa perlu perbaikan."
11005,"Kita nutup musim iki ing posisi paling ngisor. Kanggo para fan sing ndhukung kita, ayo maju luwih adoh kanggo musim sabanjure."
11006,Tim iki menangaké Kejuaraan Dunia kanthi pelatihan sing luar biasa! Pemain lan penggemar ngrayakaké kepemimpinanmu sing hebat. Selamat.
11007,"Ora menang, nanging wis nindakake tugas sing apik banget. Ayo nyoba kanggo ngrebut Kejuaraan Dunia ing musim sabanjure!"
11008,"Sayangé, iki nilai sing apik banget. Ayo nambah kekuwatan kita ing musim sabanjure lan nyoba kanggo ngrebut gelar Juara Dunia selanjutnya."
11009,"Sampeyan wis sukses mlebu turnamen. Musim sabanjure, ayo maju menyang turnamen sing luwih dhuwur."
11010,"Sayangé, turnamen iki gagal. Nanging ayo maju menyang Kejuaraan Dunia musim ngarep lan targetaké gelar juara."
20000,Pameran Garis / Operasi
20001,Keseimbangan
20002,Pertarungan Tim
20003,Kustom
21000,Iki strategi kanggo ngluncurake snowball adhedhasar pertarungan lane sing kuat. {{-Cocok yen sampeyan nduweni pertarungan lane sing dominan. {-Sampeyan bisa dibalekaké dadi siji tembakan nalika duwe blow sing lemah.
21001,Lineup} Teamfight} Operation Mainake game kanthi cara sing seimbang. {{-Iki cocok nalika kemampuan pemain padha.
21002,Iki strategi sing nyasarake kanggo nggayuh **one‑shot** liwat siji tembakan. Cocog banget nalika tim nduwèni kemampuan **one‑shot** sing kuat.
21003,Iki strategi sampeyan.
22000,Pusat pertandingane
22001,titik tengah gank
22002,Urutan utama
23000,Pilih kemampuan sing dadi pusat pertarungan. Statistik tim bakal nambah. Nanging sisa kekuwatan bakal mudhun.
23001,Jungler mutusaké jalur kanggo ganking.
23002,Pasang posisi sing ngarahake operasi tim. Perintah utama bakal nambah proporsi operasional tim.
24000,Keseimbangan
24001,Jalur
24002,Pertarungan Tim
24003,Operasi
24004,Keseimbangan
24005,Top
24006,Mid
24007,Bot
24008,Top
24009,Hutan
24010,Mid
24011,Damage Serangan (AD)
24012,Dhukungan
25000,Serang
25001,Seimbang
25002,Tank
25003,Serangan
25004,Seimbang
25005,Kapal tanker
25006,Serangan
25007,Seimbang
25008,Pendukung
25009,Serang
25010,Seimbang
25011,Utilitas
25012,Serang
25013,Seimbang
25014,Tank
26000,Nekani lawan kanthi agresif ing garis. Uga njupuk kontrol operasi liwat split. {{▲ Stat operasi nambah. {{-Poin sing dipikolehi utawa kelangan ing garis mundhak. {{▼ Stat teamfight mudhun.
26001,Tank Dasar
26002,"Pengaruh dikurangi dalam pertarungan lane. Nanging, dheweke luwih kuat ing Teamfight. {{▲ Kemampuan Teamfight meningkat. {{-Poin sing didapat atau ilang di lane berkurang. {{▼ Stat Operasi turun."
26003,"Ganké dadi luwih kuat. Nanging, risiko kegagalan gank dhuwur banget. {{▲ Statistik garis mundhak. {{"
26004,Tank dhasar
26005,"Kemampuan gank menurun. Nanging, kemampuan serangan meningkat. {{▲ Kemampuan serangan meningkat. {{▼ Kemampuan susunan turun."
26006,Nggesek lawan kanthi kenceng ing jalur. Uga njupuk kontrol operasi liwat split. {{▲ Stat operasi mundhak. {{-Poin sing dipikolehi utawa kelangan ing jalur nambah. {{▼ Stat timfight mudhun.
26007,Champion nuker dhasar.
26008,Tujuane yaiku ngapikake kemampuan One Dil. {{▲ Stat One Dil nambah.
26009,"Dina‑dina awal kuwat. Nanging sakwise wektu lumaku, dadi luwih lemes. {{▲ Komposisi nganti 20 menit pisanan} Kemampuan timfight nambah. {{▼ Kemampuan timfight mudhun saka babak kapindho."
26010,Champion dhasar sing mung siji peran.
26011,Fokus mbantu tim tinimbang peran Carrie. {{▲ Statistik operasional mundhak. {{▼ Statistik baris mudhun.
26012,"Pertarungan baris iku kuat. Nanging, mbebayani yen nglakoni karo kesehatan sing kurang. {{▲ Statistik susunan meningkat. {{-Poin sing dipikolehi utawa ilang saka operasi nambah."
26013,Champ support dasar.
26014,"Ringkih ing lane. Nanging, iki kuat ing teamfight. {{▲ Stat teamfight mundhak. {{▼ Stat lane mudhun."
30000,"Yen ora bisa mlebu menyang Google, sampeyan ora bakal bisa main mode multipemain. Mangga mlebu akun Google dhisik."
30001,Ana pungkasan sing abnormal ing match multi pungkasan. Game kasebut dipun forfeit.
30002,Sugeng! Kowé wis promosi menyang level sabanjuré!
30003,Sampeyan wis diturunkan peringkat amarga terus-terusan kalah.
30004,Mlebu
30005,Ana masalah. Alasan masalah:
30006,"Sambungan internet wis ilang. Nalika sambungan internet wis mulih, sampeyan bakal otomatis nyambung maneh."
30007,"Internet wis diputus nalika pertandingan multi. Yen sampeyan ngeklik OK, sampeyan bakal metu saka stadion."
30008,Ana masalah nalika nemokake lawanmu. {Pencet OK kanggo metu saka stadion.
30009,Game iki ora paling anyar. Kowe kudu nganyari menyang versi paling anyar kanggo main pertandingan. {{Pencet tombol ing ngisor iki kanggo mriksa versi maneh} utawa bukak kaca pembaruan.
30010,Mriksa
30011,Iki ora versi paling anyar.
30012,Menit
