ID,Korean,Dec
1000,효과음,Effetto sonoro
1001,배경음,Sound di sfondo
1002,언어,Lingua
1003,만든이: 허민구{연락: huccce@gmail.com,Creato da: heo min-gu {Contatto: huckcce@gmail.com
1004,불러오는 중 /{구글 로그인,Caricamento / {Google Accedi
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attenzione> {{c'è più di un dato. Si prega di selezionare i dati da caricare. {I dati non selezionati saranno cancellati.
1006,팀이름,Nome della squadra
1007,라운드,Girare
1008,정수,Essenza
1009,저장날짜,Risparmia la data
1010,결정,Decisione
1011,경기,Incontro
1012,리그,Lega
1013,전략,Strategia
1014,선수{관리,Giocatore {Gestione
1015,영입{시장,Reclutamento {market.
1016,멀티{대전,Multi {match.
1017,계정,Account
1018,순위,Rango
1019,승,W.
1020,패,L.
1021,라인전,Linea
1022,한타,Combattimento a squadre
1023,운영,Operazione
1024,포지션,Posizione
1025,이름,Nome
1026,종합,Totale
1027,일정,Calendario
1028,상대팀,Squadra avversaria
1029,총합,Totale
1030,결과,Risultato
1031,승리,Vittoria
1032,패배,Sconfitta
1033,간편,Semplice
1034,지침,Orientamento
1035,픽밴,Scegli il divieto
1036,설정,Impostato
1037,설명,Spiegazione
1038,라인,Linea
1039,타입,Tipo
1040,등급,Valutazione
1041,강화,Rafforzare
1042,재조합,Ri combinazione
1043,팀케미,Team chemie.
1044,선발 선수,Avviatore
1045,후보 선수,Sub Player.
1046,레벨 포인트,Punto di livello
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {anno Chemie (▲ 1) {Tipo chemie (▲ 1) {League Chemie (▲ 1)
1048,케미스트리,Chimica
1049,재조합 선수,Giocatore ricombinante
1050,제거,Rimuovere
1051,강화 선수,Giocatore di rinforzo
1052,재료 선수,Stuff player.
1053,성공확률:,Possibilità di successo:
1054,영입시장,Market di reclutamento
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Guarda gli annunci sponsorizzati per ottenere premi.
1056,5번 보시면 200정수를 추가로 드립니다.,Se guardi 5 volte} riceverai ulteriori 200essere.
1057,골드 영입,Reclutamento d'oro.
1058,실버 선수,Giocatore d'argento
1059,시청,Guadare
1060,플레,Platino
1061,골드,Oro
1062,선수명단,Elenco dei giocatori
1063,가격,Prezzo
1064,추천,Raccomandare
1065,구입,Acquistare
1066,탑 랭킹,Top rank.
1067,내 순위,Il mio rango.
1068,새로고침시간,Aggiorna tempo
1069,대전정보,Informazioni sulla corrispondenza
1070,대전찾기,Ricerca corrispondenza
1071,선수,Giocatore
1072,감독,Manager
1073,로그인,Login
1074,확인,Confermare
1075,일일,Giorno
1076,업적,Risultati
1077,기타,Eccetera
1078,보상,Ricompensa
1079,공지사항,Avviso
1080,계속,Continua
1081,이곳을 눌러 입력,Premere qui per entrare
1082,최종순위,Rango finale
1083,시즌 보상:,Progettazione della stagione:
1084,스킵,Saltare
1085,예,sì
1086,아니오,No
1087,터치 하면 게임 시작,Tocca per avviare il gioco
1088,평점,Grado
1089,경기진행,Progresso della partita
1090,버전확인,Controlla la versione
1091,업데이트하러 가기,Vai ad AGGIORNARE.
1092,다시확인,controlla di nuovo
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Impossibile caricare informazioni sul team. {Riprova
1094,이곳을 눌러 찾을 팀이름 입력,Tocca qui per inserire il nome della squadra da trovare
1095,밴플레이어,Ban Player.
1096,전달,Relè
1097,전송,Spedire
1098,문의하기,Contattaci
1099,버그/건의,Bug / suggerimenti
1100,게임 종료,Esci da Game.
1101,초대링크,Link di invito
1102,모의경기,Partita di simulazione
1103,전략복사,Copia strategica
1104,신고,Rapporto
1105,<이벤트>,<Evento >.
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Sponsor's Express Event! {{Dai un'occhiata agli annunci sponsorizzati ora per ottenere una ricompensa aggiuntiva + 50%.
1107,영입시장으로 가기,Vai al mercato del reclutamento
1108,<리뷰 이벤트>,<Review Event>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Grazie per aver giocato il gioco. {{Questo è un grande aiuto per gli sviluppatori. Riceverai 300 essenze come ricompensa.
1110,리뷰하러 가기,Vai alla revisione
1111,답변을 받으실 메일을 적어주세요.,Per favore scrivi un'e-mail per rispondere.
1112,(언어 변경 시 재시작 필요),(Richiede il riavvio durante la modifica della lingua)
1113,이벤트,Evento
1114,포인트,Punto
1115,친구요청,Richiesta di amicizia
1116,친구추가,Aggiungi amico
1117,친구 목록,Lista di amici
1118,찾기,Trova
1119,아니요,No
1120,멀티대전정보,Informazioni multimatch
1121,친구 추가,Aggiungi amico
1122,라인전{운영,Linea {operazione
1123,밸런스,Equilibrato
1124,커스텀,Costume
1125,탑,Superiore
1126,정글,Superiore
1127,미드,Giungla
1128,원딜,Medio
1129,서폿,ANNO DOMINI
1130,중심,Centro
1131,갱킹,Gancario
1132,메인오더,Ordine principale
1133,한정,Limitato
1134,레벨,Lv.
1135,팀,Squadra
1136,당신의 팀이름을 정해주세요{(최대 5글자),Si prega di specificare il tuo nome del team {(fino a 5 caratteri)
1137,보낸이,A partire dal
1138,내용,Contenuti
1139,첨부,Allegato
1140,쪽지 목록,Elenco dei messaggi
1141,받는이:,A:
