ID,Name,Dec
1000,مكافأة تسجيل الدخول اليومية,مكافأة تسجيل الدخول اليوم
1001,٣ مكافآت يومية,مكافآت ثلاث مباريات اليوم
1002,دعم,يمكنك رعاية المطوّر عبر Tw​nation.
1003,مراجعة,يرجى المراجعة وسنمنحك المكافأة.
1004,اكتمل التدريب,إكمال الشرح
1005,إنجاز رتبة الفضة,احصل على رتبة الفضة في نظام اللعب المتعدد (Multiplay)
1006,إنجاز رتبة الذهب,حقق رتبة الذهب في وضع متعدد اللاعبين
1007,إنجاز رتبة البلاتين,احصل على رتبة البلاتين في مولتِبلاي​
1008,إنجاز رتبة الماس,تحقّق رتبة الماس في وضع اللعب المتعدد
1009,إنجاز رتبة الماستر,احصل على رتبة الماستر في وضع اللعب المتعدد
1010,إنجاز التشالنجر,احصل على رتبة Challenger في طور Multiplayer.
1011,بطل الدوري,حقق المركز الأول في الدوري
1012,الميدالية الفضية,وصل إلى المركز الثاني في الدوري
1013,الميدالية البرونزية,حقق المركز الثالث في الدوري
1014,3 أبطال,احصل على 3 ألقاب الدوري
1015,٣ ميداليات فضية,احتل المركز الثاني في ثلاث دوريات
1016,٣ ميداليات برونزية,حقق المركز الثالث في ثلاثة دوريات
1017,5 أبطال,احصل على 5 ألقاب دوري
1018,٥ ميداليات فضية,احقق المركز الثاني في خمس دوريات
1019,5 ميداليات برونزية,حقق المركز الثالث في خمس دوريات.
1020,الموسم الأول,الموعد النهائي للموسم الأول
1021,الموسم الثالث,الموعد النهائي للموسم الثالث
1022,الموسم الخامس,الموعد النهائي للموسم الخامس
1023,الموسم العاشر,الموعد النهائي للموسم العاشر
1024,٦ مكافآت يومية,مكافآت اليوم للعبتين السادستين!
1025,إنجاز رتبة الفضة,احصل على رتبة الفضة في اللعب المتعدد
1026,إنجاز رتبة الذهب,احصل على رتبة الذهب في وضع متعدد اللاعبين
1027,إنجاز رتبة البلاتين‬,احصل على رتبة البلَتِين في طور اللعب المتعدد ​
1028,إنجاز رتبة الماس,تحقق رُتبة الألماس في طور Multiplay
1029,إنجاز رتبة ماستر,احصل على رتبة الماستر في طور اللعب المتعدد !
1030,إنجاز التشالينجر,احصل على رتبة التشالينجر في وضع اللاعبين المتعددين.
1031,الحد اليومي للمباريات,عدد المباريات اليومية التي يمكنك من خلالها الحصول على الجوهر
