ID,Korean,Dec
1000,효과음,ध्वनि प्रभाव
1001,배경음,पृष्ठभूमि ध्वनि
1002,언어,भाषा
1003,만든이: 허민구{연락: huccce@gmail.com,निर्माता: हेओ मिन-गु {संपर्क: huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,लोड हो रहा है / {Google साइन‑इन}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,ध्यान दें{{एक से अधिक डेटा मौजूद हैं। कृपया लोड करने के लिये डेटा चुनें। {अछूते डेटा को हटा दिया जाएगा।
1006,팀이름,टीम नाम
1007,라운드,राउंड
1008,정수,सार
1009,저장날짜,तारीख सुरक्षित रखें
1010,결정,निर्णय
1011,경기,मैच
1012,리그,लीग
1013,전략,रणनीति
1014,선수{관리,प्लेयर{मैनेजमेंट
1015,영입{시장,भर्ती{बाज़ार
1016,멀티{대전,मल्टीमैच
1017,계정,अकाउंट
1018,순위,रैंक
1019,승,W
1020,패,हार
1021,라인전,लाइन
1022,한타,टीमफ़ाइट
1023,운영,ऑपरेशन
1024,포지션,पोजीशन
1025,이름,नाम
1026,종합,कुल
1027,일정,कैलेंडर
1028,상대팀,विपक्षी टीम
1029,총합,कुल
1030,결과,परिणाम
1031,승리,विजय
1032,패배,पराजित
1033,간편,सरल
1034,지침,निर्देशिका
1035,픽밴,पिक/बैन
1036,설정,सेट
1037,설명,व्याख्या
1038,라인,लाइन
1039,타입,प्रकार
1040,등급,रेटिंग
1041,강화,सुदृढ़ करें
1042,재조합,रीकॉम्बिनेशन
1043,팀케미,टीम केमी
1044,선발 선수,स्टार्टिंग प्लेयर
1045,후보 선수,रिज़र्व खिलाड़ी
1046,레벨 포인트,लेवल पॉइंट
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),टीम केमी(▲2){Year केमी(▲1){Type केमी(▲1){League केमी(▲1)
1048,케미스트리,केमिस्ट्री
1049,재조합 선수,रिकॉम्बिनेंट प्लेयर
1050,제거,हटाएँ
1051,강화 선수,रिइन्फ़ोर्समेंट प्लेयर
1052,재료 선수,सामग्री खिलाड़ी
1053,성공확률:,सफलता की संभावना:
1054,영입시장,रिक्रूटमेंट मार्केट
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,स्पॉन्सरशिप वाले विज्ञापन देखें और रिवॉर्ड्स हासिल करें।
1056,5번 보시면 200정수를 추가로 드립니다.,"यदि आप 5 बार देखें, तो आपको अतिरिक्त 200 Essence मिलेंगे।"
1057,골드 영입,गोल्ड भर्ती
1058,실버 선수,सिल्वर प्लेयर
1059,시청,देखें
1060,플레,प्लैटिनम
1061,골드,गोल्ड
1062,선수명단,खिलाड़ी सूची
1063,가격,कीमत
1064,추천,सिफ़ारिश करें
1065,구입,खरीदें
1066,탑 랭킹,टॉप रैंक
1067,내 순위,मेरा रैंक
1068,새로고침시간,रिफ़्रेश टाइम
1069,대전정보,मैच जानकारी
1070,대전찾기,मैच खोजें
1071,선수,खिलाड़ी
1072,감독,मैनेजर
1073,로그인,लॉगिन
1074,확인,पुष्टि करें
1075,일일,दिन
1076,업적,उपलब्धियाँ
1077,기타,इत्यादि
1078,보상,इनाम
1079,공지사항,सूचना
1080,계속,जारी रखें
1081,이곳을 눌러 입력,यहां टैप करके प्रवेश करें
