ID,Korean,Dec
1000.0,효과음,Effetto sonoro
1001.0,배경음,Suono di sfondo
1002.0,언어,Lingua
1003.0,만든이: 허민구{연락: huccce@gmail.com,Creato da: heo min-gu {Contatto: huckcce@gmail.com
1004.0,불러오는 중 /{구글 로그인,Caricamento / {Google Accedi
1005.0,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attenzione> {{c'è più di un dato. Si prega di selezionare i dati da caricare. {I dati non selezionati saranno cancellati.
1006.0,팀이름,Nome della squadra
1007.0,라운드,Il giro
1008.0,정수,Essenza
1009.0,저장날짜,Risparmia la data
1010.0,결정,Decisione
1011.0,경기,Corrispondere
1012.0,리그,Lega
1013.0,전략,Strategia
1014.0,선수{관리,Giocatore {Gestione
1015.0,영입{시장,Reclutamento {market.
1016.0,멀티{대전,Multi {match.
1017.0,계정,Account
1018.0,순위,Rango
1019.0,승,W.
1020.0,패,L.
1021.0,라인전,Linea
1022.0,한타,Combattimento a squadre
1023.0,운영,Operazione
1024.0,포지션,Posizione
1025.0,이름,Nome
1026.0,종합,Totale
1027.0,일정,Calendario
1028.0,상대팀,Squadra avversaria
1029.0,총합,Totale
1030.0,결과,Risultato
1031.0,승리,Vittoria
1032.0,패배,La sconfitta
1033.0,간편,Semplice
1034.0,지침,Orientamento
1035.0,픽밴,Scegli il divieto
1036.0,설정,Impostato
1037.0,설명,Spiegazione
1038.0,라인,Linea
1039.0,타입,Tipo
1040.0,등급,Valutazione
1041.0,강화,Rafforzare
1042.0,재조합,Ri combinazione
1043.0,팀케미,Team Chemie.
1044.0,선발 선수,Avviatore
1045.0,후보 선수,Sub Player.
1046.0,레벨 포인트,Punto di vista
1047.0,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {anno Chemie (▲ 1) {Tipo Chemie (▲ 1) {League Chemie (▲ 1)
1048.0,케미스트리,Chimica
1049.0,재조합 선수,Giocatore ricombinante
