ID,Korean,Dec
1000,효과음,音響効果
1001,배경음,背景音
1002,언어,言語
1003,만든이: 허민구{연락: huccce@gmail.com,作成者：heo min-gu {連絡先：huccce@gmail.com
1004,불러오는 중 /{구글 로그인,ローディング/ {Googleサインイン
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<注意> {{{複数のデータがある。ロードするデータを選択してください。 {未選択のデータは削除されます。
1006,팀이름,チームの名前
1007,라운드,ラウンド
1008,정수,エッセンス
1009,저장날짜,日付を節約します
1010,결정,決断
1011,경기,マッチ
1012,리그,同盟
1013,전략,ストラテジー
1014,선수{관리,プレイヤー{管理
1015,영입{시장,採用{市場
1016,멀티{대전,マルチ{一致する
1017,계정,アカウント
1018,순위,ランクー
1019,승,w
1020,패,l
1021,라인전,ライン
1022,한타,チームファイト
1023,운영,手術
1024,포지션,位置
1025,이름,名前
1026,종합,合計
1027,일정,カレンダー
1028,상대팀,反対のチーム
1029,총합,合計
1030,결과,結果
1031,승리,勝利
1032,패배,敗北
1033,간편,単純
1034,지침,ガイドライン
1035,픽밴,ピックアップ
1036,설정,設定
1037,설명,説明
1038,라인,ライン
1039,타입,タイプ
1040,등급,rating
1041,강화,強化する
1042,재조합,再結合
1043,팀케미,チームケミー
1044,선발 선수,プレーヤーを開始します
1045,후보 선수,サブプレーヤー
1046,레벨 포인트,level point
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie（←2）{年文学（←1）{Type Chemie（←1）{リーグ化学（←1）
1048,케미스트리,化学
1049,재조합 선수,組み換えプレーヤー
1050,제거,削除する
1051,강화 선수,強化選手
1052,재료 선수,スタッフプレーヤー
1053,성공확률:,成功チャンス：
1054,영입시장,採用市場
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,スポンサー付き広告を報酬を受けるのを見る。
1056,5번 보시면 200정수를 추가로 드립니다.,あなたが5回見ているならば、あなたは追加の200essenceを受け取るでしょう。
1057,골드 영입,ゴールドリクルートメント
1058,실버 선수,シルバープレーヤー
1059,시청,時計
1060,플레,白金
1061,골드,ゴールド
1062,선수명단,プレイヤーリスト
1063,가격,価格
1064,추천,お勧め
1065,구입,買う
1066,탑 랭킹,いたずらへ
1067,내 순위,私のランク
1068,새로고침시간,更新時刻
1069,대전정보,インフォメーションを一致させる
1070,대전찾기,検索を一致させる
1071,선수,プレーヤー
1072,감독,マネジャー
1073,로그인,ログイン
1074,확인,確認
1075,일일,日
1076,업적,業績
1077,기타,NS
1078,보상,褒美
1079,공지사항,知らせ
1080,계속,継続する
1081,이곳을 눌러 입력,ここに入るために押します
1082,최종순위,最終ランク
1083,시즌 보상:,シーズン報酬：
1084,스킵,スキップ
1085,예,はい
1086,아니오,番号
1087,터치 하면 게임 시작,タッチしてゲームを始めましょう
1088,평점,学年
1089,경기진행,一致する
1090,버전확인,バージョンをチェック
1091,업데이트하러 가기,更新に進みます
1092,다시확인,もう一度チェック
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,チーム情報のロードに失敗しました。{もう一度やり直してください
1094,이곳을 눌러 찾을 팀이름 입력,見つけるためにチーム名を入力するためにここでタップしてください
1095,밴플레이어,バンプレーヤー
1096,전달,リレー
1097,전송,送信
