ID,Dec
10000,مرحبًا. سعيد بلقائك.
10001,بدعم المدير، أسس فريقًا جديدًا في دوري لول.
10002,فضلاً، قم بتسمية فريقك أولًا.
10003,لنجعل فريق AAA يُخلّد اسمه في التاريخ.
10004,هذه هي المباراة الأولى في الدوري.
10005,هنا يمكنك الاطلاع على معلومات فريقنا والفرق الأخرى قبل بداية المباراة.
10006,الفريق الحالي لديه لاعب مسجَّل بالفعل.
10007,لكنّك تحتاج إلى عدد هائل من اللاعبين للفوز.
10008,هيا نحصل على لاعبٍ جديدٍ قبل المباراة.
10009,انقر على سوق التوظيف
10010,يمكنك تجنيد لاعبين جدد باستخدام الجوهر المتوفر لديك في سوق التجنيد.
10011,لنُجند لاعبًا جديدًا بالجوهر المتوفر حاليًا.
10012,اضغط زر التجنيد X1.
10013,لدينا لاعب جديد.
10014,الفريق لا يزال غير تنافسي. لنستقطب لاعبًا أقوى لتعزيز قدرتنا على المنافسة.
10015,ليس هناك ما يكفي من الجوهر لتجنيد لاعب قوي. في هذه الحالة، يمكنك الحصول على عدد كامل عبر الراعي.
10016,شاهد جميع إعلانات الفيديو الخاصة بالرعاة للحصول على المكافآت.
10017,في البداية، تم إعداد الإعلانات المُروَّجة خصيصًا لتمنحك ٥٠٪ مكافآت إضافية.
10018,انقر على الإعلان المُرعى.
10019,أرسل لنا الراعي عدداً صحيحاً. الآن لنستدعِ لاعباً جديداً باستخدام هذا الرقم.
10020,اضغط زر التوظيف X5.
10021,لدينا لاعب جديد!
10022,الآن لنجرّب لاعبًا جديدًا.
10023,اضغط على زر إدارة اللاعبين.
10024,في قسم إدارة اللاعبين يمكنك اختيار لاعب مرشح.
10025,اضغط زر التبديل لتجربة المرشح.
10026,الضغط على زر الاستبدال سيجعل اللاعب المحدد يصبح لاعبًا أساسيًا، وسيتم ترشيح اللاعب الحالي كبديل.
10027,أيضًا، بناءً على تشكيلة الأبطال الأساسيين، يمكن الحصول على تأثيرات إضافية.
10028,اضغط الزر
10029,يمكنك العثور على معلومات حول تيم شيمي هنا.
10030,يمكنك جعل فريقك أقوى عبر مطابقة كيمياءات مختلفة مثل النوع والفريق.
10031,اضغط X للخروج.
10032,حسنًا، لنستبدل اللاعب غير الضروري بلاعب آخر.
10033,جرّب الضغط على إعادة التركيب.
10034,هنا يمكنك استبدال أربعة مرشحين بلاعبين جدد.
10035,قمت مؤقتًا بإعطاء أربعة لاعبين. لنعد دمج هؤلاء اللاعبين.
10036,اضغط زر الإضافة.
10037,اضغط زر الإضافة.
10038,اضغط زر الإضافة.
10039,اضغط زر الإضافة.
10040,ضع جميع اللاعبين الثلاثة. الآن دعنا ننتقل إلى لاعب جديد.
10041,يمكنك الاطلاع على معلومات قدرات اللاعب من خلال بيانات التجنيد.
10042,الآن استدعي اللاعب!
10043,جرّب الضغط على زر إعادة التركيب.
10044,بهذه الطريقة يمكنك استبدال اللاعبين الحاليين بلاعبين جدد.
10045,الآن لِنَخوض المباراة مع هؤلاء اللاعبين!
10046,اضغط على زر المباراة
10047,اضغط زر تقدم اللعبة.
10048,بدأت المباراة.
10049,دعونا نثق باللاعبين ونشاهد المباراة.
