ID,Dec
11000,¡Tu equipo ganó la liga con un gran coaching! Vamos a prepararnos para ganar el Campeonato Mundial.
11001,"Aunque no ganó, hizo un gran trabajo. ¡El baño de nieve está hecho en el campeón del mundo!"
11002,"No fue un campeonato. Sin embargo, logramos avanzar al campeonato mundial!"
11003,No fue un campeonato. Pero es un buen rango para tratar de ganar la próxima temporada.
11004,"Se evitó lo peor, pero no fue un buen ranking. Para un ranking superior} creo que necesita mantenimiento."
11005,Terminamos la temporada en la peor posición. Para los fanáticos que nos apoyan} vamos más lejos para la próxima temporada.
11006,¡El equipo ganó el campeonato mundial con un gran coaching! Los jugadores y los fanáticos celebran tu gran comando. Felicidades.
11007,"No ganó, pero hizo un gran trabajo. ¡Tratemos de ganar el campeonato mundial la próxima temporada!"
11008,"Desafortunadamente, es un gran grado. Aumentemos nuestro poder la próxima temporada y tratemos de ganar el próximo campeón del mundo."
11009,"Has ingresado con éxito el torneo. La próxima temporada, vamos a la cabeza para torneos más altos."
11010,"Desafortunadamente, el torneo falló. Desafortunadamente, avancemos al campeonato mundial la próxima temporada y apuntamos al campeonato."
20000,Línea Exposición / Operación
20001,Equilibrio
20002,Pelea de equipo
20003,Personalizado
21000,"Es una estrategia para rodar bolas de nieve basadas en batallas de línea fuertes. {{-It es adecuado cuando tienes una batalla de línea fuerte. {, Puede ser revertido a un disparo cuando tenga un golpe débil."
21001,"Lineup} Hanta} Operación Juega al juego de una manera equilibrada. {{, Esto es adecuado cuando la habilidad de los jugadores es incluso."
21002,Es una estrategia que apunta a un disparo a través de un solo disparo. {{-It es adecuado cuando un equipo tiene una fuerte habilidad de un disparo. {
21003,Esta es tu estrategia.
22000,El centro del juego
22001,El centro de un ganking
22002,Orden principal
23000,Elige la capacidad de ser el centro del juego. Las estadísticas del equipo aumentarán. En cambio} el resto de la potencia cae.
23001,El jungler decide la línea para gankinging.
23002,Establecer una posición que se centre en las operaciones. El orden principal aumentará la proporción de la operación del equipo.
24000,Equilibrio
24001,Línea
24002,Pelea de equipo
24003,Operación
24004,Equilibrio
24005,Cima
24006,Medio
24007,Fondo
24008,Cima
24009,Selva
24010,Medio
24011,ANUNCIO
24012,Apoyo
