ID,Korean,Dec
1000,효과음,مؤثرات صوتيه
1001,배경음,صوت الخلفية
1002,언어,لغة
1003,만든이: 허민구{연락: huccce@gmail.com,التي أنشأتها: HEO MIN-GU {جهة الاتصال: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,تحميل / {Google تسجيل الدخول
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<الاهتمام> {{هناك أكثر من بيانات واحدة. يرجى تحديد البيانات لتحميل. سيتم حذف {البيانات غير المحددة.
1006,팀이름,اسم الفريق
1007,라운드,دائري
1008,정수,جوهر
1009,저장날짜,حفظ التاريخ
1010,결정,قرار
1011,경기,مباراة
1012,리그,الدوري
1013,전략,إستراتيجية
1014,선수{관리,لاعب {management.
1015,영입{시장,التوظيف {السوق
1016,멀티{대전,متعدد {Match.
1017,계정,الحساب
1018,순위,مرتبة
1019,승,د
1020,패,ل
1021,라인전,خط
1022,한타,معركة فريق
1023,운영,عملية
1024,포지션,موضع
1025,이름,اسم
1026,종합,مجموع
1027,일정,التقويم
1028,상대팀,الفريق المنافس
1029,총합,مجموع
1030,결과,نتيجة
1031,승리,فوز
1032,패배,يهزم
1033,간편,بسيط
1034,지침,المبدأ التوجيهي
1035,픽밴,باق
1036,설정,تعيين
1037,설명,توضيح
1038,라인,خط
1039,타입,اكتب
1040,등급,تقييم
1041,강화,تعزز
1042,재조합,إعادة التركيب
1043,팀케미,فريق كيميائي
1044,선발 선수,بدء اللاعب
1045,후보 선수,اللاعب الفرعي
1046,레벨 포인트,نقطة المستوى
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),كيميائي الفريق (▲ 2) {العام الكيميائي (▲ 1) {نوع كيميائي (▲ 1) {الدوري الكيميائي (▲ 1)
1048,케미스트리,كيمياء
1049,재조합 선수,لاعب مؤرفي
1050,제거,إزالة
1051,강화 선수,لاعب التسليح
1052,재료 선수,لاعب الاشياء
1053,성공확률:,فرصة النجاح:
1054,영입시장,سوق التوظيف
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,مشاهدة الإعلانات برعاية للحصول على مكافآت.
1056,5번 보시면 200정수를 추가로 드립니다.,إذا نظرت 5 مرات} سوف تتلقى فرصة إضافية إضافية.
1057,골드 영입,تجنيد الذهب
1058,실버 선수,لاعب الفضة
1059,시청,راقب
1060,플레,البلاتين
1061,골드,ذهب
1062,선수명단,قائمة اللاعب
1063,가격,السعر
1064,추천,نوصي
1065,구입,يشتري
1066,탑 랭킹,أعلى رتبة
1067,내 순위,بلدي رتبة
1068,새로고침시간,تحديث الوقت
1069,대전정보,مطابقة المعلومات
1070,대전찾기,مباراة البحث
1071,선수,لاعب
1072,감독,مدير
1073,로그인,تسجيل الدخول
1074,확인,يتأكد
1075,일일,يوم
1076,업적,الإنجازات
1077,기타,إلخ
1078,보상,جائزة
1079,공지사항,يلاحظ
1080,계속,يكمل
1081,이곳을 눌러 입력,اضغط هنا للدخول
1082,최종순위,الرتبة النهائية
1083,시즌 보상:,مكافأة الموسم:
1084,스킵,تخطى
1085,예,نعم
1086,아니오,رقم
1087,터치 하면 게임 시작,المس لبدء اللعبة
1088,평점,رتبة
1089,경기진행,تطابق التقدم
1090,버전확인,تحقق من الإصدار
1091,업데이트하러 가기,الذهاب إلى تحديث
1092,다시확인,تحقق مرة اخرى
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,فشل تحميل معلومات الفريق. {حاول مرة أخرى
1094,이곳을 눌러 찾을 팀이름 입력,انقر هنا لإدخال اسم الفريق للعثور عليه
1095,밴플레이어,بان لاعب
1096,전달,تناوب
1097,전송,يرسل
1098,문의하기,اتصل بنا
1099,버그/건의,الأخطاء / الاقتراحات
1100,게임 종료,الخروج من اللعبة
1101,초대링크,دعوة رابط
1102,모의경기,مباراة المحاكاة
1103,전략복사,النسخة الاستراتيجية
1104,신고,نقل
1105,<이벤트>,<حدث>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,الحدث السريع في الرعاية! {{تحقق من الإعلانات التي ترعاها الآن للحصول على مكافأة إضافية + 50٪.
1107,영입시장으로 가기,الذهاب إلى سوق التوظيف
1108,<리뷰 이벤트>,<مراجعة الحدث>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,شكرا لك على لعب اللعبة. {{هذه مساعدة كبيرة للمطورين. سوف تتلقى 300 جوهر كمكافأة.
1110,리뷰하러 가기,الذهاب إلى مراجعة
1111,답변을 받으실 메일을 적어주세요.,يرجى كتابة بريد إلكتروني للإجابة.
1112,(언어 변경 시 재시작 필요),(يتطلب إعادة التشغيل عند تغيير اللغة)
1113,이벤트,حدث
1114,포인트,هدف
1115,친구요청,طلب صداقة
1116,친구추가,إضافة صديق
1117,친구 목록,قائمة الاصدقاء
1118,찾기,يجد
1119,아니요,رقم
1120,멀티대전정보,معلومات متعددة الأم
1121,친구 추가,إضافة صديق
1122,라인전{운영,خط {العملية
1123,밸런스,متوازن
1124,커스텀,مخصص
1125,탑,قمة
1126,정글,قمة
1127,미드,غابة
1128,원딜,منتصف
1129,서폿,ميلادي
1130,중심,مركز
1131,갱킹,ganking.
1132,메인오더,النظام الرئيسي
1133,한정,محدود
1134,레벨,LV.
1135,팀,فريق
