ID,Korean,Dec
1000,효과음,Effet sonore
1001,배경음,Son d’ambiance
1002,언어,Langue
1003,만든이: 허민구{연락: huccce@gmail.com,Créé par : Heo Min‑gu {Contact : huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,Chargement / Connexion Google
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{Il y a plusieurs données. Veuillez sélectionner les données à charger. Les données non sélectionnées seront supprimées.}}
1006,팀이름,Nom de l’équipe
1007,라운드,Manche
1008,정수,Essence
1009,저장날짜,Réservez la date
1010,결정,Décision
1011,경기,Match
1012,리그,Ligue
1013,전략,Stratégie
1014,선수{관리,Joueur{Gestion
1015,영입{시장,Recrutement{Marché
1016,멀티{대전,Multimatch
1017,계정,Compte
1018,순위,Rang
1019,승,Z
1020,패,L
1021,라인전,Ligne
1022,한타,Combat d'équipe
1023,운영,Opération
1024,포지션,Position
1025,이름,Nom
1026,종합,Total
1027,일정,Calendrier
1028,상대팀,Équipe adverse
1029,총합,Total
1030,결과,Résultat
1031,승리,Victoire
1032,패배,Défaite
1033,간편,Simple
1034,지침,Directive
1035,픽밴,Pick / Ban
1036,설정,Définir
1037,설명,Explication
1038,라인,Ligne
1039,타입,Type
1040,등급,Note
1041,강화,Renforcer
1042,재조합,Recombinaison
1043,팀케미,Team Chemie
1044,선발 선수,Joueur titulaire
1045,후보 선수,Joueur remplaçant
1046,레벨 포인트,Point de niveau
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Équipe Chemie(▲2){Année Chemie(▲1){Type Chemie(▲1){Ligue Chemie(▲1)
1048,케미스트리,Chimie
1049,재조합 선수,Joueur recombinant
1050,제거,Supprimer
1051,강화 선수,Joueur de renfort
1052,재료 선수,Joueur d’équipement
1053,성공확률:,Chance de réussite :
1054,영입시장,Marché du recrutement
