ID,Dec
11000,你的團隊贏得了偉大的教練聯盟！讓我們準備贏得世界錦標賽。
11001,雖然它沒有贏，但它做得很好。雪地沐浴在世界冠軍上完成！
11002,這不是冠軍。但是，我們成功地前進了世界錦標賽！
11003,這不是冠軍。但是在下賽季贏得勝利是一個很好的排名。
11004,最糟糕的是避免了，但這不是一個很好的排名。對於更高的排名}我認為它需要維護。
11005,我們在最糟糕的位置結束了季節。對於支持我們的粉絲}讓我們在下個賽季進一步進一步。
11006,團隊贏得了世界錦標賽，偉大的教練！球員和粉絲慶祝你的偉大命令。恭喜。
11007,它沒有贏，但它做得很好。讓我們試著下賽季贏得世界錦標賽！
11008,不幸的是，這是一個偉大的成績。讓我們下賽季增加我們的力量，並試圖贏得下一個世界冠軍。
11009,您已成功輸入錦標賽。下個賽季，讓我們前往高等錦標賽。
11010,不幸的是，錦標賽失敗了。不幸的是，讓我們在下賽季推進世界錦標賽，瞄準冠軍。
20000,線展覽/操作
20001,平衡
20002,團隊
20003,風俗
21000,基於強線戰鬥的滾雪球是一種策略。 {{-IT是合適的，當你有強烈的線條戰鬥時。 { - 當你有薄弱的打擊時，你可以恢復到一個鏡頭。
21001,陣容} Hanta}操作以平衡的方式播放遊戲。 {{ - 這是合適的，當球員的能力甚至是合適的。
21002,這是一種旨在通過單一射擊射擊的策略。 {{-IT是適合的，當團隊有強大的一次性能力時。 {
21003,這是你的策略。
22000,遊戲的中心
22001,蓋克的中心
22002,主要訂單
23000,選擇成為遊戲中心的能力。團隊的統計數據將增加。而不是剩下的力量下降。
23001,Jungler決定了Gankinging的線。
23002,設置專注於操作的位置。主要訂單將增加團隊運營的比例。
24000,平衡
24001,線
24002,團隊
24003,手術
24004,平衡
24005,最佳
24006,中
24007,底部
24008,最佳
24009,叢林
24010,中
24011,廣告
24012,支持
25000,攻擊
25001,均衡
25002,油船
25003,攻擊
25004,均衡
25005,油船
25006,攻擊
25007,均衡
25008,支持者
25009,攻擊
25010,均衡
25011,公用事業
25012,攻擊
25013,均衡
25014,油船
26000,強烈按下對手。它還通過拆分控制操作。 {▲操作統計增加。 {{-Points在線增加或丟失。 {▼hanta stat降低。
26001,基本交易坦克。
26002,在線戰鬥中的影響降低。然而，他在漢塔更強大。 {{▲漢語能力增加了。 {{在線上獲得或丟失的點降低。 {{▼操作stat降低。
26003,蓋克變得強大。然而}凝血失敗的風險很高。 {▲線統計數據增加。 {{
26004,基本交易坦克。
26005,蓋克能力降低。然而，擊球能力增加。 {{▲擊中能力增加。 {{▼陣容能力下降。
26006,強烈按下對手。它還通過拆分控制操作。 {▲操作統計增加。 {{-Points在線增加或丟失。 {▼hanta stat降低。
26007,基本核武器冠軍。
26008,目標是提高一個DIL的能力。 {▲一個DIL的統計數據增加。
26009,早期是強大的。然而，隨著時間的推移}它變得越來越弱了。 {▲陣容直到前20分鐘}漢丹能力增加。 {▼漢語能力從下半部減少。
26010,基本的單交易冠軍。
26011,專注於幫助團隊而不是卡莉的角色。 {▲操作統計數據上升。 {▼▼線統計數據下降。
26012,線條戰鬥是強大的。然而，用低健康操作是危險的。 {▲陣容統計增加。 {{-Points從操作增加中獲得或丟失。
26013,基本支持者冠軍。
26014,弱勢。然而，在漢語中很強大。 {▲Hanta Stat增加。 {{▼線stat降低。
30000,如果您無法登錄谷歌，則無法播放多人遊戲。請登錄谷歌。
30001,在最後一個多匹配期間，遊戲的異常結束。遊戲被沒收了。
30002,恭喜！你被推動到下一個級別！
30003,由於不斷失敗，您已被降級。
30004,登錄中
30005,有一個問題。問題的原因：
30006,互聯網連接已丟失。當您有Internet連接}時，您將自動重新連接。
30007,在多匹配期間互聯網斷開了連接。 {如果單擊“確定”}您將退出體育場。
30008,找到了一個問題找到了你的對手。 {按OK退出體育場。
30009,遊戲不是最新的。您需要更新到最新版本以播放匹配。 {{按下按鈕再次檢查版本}或轉到更新頁面。
30010,檢查
30011,這不是最新版本。
30012,分鐘
30013,您已被報告為作弊玩家，不能播放多人遊戲。{{{請發送電子郵件至{hucce@gmail.com以獲取任何問題。
30014,您已註冊為作弊玩家。
30015,檢查多戲服務器。請稍等直到查看時間結束
30016,無法加載列表。請在乘法播放中登錄谷歌。
31000,謝謝你玩遊戲。您的評論對開發人員有很大的幫助。您將獲得300個本質作為獎勵。
32000,謝謝你看廣告。單擊“確定”以接收查看獎勵。
32001,廣告跳過，您必須觀看廣告到最後收到獎勵。
32002,未能獲取廣告請檢查您的Internet連接。
36000,聯賽得分
36001,m
36002,W.
36003,L.
36004,歷史
36005,最佳
36006,匹配結果
36007,收到
36008,完全的
36009,不完整
36010,關聯
36011,季節
33000,升級僅可能達到10級。
33001,成功
33002,失敗
33003,成功的概率
33004,區別
33005,你想跳過教程嗎？您無法從教程中獲取獎勵。
33006,重新啟動遊戲時語言會更改。
34000,Google Play服務版本檢查
34001,Google Play登錄完成
34002,服務器登錄完成
34003,雲保存確認完成
34004,數據導入完成
34005,問題重試
34006,錯誤！加載到離線模式
33007,圓形的
33008,線
33009,團隊
33010,手術
33011,最佳
33012,中
33013,底部
33014,偉大的失敗
33015,打敗
33016,bear
33017,爭論
33018,優勢
33019,勝利
33020,偉大的勝利
33021,團隊Jungler Ganking。
33022,天
33023,賽季結束獎勵
33024,你的朋友已經被要求了。
33025,已經是朋友
33026,你確定要刪除這位朋友嗎？
33027,複製策略
33028,kinds
33029,禁止
33030,宣言
33031,錯誤/建議
33032,經理邀請。成為一個LOL團隊經理。
33033,最終評級
33034,最終獎勵
33035,季節開始
33036,一個新的賽季已經開始。
33037,名人堂貢獻
33038,休息
33039,沒有足夠的本質
37000,沒有
37001,本質
37002,盒
37003,包裹
38000,全部
38001,銀
38002,金子
38003,鉑
33040,全部
33041,銀
33042,金子
33043,鉑
33044,鑽石
33045,挑戰者
33046,掌握
33047,招聘
33048,包裹
33049,介紹
33050,包括有限的
33051,只有有限的
33052,交換
33053,添加
33054,消除
33055,全部的
33056,統計
33057,青銅
33058,直到下一個等級升級
33059,移動
33060,收到
33061,同一個播放器已經在起始列表中。
33062,沒有數據。
33063,數據異常。
33064,原因
33065,下一次粉碎開始日期
33066,創建錦標賽時發生錯誤。{{觸摸重試，創建一個新錦標賽。
33067,服務器正在接收數據。
33068,數據未正確收到。
33069,賽季運動員介紹
33070,世界錦標賽入口
33071,今年在聯盟中首次亮相的選定球員，期待未來。它只能作為賽季獎勵獲得。
