ID,Korean,Dec
1000,효과음,Hiệu ứng âm thanh
1001,배경음,Âm thanh nền
1002,언어,Ngôn ngữ
1003,만든이: 허민구{연락: huccce@gmail.com,Tạo bởi: Heo Min‑gu {Liên hệ: huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,Đang tải / {Đăng nhập Google}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{Có hơn một bộ dữ liệu. Vui lòng chọn bộ dữ liệu muốn tải. {Các dữ liệu không được chọn sẽ bị xóa.
1006,팀이름,Tên đội
1007,라운드,Vòng
1008,정수,Tinh túy
1009,저장날짜,Ghi nhớ ngày
1010,결정,Quyết Định
1011,경기,Trận đấu
1012,리그,Giải
1013,전략,Chiến thuật
1014,선수{관리,Quản lý Người Chơi
1015,영입{시장,Tuyển Dụng{Thị Trường
1016,멀티{대전,Nhiều Trận
1017,계정,Tài khoản
1018,순위,Xếp hạng
1019,승,W
1020,패,L
1021,라인전,Đường
1022,한타,Giao Tranh
1023,운영,Chiến dịch
1024,포지션,Vị trí
1025,이름,Tên
1026,종합,Tổng
1027,일정,Lịch
1028,상대팀,Đội đối thủ
1029,총합,Tổng
1030,결과,Kết quả
1031,승리,CHIẾN THẮNG
1032,패배,Thua
1033,간편,Đơn giản
1034,지침,Hướng dẫn
1035,픽밴,Chọn – Cấm
1036,설정,Set
1037,설명,Giải thích
1038,라인,Đường
1039,타입,Loại
1040,등급,Xếp hạng
1041,강화,Củng cố
1042,재조합,Tái Kết Hợp
1043,팀케미,Đội Chemie
1044,선발 선수,Cầu thủ xuất phát
1045,후보 선수,Cầu thủ dự bị
1046,레벨 포인트,Điểm cấp độ
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Đội Chemie(▲2){Năm Chemie(▲1){Loại Chemie(▲1){Giải đấu Chemie(▲1)
1048,케미스트리,Sự ăn khớp
1049,재조합 선수,Cầu thủ tái hợp
1050,제거,Xóa
1051,강화 선수,Cầu thủ dự bị
1052,재료 선수,Trang bị người chơi
1053,성공확률:,Tỷ lệ thành công:
1054,영입시장,Thị Trường Tuyển Dụng
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Xem quảng cáo tài trợ để nhận phần thưởng.
1056,5번 보시면 200정수를 추가로 드립니다.,"Nếu bạn nhìn 5 lần, bạn sẽ nhận được thêm 200 tinh túy."
1057,골드 영입,Tuyển Dụng Vàng
1058,실버 선수,Người chơi Bạc
1059,시청,Xem
1060,플레,Bạch kim
1061,골드,Vàng
1062,선수명단,Danh sách tuyển thủ
1063,가격,Giá
1064,추천,Đề xuất
1065,구입,Mua
1066,탑 랭킹,Hạng cao nhất
1067,내 순위,Xếp hạng của tôi
1068,새로고침시간,Thời gian làm mới
1069,대전정보,Thông tin trận đấu
1070,대전찾기,Tìm kiếm trận đấu
1071,선수,Cầu thủ
1072,감독,Quản lý
1073,로그인,Đăng nhập
1074,확인,Xác nhận
1075,일일,Ngày
1076,업적,Thành tựu
1077,기타,v.v.
1078,보상,Phần thưởng
1079,공지사항,Thông báo
1080,계속,Tiếp tục
1081,이곳을 눌러 입력,Nhấn vào đây để vào.
1082,최종순위,Xếp hạng cuối cùng
1083,시즌 보상:,Phần thưởng mùa:
1084,스킵,Bỏ qua
1085,예,Đúng
1086,아니오,Không
