ID,Dec
11000,"Ваша команда выиграла лигу с великолепным тренировкой! Давайте подготовимся, чтобы выиграть чемпионат мира."
11001,"Хотя это не победил, это сделала отличную работу. Снежное купание сделано в чемпионом мира!"
11002,Это был не чемпионат. Однако нам удалось продвинуться к чемпионату мира!
11003,"Это был не чемпионат. Но это хороший рейтинг, чтобы попытаться победить в следующем сезоне."
11004,"Худшее избежало, но это не было хорошим рейтингом. Для более высокого рейтинга} Я думаю, что это требует обслуживания."
11005,"Мы закончили сезон в худшем положении. Для фанатов, которые поддерживают нас}, давайте пойдем дальше к следующему сезону."
11006,Команда выиграла чемпионат мира с великим тренировкой! Игроки и фанаты празднуют вашу великую команду. Поздравляю.
11007,"Это не победило, но это сделала отличную работу. Давайте попробуем выиграть чемпионат мира в следующем сезоне!"
11008,"К сожалению, это отличная оценка. Давайте увеличиваем нашу власть в следующем сезоне и попытайтесь выиграть следующий чемпион мира."
11009,Вы успешно вошли в турнир. В следующем сезоне давайте отправимся на более высокие турниры.
11010,"К сожалению, турнир не удалось. К сожалению, давайте перевезем на чемпионат мира в следующем сезоне и стремиться к чемпионату."
20000,Линия Выставка / Операция
20001,Остаток средств
20002,Командный бой
20003,Обычай
21000,"Это стратегия, чтобы бросить снежки на основе сильных линий битва. {{- подходит, когда у вас есть сильная линия битвы. {Вы можете быть возвращены на один выстрел, когда у вас слабый удар."
21001,"Линейка} Hanta} Операция играй в игру сбалансированным способом. {{- это подходит, когда способность игроков даже."
21002,"Это стратегия, которая направлена на один выстрел через один выстрел. {{- подходит, когда команда имеет сильную способность одно выстрел. {"
21003,Это ваша стратегия.
22000,Центр игры
22001,Центр ганкинга
22002,Основной заказ
23000,"Выберите способность быть центром игры. Статистика команды увеличится. Вместо того, чтобы остальные падения мощности."
23001,Jungler решает линию для оболочки.
23002,"Установите положение, которое фокусируется на операциях. Основным заказом повысится доля операции команды."
24000,Остаток средств
24001,Линия
24002,Командный бой
24003,Эксплуатация
24004,Остаток средств
24005,Вершина
24006,Середина
24007,Низ
24008,Вершина
24009,Джунгли
24010,Середина
24011,ОБЪЯВЛЕНИЕ
24012,Поддерживать
25000,Атака
25001,Уравновешенный
25002,Танкер
25003,Атака
25004,Уравновешенный
25005,Танкер
25006,Атака
25007,Уравновешенный
25008,Сторонник
25009,Атака
25010,Уравновешенный
25011,Утилита
25012,Атака
25013,Уравновешенный
25014,Танкер
26000,"Сильно нажимайте противника в очереди. Это также контролирует операцию через разделение. {{▲ Статистика операций увеличивается. {{- точки, полученные или потерянные на линии роста. {{▼ ▼ Hanta Stat снижает."
26001,Базовый танк.
26002,"Влияние уменьшается в линейных битвах. Однако} он сильнее в Ханта. {{▲ способность HANTA увеличивается. {{- точки, полученные или потерянные на линии, опускаются. {{▼ УПРАВЛЕНИЕ СТАКТИРОВАНИЯ."
26003,Ганкинг становится мощным. Однако} существует высокий риск отказа от ганции. {{▲ строчная статистика увеличивается. {{
26004,Базовый танк.
26005,Способность Ganking снижается. Однако} Умение удара увеличивается. {{▲ ударная способность увеличивается. {{▼ Способность линейки снижается.
26006,"Сильно нажимайте противника в очереди. Это также контролирует операцию через разделение. {{▲ Статистика операций увеличивается. {{- точки, полученные или потерянные на линии роста. {{▼ ▼ Hanta Stat снижает."
26007,Базовый чемпион Нукера.
26008,"Цель состоит в том, чтобы улучшить способность к одному. {{▲ Один дил статистика увеличивается."
26009,Первые дни являются мощными. Однако} с течением времени становится слабее. {{▲ линейность до первых 20 минут} повышается способность Hanta. {{▼ способность HANTA уменьшается со второй половины.
26010,Основной чемпионат один сделки.
26011,"Сосредоточиться на помощи команде, а не роль Кэрри. {{▲ Операционная статистика поднимается. {{▼ Линии линии статистика снижаются."
26012,"Линейная борьба мощна. Однако} опасно работать с низким здоровьем. {▲ ▲ Строительная статистика увеличивается. {{-Точки, полученные или потерянные от повышения эксплуатации."
26013,Базовый чемпион сторонника.
26014,Слабый в очереди. Однако} это сильнее в Ханта. {{▲ Hanta Stat увеличивается. {{▼ строк строки снижена.
30000,"Если вы не можете войти в Google, вы не можете воспроизводить многопользовательский. Пожалуйста, войдите в Google."
30001,Во время последнего Multi матча был ненормальный конец игры. Игра была установлена.
30002,Поздравляю! Вы продвигаете на следующий уровень!
30003,Вы были демотированы из-за постоянного поражения.
30004,Подписание внутри
30005,Есть проблема. Причина для выпуска:
30006,"Интернет-соединение было потеряно. Когда у вас есть подключение к Интернету}, вы будете автоматически подключены."
30007,"Интернет был отключен во время Multi Match. {Если вы нажмете OK}, вы выйдете на стадион."
30008,"Возникла проблема, найдя своего противника. {Нажмите ОК, чтобы выйти из стадиона."
30009,"Игра не актуальна. Вам нужно обновить до последней версии, чтобы играть в матч. {{Нажмите кнопку ниже, чтобы проверить версию снова или перейти на страницу обновления."
30010,Проверка
30011,Это не последняя версия.
30012,Минута
30013,"Вы сообщили в виде чит-проигрывателя и не можете воспроизводить многопользовательские игры. {{Пожалуйста, напишите {hucce@gmail.com на любые вопросы."
30014,Вы зарегистрированы как чит-плеер.
30015,"Проверка на многопользовательский сервер. Пожалуйста, подождите, пока время проверки не закончится"
30016,"Невозможно загрузить список. Пожалуйста, войдите в Google в мультиполировании."
31000,Спасибо за игру. Ваш обзор - отличная помощь для разработчика. Вы получите 300 сущность как награду.
32000,"Спасибо за просмотр объявления. Нажмите OK, чтобы получить награду на просмотр."
32001,"AD пропущена, вы должны посмотреть рекламу до конца, чтобы получить награду."
32002,"Не удалось получить AD, пожалуйста, проверьте ваше подключение к Интернету."
36000,Лига
36001,М`
36002,Вал
36003,Ливня
36004,История
36005,Вершина
36006,Результаты совпадения
36007,Получать
36008,Полный
36009,Неполный
36010,Связь
36011,Время года
33000,Обновление возможно только до уровня 10.
33001,Успех
33002,Отказ
33003,Вероятность успеха
33004,Разница
33005,Хотите пропустить учебник? Вы не можете получить награды из учебника.
33006,"Язык изменится, когда вы перезапустите игру."
34000,Проверка версии сервиса Google Play
34001,Google Play Войти завершено
34002,Логин сервера завершен
34003,Cloud Сохранить подтверждение
34004,Импорт данных завершен
34005,Проблема повторения
34006,Ошибка! Загрузить в автономный режим
33007,Круглый
33008,Линия
33009,Командный бой
33010,Эксплуатация
33011,Вершина
33012,Середина
33013,Низ
33014,Великое поражение
33015,Поражение
33016,Медвежий
33017,Соперничество
33018,Превосходство
33019,Победа
33020,Великая Победа
33021,Команда Jungler Ganking.
33022,День
33023,Вознаграждение сезона
33024,Ваш друг уже был запрошен.
33025,Уже друг
33026,"Вы уверены, что хотите удалить этот друг?"
33027,Скопированная стратегия
33028,Виды
33029,Запрет
33030,Декларация
33031,Ошибка / предложения
33032,Менеджер приглашения. Стать менеджером команды LOL.
33033,Окончательный рейтинг
33034,Окончательная вознаграждение
33035,Начало сезона
33036,Новый сезон начался.
33037,Зал вклада славы
33038,Отдых
33039,Не хватает сущности
37000,Никто
37001,Сущность
37002,Пакет
37003,Упаковка
38000,Все
38001,Серебряный
38002,Золото
38003,Платина
33040,Все
33041,Серебряный
33042,Золото
33043,Платина
33044,Алмаз
33045,Претендент
33046,Мастер
33047,Набор персонала
33048,Упаковка
33049,Презентация
33050,В том числе ограничен
33051,Только ограничен
33052,Своп
33053,Добавлять
33054,Удалять
33055,Общее
33056,Статистика
33057,бронза
33058,До следующего ранга обновления
33059,Переехать
33060,Получать
33061,Тот же игрок уже находится в стартовом списке.
33062,Нет данных.
33063,Данные ненормальны.
33064,Причина
33065,Далее Дата начала
33066,"Произошла ошибка при создании турнира. {{Touch Retry, чтобы создать новый турнир."
33067,Сервер получает данные.
33068,Данные не были получены должным образом.
33069,Презентация игрока сезона
33070,Въезд чемпионата мира
33071,"Выбранные игроки, которые сделали свой дебют в лиге в этом году и с нетерпением жду будущего. Это может быть получено только как награду на сезон."
33072,Хотите остановить автоматический матч? {Использованные предметы исчезнут.
