ID,Korean,Dec
1000,효과음,Звуковой эффект
1001,배경음,Фоновый звук
1002,언어,Язык
1003,만든이: 허민구{연락: huccce@gmail.com,Создано: Хе Мин‑гу {Контакт: huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,Загрузка / Вход через Google
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{Существует более одного набора данных. Выберите набор для загрузки. {Невыбранные данные будут удалены.}}
1006,팀이름,Название команды
1007,라운드,Раунд
1008,정수,Эссенция
1009,저장날짜,Сохраните дату
1010,결정,Решение
1011,경기,Матч
1012,리그,Лига
1013,전략,Стратегия
1014,선수{관리,Игрок { Управление
1015,영입{시장,Набор{Рынок
1016,멀티{대전,Мульти‑матч
1017,계정,Аккаунт
1018,순위,Ранг
1019,승,W
1020,패,L
1021,라인전,Лейн
1022,한타,Командный бой
1023,운영,Операция
1024,포지션,Позиция
1025,이름,Имя
1026,종합,Итого
1027,일정,Календарь
1028,상대팀,Вражеская команда
1029,총합,Итого
1030,결과,Результат
1031,승리,Победа
1032,패배,Поражение
1033,간편,Простой
1034,지침,Руководство
1035,밴픽,Бан-пик
1036,설정,Сет
1037,설명,Объяснение
1038,라인,Линия
1039,타입,Тип
1040,등급,Рейтинг
1041,강화,Укрепить
1042,재조합,Рекомбинация
1043,팀케미,Команда Химия
1044,선발 선수,Стартовый игрок
1045,후보 선수,Запасной игрок
1046,레벨 포인트,Очко уровня
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Команда Chemie (▲2){Год Chemie(▲1){Тип Chemie(▲1){Лига Chemie(▲1)
1048,케미스트리,Химия
1049,재조합 선수,Рекомбинантный игрок
1050,제거,Удалить
1051,강화 선수,Резервный игрок
1052,재료 선수,Экипировать игрока
1053,성공확률:,Шанс успеха:
1054,영입시장,Рынок найма
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,"Смотрите спонсорские рекламные ролики, чтобы заработать награды."
1056,5번 보시면 200정수를 추가로 드립니다.,"Если посмотрете 5 раз, получите дополнительно 200 эссенции."
1057,골드 영입,Набор в золото
1058,실버 선수,Серебряный игрок
1059,시청,Смотрите
1060,플레,Платина
1061,골드,Золото
1062,선수명단,Список игроков
1063,가격,Цена
1064,추천,Рекомендовать
1065,구입,Купить
1066,탑 랭킹,Топ‑ранк
1067,내 순위,Мой ранг
1068,새로고침시간,Время восстановления
1069,대전정보,Информация о матче
1070,대전찾기,Поиск матча
1071,선수,Игрок
1072,감독,Менеджер
1073,로그인,Вход
1074,확인,Подтвердить
1075,일일,День
1076,업적,Достижения
