ID,Name,Dec
1000,দৈনিক লগইন পুরস্কার,আজকের লগইন রিওয়ার্ড
1001,৩টি দৈনিক পুরস্কার,আজকের ৩টি ম্যাচের পুরস্কার
1002,সাপোর্ট,আপনি টুইনেশন মাধ্যমে ডেভেলপারকে স্পন্সর করতে পারেন।
1003,রিভিউ,"অনুগ্রহ করে রিভিউ দিন, এরপর আমরা আপনাকে রিওয়ার্ড প্রদান করবো।"
1004,টিউটোরিয়াল সম্পন্ন,টিউটোরিয়াল সম্পন্ন করুন
1005,সিলভার র‍্যাঙ্ক অর্জন,মাল্টিপ্লে সিলভারের র‌্যাঙ্ক অর্জন করুন
1006,গোল্ড র‌্যাঙ্ক অর্জন,মাল্টিপ্লে গোল্ড র‌্যাঙ্ক অর্জন করুন
1007,প্লাটিনাম র‍্যাঙ্ক অর্জন,মাল্টিপ্লে প্লাটিনাম র‍্যাঙ্ক অর্জন করুন
1008,ডায়মন্ড র‍্যাঙ্ক অর্জন,মাল্টিপ্লে ডায়মন্ড র‌্যাঙ্ক অর্জন করুন
1009,মাস্টার র‍্যাঙ্ক অর্জন,মাল্টিপ্লে মাস্টার র‌্যাঙ্ক অর্জন করুন
1010,চ্যালেঞ্জার অর্জন,মাল্টিপ্লে চ্যালেঞ্জার র‍্যাঙ্ক অর্জন করুন
1011,লিগ চ্যাম্পিয়ন,লিগে প্রথমস্থান নিশ্চিত করেছে।
1012,রৌপ্য পদক,লিগে দ্বিতীয় স্থান অর্জন করেছে।
1013,ব্রোঞ্জ মেডেল,লিগে তৃতীয় স্থান অর্জন করেছে
1014,৩ জন চ্যাম্পিয়ন,৩টি লিগ শিরোপা অর্জন করুন
1015,৩টি সিলভার মেডেল,তিনটি লীগে দ্বিতীয় স্থান অর্জন করেছে।
1016,৩টি ব্রোঞ্জ মেডেল,তিনটি লিগে তৃতীয় স্থান অর্জন করেছে
1017,৫টি চ্যাম্পিয়ন,৫টি লিগ শিরোপা অর্জন করুন
1018,৫টি সিলভার মেডাল,পাঁচটি লিগে দ্বিতীয় স্থান অর্জন করুন
1019,৫টি ব্রোঞ্জ মেডেল,পাঁচটি লিগে তৃতীয় স্থান অর্জন করুন
1020,প্রথম সিজন,প্রথম সিজনের শেষ সময়সীমা
1021,তৃতীয় সিজন,তৃতীয় সিজনের শেষ তারিখ
1022,পঞ্চম সিজন,পঞ্চম সিজনের ডেডলাইন
1023,দশম সিজন,১০তম সিজনের ডেডলাইন
1024,৬টি দৈনিক পুরস্কার,আজকের ৬টি ম্যাচের পুরস্কার
1025,সিলভার র‍্যাঙ্ক অর্জন,মাল্টিপ্লে সিলভার র‍্যাঙ্ক অর্জন করুন
1026,গোল্ড র‌্যাঙ্ক অর্জন,মাল্টিপ্লে গোল্ড র‍্যাঙ্ক অর্জন করুন
1027,প্ল্যাটিনাম র‍্যাঙ্ক অর্জন,মাল্টিপ্লে প্লাটিনাম র‍্যাঙ্ক অর্জন করুন
1028,ডায়মন্ড র‍্যাঙ্ক অর্জন,মাল্টিপ্লে‑এ ডায়মন্ড র‍্যাঙ্ক অর্জন করুন
1029,মাস্টার র‍্যাঙ্ক অর্জন,মাল্টিপ্লে মাস্টার র‍্যাংক অর্জন করুন
1030,চ্যালেঞ্জার অর্জন,মাল্টিপ্লে চ্যালেঞ্জার র‌্যাঙ্ক অর্জন করুন
1031,দৈনিক ম্যাচ সীমা,"প্রতিদিন আপনি যেসব ম্যাচে অংশ নিয়ে ইসেন্স পেতে পারেন, তার সংখ্যা।"
