ID,Korean,Dec
1000,효과음,শব্দ প্রভাব
1001,배경음,পটভূমি শব্দ
1002,언어,ভাষা
1003,만든이: 허민구{연락: huccce@gmail.com,তৈরি করেছেন: হেই মিন-সে {যোগাযোগ: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,লোড হচ্ছে / {গুগল সাইন ইন
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<মনোযোগ> {{একাধিক তথ্য আছে। লোড তথ্য নির্বাচন করুন। {অনির্বাচিত তথ্য মুছে ফেলা হবে।
1006,팀이름,দলের নাম
1007,라운드,রাউন্ড
1008,정수,নির্যাস
1009,저장날짜,তারিখ সংরক্ষণ করুন
1010,결정,সিদ্ধান্ত
1011,경기,ম্যাচ
1012,리그,লীগ
1013,전략,কৌশল
1014,선수{관리,প্লেয়ার {ম্যানেজমেন্ট
1015,영입{시장,নিয়োগ {বাজার
1016,멀티{대전,মাল্টি {ম্যাচ
1017,계정,অ্যাকাউন্ট
1018,순위,র্যাঙ্ক
1019,승,ড
1020,패,এল
1021,라인전,লাইন
1022,한타,টিমফাইট
1023,운영,অপারেশন
1024,포지션,অবস্থান
1025,이름,নাম
1026,종합,মোট
1027,일정,ক্যালেন্ডার
1028,상대팀,বিরোধী দল
1029,총합,মোট
1030,결과,ফলাফল
1031,승리,বিজয়ী
1032,패배,পরাজয়
1033,간편,সহজে
1034,지침,নির্দেশিকা
1035,픽밴,নিষেধাজ্ঞা বাছাই করুন
1036,설정,সেট করুন
1037,설명,ব্যাখ্যা
1038,라인,লাইন
1039,타입,টাইপ.
1040,등급,রেটিং
1041,강화,শক্তিশালী করা
1042,재조합,Recombination
1043,팀케미,টিম কেমি
1044,선발 선수,শুরু প্লেয়ার
1045,후보 선수,সাব প্লেয়ার
1046,레벨 포인트,স্তর বিন্দু
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),টিম কেমি (▲ 2) {বছর কেমি (▲ 1) {টাইপ কেমি (▲ 1) {লীগ কেমি (▲ 1)
1048,케미스트리,রসায়ন
1049,재조합 선수,Recombinant প্লেয়ার
1050,제거,অপসারণ
1051,강화 선수,শক্তিবৃদ্ধি প্লেয়ার
1052,재료 선수,স্টাফ প্লেয়ার
1053,성공확률:,সাফল্য সুযোগ:
1054,영입시장,নিয়োগ বাজার
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,পুরষ্কার পেতে স্পনসর বিজ্ঞাপন দেখুন।
1056,5번 보시면 200정수를 추가로 드립니다.,আপনি 5 বার দেখেন} আপনি একটি অতিরিক্ত 200ESSENCE পাবেন।
1057,골드 영입,স্বর্ণ নিয়োগ
1058,실버 선수,সিলভার প্লেয়ার
1059,시청,ঘড়ি
1060,플레,প্ল্যাটিনাম
1061,골드,সোনা
1062,선수명단,প্লেয়ার তালিকা
1063,가격,মূল্যঃ
1064,추천,সুপারিশ করুন
1065,구입,কেনা
1066,탑 랭킹,শীর্ষ র্যাঙ্ক
1067,내 순위,আমার র্যাঙ্ক
1068,새로고침시간,সময় রিফ্রেশ করুন
1069,대전정보,ম্যাচ তথ্য
1070,대전찾기,ম্যাচ অনুসন্ধান
1071,선수,প্লেয়ার
1072,감독,ম্যানেজার
1073,로그인,প্রবেশ করুন
1074,확인,নিশ্চিত করুন
1075,일일,দিন
1076,업적,কৃতিত্ব
1077,기타,ইত্যাদি
1078,보상,পুরস্কার
1079,공지사항,লক্ষ্য করুন
1080,계속,অবিরত
1081,이곳을 눌러 입력,এখানে প্রবেশ করতে এখানে চাপুন
1082,최종순위,চূড়ান্ত র্যাঙ্ক
1083,시즌 보상:,ঋতু পুরস্কার:
1084,스킵,বাদ দিন
1085,예,হ্যাঁ
1086,아니오,না
1087,터치 하면 게임 시작,খেলা শুরু স্পর্শ
1088,평점,শ্রেণী
1089,경기진행,ম্যাচ অগ্রগতি
1090,버전확인,সংস্করণ চেক করুন
1091,업데이트하러 가기,আপডেট যান
1092,다시확인,আবার পরীক্ষা করুন
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,দলের তথ্য লোড করতে ব্যর্থ হয়েছে। {আবার চেষ্টা করুন
1094,이곳을 눌러 찾을 팀이름 입력,খুঁজে পেতে টিম নাম লিখুন এখানে এখানে আলতো চাপুন
1095,밴플레이어,নিষিদ্ধ খেলোয়াড়
1096,전달,রিলে
1097,전송,পাঠান
1098,문의하기,যোগাযোগ করুন
1099,버그/건의,বাগ / পরামর্শ
1100,게임 종료,প্রস্থান খেলা
1101,초대링크,আমন্ত্রণ লিঙ্ক
1102,모의경기,সিমুলেশন ম্যাচ
1103,전략복사,কৌশলগত কপি
1104,신고,রিপোর্ট করুন
1105,<이벤트>,<ইভেন্ট >.
