ID,Dec
11000,"Dein Team hat die Liga dank erstklassigem Coaching gewonnen! Lasst uns jetzt alles geben, um die Weltmeisterschaft zu holen."
11001,"Obwohl es nicht gewonnen hat, war die Leistung großartig. Das Schnee‑Baden findet im Weltmeister‑Modus statt!"
11002,"Es war zwar kein Titel, aber wir haben es trotzdem geschafft, uns für die Weltmeisterschaft zu qualifizieren!"
11003,"Es war keine Meisterschaft. Aber die Rangliste ist ein gutes Ziel, um in der nächsten Saison zu gewinnen."
11004,"Das Schlimmste wurde vermieden, aber das Ranking ist nicht gut. Für ein höheres Platzieren denke ich, dass noch Nachbesserungen nötig sind."
11005,"Wir beendeten die Saison auf dem schlechtesten Rang. Für die Fans, die uns unterstützen – lasst uns in der nächsten Saison noch weiter gehen."
11006,Das Team hat die Weltmeisterschaft dank herausragender Führung gewonnen! Spieler und Fans feiern eure erstklassige Leitung. Herzlichen Glückwunsch.
11007,"Es hat nicht gewonnen, aber eine großartige Leistung gezeigt. Lasst uns nächste Saison die Weltmeisterschaft holen!"
11008,Leider ist das ein starkes Ergebnis. Lasst uns in der nächsten Saison unsere Power erhöhen und den nächsten Weltmeistertitel erobern.
11009,Du hast das Turnier erfolgreich betreten. In der nächsten Saison gehen wir zu den höheren Turnieren.
11010,Leider ist das Turnier gescheitert. Doch lasst uns nächste Saison zur Weltmeisterschaft aufsteigen und nach dem Titel greifen.
20000,Linien‑Exhibition / Operation
20001,Gleichgewicht
20002,Teamfight
20003,Benutzerdefiniert
21000,"Es ist eine Strategie, die darauf abzielt, durch starke Lanekämpfe den Schneeball‑Effekt zu erzeugen.  
- Sie eignet sich, wenn du ein starkes Lane‑Duell hast.  
- Du kannst in einen One‑Shot zurückfallen, wenn dein Gegenstoß schwach ist."
21001,"Lineup} Teamfight} Operation Spielt das Spiel ausgewogen. {{‑Das ist passend, wenn die Fähigkeiten der Spieler gleichmäßig verteilt sind."
21002,"Es ist eine Strategie, die auf einen einzigen Kill mit einem einzelnen Schuss abzielt. {{-Sie eignet sich besonders, wenn ein Team über starke One‑Shot‑Fähigkeiten verfügt.}}"
21003,Das ist deine Strategie.
22000,Das Zentrum des Spiels
22001,Der Kern eines Ganks
22002,Hauptbefehl
23000,"Wähle die Fähigkeit, das Spielzentrum zu werden. Die Team‑Stats erhöhen sich. Der restliche Power‑Pool sinkt stattdessen."
23001,Der Jungler legt die Lane für das Ganken fest.
23002,"Stelle eine Position ein, die sich auf Operationen fokussiert. Der Hauptbefehl erhöht den Anteil der Team‑Operationen."
24000,Ausgewogenheit
24001,Linie
24002,Teamfight
24003,Operation
24004,Gleichgewicht
24005,Top
24006,Mid
24007,Bot
24008,Top
24009,Dschungel
24010,Mid
24011,AD
24012,Support
25000,Angriff
25001,Ausgeglichen
25002,Tank
25003,Angriff
25004,Ausgeglichen
25005,Tank
25006,Angriff
25007,Ausgeglichen
25008,Support
25009,Angriff
25010,Ausgeglichen
25011,Utility
25012,Angriff
25013,Ausgeglichen
25014,Tank
26000,Setze den Gegner in der Lane stark unter Druck. Er übernimmt zudem die Kontrolle über das Spiel durch den Split‑Push. {{▲ Operationsstatistik erhöht sich. {{-Punkte auf der Linie steigen. {{▼ Teamfight‑Statistik sinkt.
26001,Standard‑Deal‑Tank
26002,"Der Einfluss wird in Lanekämpfen reduziert. Allerdings ist er im Teamfight stärker. {{▲ Teamfight‑Fähigkeit ist erhöht. {{-Punkte, die auf der Lane gewonnen oder verloren werden, sind gesenkt. {{▼ Operationswert ist reduziert."
26003,Der Gank wird stark. Allerdings besteht ein hohes Risiko für einen misslungenen Gank. ▲ Linien-Statistiken steigen.
26004,Grundlegender Deal‑Tank
26005,Das Gank‑Potential wird reduziert. Allerdings steigt das Treffer‑Potential. {{▲ Das Treffer‑Potential steigt. {{▼ Das Aufstellungs‑Potential geht zurück.
26006,"Setze den Gegner auf der Lane stark unter Druck. Durch das Split‑Push übernimmt man außerdem die Kontrolle über die Operation. {{▲ Operationswerte steigen. {{-Punkte, die auf der Lane gewonnen oder verloren werden, steigen. {{▼ Teamkampfwert sinkt."
26007,Basis‑Nuker‑Champion.
26008,"Das Ziel ist, die Leistungsfähigkeit von One Dil zu steigern. {{▲ One Dils Werte erhöhen sich."
26009,Die frühe Phase ist stark. Allerdings wird sie mit der Zeit schwächer. {{▲ Aufstellung bis zu den ersten 20 Minuten} Teamfight‑Fähigkeit steigt. {{▼ Teamfight‑Fähigkeit sinkt in der zweiten Hälfte.
26010,Einfacher One‑Deal‑Champion.
26011,"Den Fokus darauf legen, dem Team zu helfen statt auf Carrys Rolle. {{▲ Operative Werte steigen. {{▼ Linienwerte sinken."
26012,"Linienkampf ist stark. Allerdings} ist es gefährlich, mit wenig Gesundheit zu agieren. {{▲ Aufstellungs‑Statistiken steigen. {{-Punkte, die durch den Einsatz gewonnen oder verloren werden, steigen."
26013,Grundlegender Support‑Champion.
26014,Schwach in der Lane. Jedoch ist es stark im Teamkampf. {{▲ Teamfight‑Statistik erhöht. {{▼ Linien‑Statistik gesenkt.
30000,"Wenn du dich nicht bei Google einloggst, kannst du keinen Mehrspielermodus spielen. Bitte melde dich bei Google an."
