ID,Dec
11000,তোমার দল চমৎকার কোচিংয়ের সঙ্গে লিগ জিতেছে! চল বিশ্ব চ্যাম্পিয়নশিপ জয় করার প্রস্তুতি নিই।
11001,"যদিও জয়লাভ করেনি, তবু দারুণ পারফরম্যান্স দেখিয়েছে। বিশ্ব চ্যাম্পিয়নশিপে স্নো বাথিং সম্পন্ন!"
11002,এটি চ্যাম্পিয়নশিপ ছিল না। তবে আমরা ওয়ার্ল্ড চ্যাম্পিয়নে অগ্রসর হতে পেরেছি!
11003,"এটা চ্যাম্পিয়নশিপ ছিল না, তবে পরের মৌসুমে জয়লাভের লক্ষ্য নিয়ে এটিই একটি চমৎকার র‌্যাঙ্কিং।"
11004,"সর্বনিম্ন অবস্থান এড়ানো হয়েছে, তবে র‍্যাঙ্কিংটা ভালো নয়। উচ্চতর র‍্যাঙ্ক পেতে হলে, আমার মনে হয় এতে মেইন্টেনেন্স দরকার।"
11005,সিজন শেষ করলাম সবচেয়ে নিচের অবস্থানে। আমাদের সমর্থক ভক্তদের জন্য— আসুন আগামী সিজনে আরও এগিয়ে যাই!
11006,দলটি চমৎকার কোচিংয়ের মাধ্যমে ওয়ার্ল্ড চ্যাম্পিয়নশিপ জয় করেছে! খেলোয়াড় এবং ভক্তরা আপনার দুর্দান্ত নেতৃত্ব উদযাপন করছে। অভিনন্দন।
11007,"এটা জিততে পারলো না, তবে দারুণ কাজ করেছে। আসা সিজনে চলুন বিশ্ব চ্যাম্পিয়নশিপ জয়ের লক্ষ্যে এগিয়ে যাই!"
11008,"দুঃখজনকভাবে, এটা একটা চমৎকার গ্রেড। আসুন পরের সিজনে আমাদের শক্তি বাড়াই এবং আগামী বিশ্ব চ্যাম্পিয়নশিপ জিততে চেষ্টা করি।"
11009,"আপনি সফলভাবে টুর্নামেন্টে প্রবেশ করেছেন। পরের সিজনে, চলুন আরও উচ্চ পর্যায়ের টুর্নামেন্টের দিকে অগ্রসর হই।"
11010,"দুঃখজনকভাবে, টুর্নামেন্টটি ব্যর্থ হয়েছে। তবে, পরের সিজনে আমরা বিশ্ব চ্যাম্পিয়নশিপে অগ্রসর হয়ে শিরোপা জয়ের লক্ষ্যে এগিয়ে যাব।"
20000,লাইন প্রদর্শনী / অপারেশন
20001,ব্যালেন্স
20002,টিমফাইট
20003,কাস্টম
21000,এটি একটি স্ট্র্যাটেজি যেখানে শক্তিশালী লাইন যুদ্ধের ভিত্তিতে স্নোবল রোল করা হয়। {{-আপনার যদি মজবুত লাইনের যুদ্ধ থাকে তবে এটি উপযুক্ত। {-দুর্বল ব্লো থাকলে এক শটেই আপনি রিভার্টেড হতে পারেন।
21001,Lineup} Teamfight} Operation গেমটি সুষমভাবে খেলুন। {{-এটি উপযুক্ত যখন খেলোয়াড়দের দক্ষতা সমান হয়।
21002,এটি এমন একটি কৌশল যা একক শটে সম্পূর্ণ ফিনিশের লক্ষ্য রাখে। {{- এটি তখন উপযুক্ত যখন কোনো দলের কাছে শক্তিশালী ওয়ান‑শট ক্ষমতা থাকে। {
21003,এটাই তোমার কৌশল।
22000,গেমের কেন্দ্র
22001,গ্যাঙ্কের কেন্দ্র
22002,মেইন অর্ডার
23000,"গেমের কেন্দ্রবিন্দু হতে যেসব ক্ষমতা বেছে নেবে, সেগুলোই হবে তোমার শোরুঙখ। দলের পরিসংখ্যান বাড়বে, আর বাকি সব শক্তি ধসে পড়বে।"
23001,জঙ্গলার গ্যাঙ্কের জন্য লাইনটি নির্ধারণ করে।
23002,অপারেশন-কেন্দ্রিক একটি পজিশন সেট করুন। প্রধান আদেশটি দলীয় অপারেশনের অনুপাত বৃদ্ধি করবে।
24000,ব্যাল্যান্স
24001,লাইন
24002,টিমফাইট
24003,অপারেশন
24004,ব্যালান্স
24005,টপ
24006,মিড
24007,বটম
24008,টপ
24009,জঙ্গল
24010,মিড
24011,AD
24012,সাপোর্ট
25000,আক্রমণ
25001,ব্যালান্সড
25002,ট্যাঙ্কার
25003,আক্রমণ
25004,ব্যালান্সড
25005,ট্যাঙ্কার
25006,আক্রমণ
25007,সামঞ্জস্যপূর্ণ
25008,সাপোর্ট
25009,আক্রমণ
25010,সামঞ্জস্যপূর্ণ
25011,ইউটিলিটি
25012,আক্রমণ
25013,ব্যালেন্সড
25014,ট্যাঙ্কার
26000,লাইনটিতে প্রতিপক্ষকে জোরে প্রেস করুন। এটি স্প্লিটের মাধ্যমে অপারেশন নিয়ন্ত্রণেও নেয়। {{▲ অপারেশন স্ট্যাট বৃদ্ধি পায়। {{-লাইনে অর্জিত বা হারানো পয়েন্ট বাড়ে। {{▼ টিমফাইট স্ট্যাট কমে যায়।
26001,বেসিক ড্যামেজ ট্যাঙ্ক
26002,ইনফ্লুয়েন্স লাইন যুদ্ধগুলোতে কমে যায়। তবে তিনি টিমফাইটে বেশি শক্তিশালী। ▲ টিমফাইট ক্ষমতা বৃদ্ধি পেয়েছে। - লাইনে অর্জিত বা হারানো পয়েন্ট কমে গেছে। ▼ অপারেশন স্ট্যাটস হ্রাস পেয়েছে।
26003,গ্যাঙ্কিং শক্তিশালী হয়ে যায়। তবে গ্যাঙ্ক ব্যর্থতার ঝুঁকি উচ্চ থাকে। ▲ লাইন স্ট্যাটস বৃদ্ধি পায়।
26004,বেসিক ডিল ট্যাংক
26005,গ্যাঙ্কিং ক্ষমতা হ্রাস পেয়েছে। তবে আক্রমণ ক্ষমতা বৃদ্ধি পায়। {{▲ আক্রমণ ক্ষমতা বৃদ্ধি পায়। {{▼ লাইনআপ ক্ষমতা কমে যায়।
26006,লাইনেই প্রতিপক্ষকে জোরে চাপ দিন। স্প্লিটের মাধ্যমে অপারেশন নিয়ন্ত্রণও নিন। {{▲ অপারেশন স্ট্যাটস বৃদ্ধি পায়। {{-লাইনে অর্জিত বা হারানো পয়েন্ট বাড়ে। {{▼ টিমফাইট স্ট্যাট কমে যায়।
26007,বেসিক নুকার চ্যাম্প।
26008,লক্ষ্য হল One Dil‑এর সক্ষমতা বাড়ানো। {{▲ One Dil‑এর স্ট্যাট বৃদ্ধি পেয়েছে।}}
26009,প্রারম্ভিক সময়গুলো শক্তিশালী। তবে সময়ের সঙ্গে সাথে তা দুর্বল হয়ে যায়। {{▲ প্রথম ২০ মিনিট পর্যন্ত লাইন‑আপ} টিমফাইট ক্ষমতা বৃদ্ধি পায়। {{▼ দ্বিতীয়ার্ধ থেকে টিমফাইট ক্ষমতা হ্রাস পায়।
26010,বেসিক ওয়ান‑ডিল চ্যাম্পিয়ন।
26011,ক্যারি'র ভূমিকার চেয়ে টিমকে সহায়তা করার ওপর মনোযোগ দেয়া হচ্ছে। {{▲ অপারেশনাল স্ট্যাটস বাড়ছে। {{▼ লাইনস স্ট্যাটস কমছে।
26012,লাইন ফাইট শক্তিশালী। তবে কম হেলথে অপারেশন করা ঝুঁকিপূর্ণ। ▲ লাইন‑আপ স্ট্যাটস বৃদ্ধি পায়। - অপারেশন থেকে অর্জিত বা হারানো পয়েন্ট বাড়ে।
26013,বেসিক সাপোর্টার চ্যাম্পিয়ন
26014,"লাইন-এ দুর্বল। তবে টিমফাইটে এটি শক্তিশালী।  
▲ টিমফাইট স্ট্যাট বৃদ্ধি পেয়েছে।  
▼ লাইনস স্ট্যাট হ্রাস পেয়েছে।"
30000,"যদি আপনি গুগলে লগ ইন করতে না পারেন, তবে মাল্টিপ্লেয়ার মোডে খেলতে পারবেন না। দয়া করে গুগল অ্যাকাউন্টে লগইন করুন।"
30001,শেষ মাল্টি ম্যাচের সময় গেমটি অস্বাভাবিকভাবে শেষ হয়ে যায়। গেমটি ফরফিট করা হয়েছে।
30002,অভিনন্দন! তুমি পরবর্তী লেভেলে পদোন্নতি পেয়েছ!
30003,আপনাকে ধারাবাহিক পরাজয়ের ফলে ডিমোশন করা হয়েছে।
30004,সাইন‑ইন করা হচ্ছে
30005,একটি সমস্যা রয়েছে। সমস্যার কারণ:
30006,"ইন্টারনেট সংযোগ বিচ্ছিন্ন হয়েছে। যখন আপনার ইন্টারনেট পুনরায় সক্রিয় হবে, তখন স্বয়ংক্রিয়ভাবে সংযোগ পুনঃস্থাপন করা হবে।"
30007,ইন্টারনেট বহু ম্যাচের সময় বিচ্ছিন্ন হয়ে গেছে। {OK ক্লিক করলে} আপনি স্টেডিয়াম থেকে বেরিয়ে যাবেন।
30008,প্রতিপক্ষ খুঁজে পাওয়ায় সমস্যা হয়েছে। স্টেডিয়াম থেকে বের হতে OK চাপুন।
30009,গেমটি আপ‑ডেট নয়। ম্যাচ খেলতে হলে সর্বশেষ সংস্করণে আপডেট করতে হবে। {{নিচের বাটনে ক্লিক করে আবার ভার্সন চেক করুন} অথবা আপডেট পেজে যান।
30010,চেকিং
30011,এটি সর্বশেষ সংস্করণ নয়।
30012,মিনিট
30013,আপনাকে চিটার হিসেবে রিপোর্ট করা হয়েছে এবং আপনি মাল্টিপ্লেয়ার গেম খেলতে পারবেন না। কোনো প্রশ্ন থাকলে দয়া করে hucce@gmail.com‑এ ইমেইল করুন।
30014,আপনি চিটার হিসেবে রেজিস্টার্ড হয়েছেন।
30015,বহু-খেলোয়াড় সার্ভার যাচাই করা হচ্ছে। দয়া করে চেক শেষ হওয়া পর্যন্ত অপেক্ষা করুন।
30016,তালিকা লোড করা যায়নি। মাল্টিপ্লে-এ গুগল দিয়ে লগইন করুন।
31000,গেমটি খেলার জন্য ধন্যবাদ। আপনার রিভিউ ডেভেলপারদের জন্য বড় সাহায্য। পুরস্কার হিসেবে আপনি পাবেন ৩০০ এসেন্স।
32000,বিজ্ঞাপন দেখার জন্য ধন্যবাদ। আপনার দর্শন পুরস্কার পেতে “ওকে” ক্লিক করুন।
32001,বিজ্ঞাপন বাদ দেওয়া হয়েছে। পুরস্কার পেতে আপনাকে বিজ্ঞাপনটি শেষে পর্যন্ত দেখতে হবে।
32002,বিজ্ঞাপন আনতে ব্যর্থ হয়েছে। দয়া করে আপনার ইন্টারনেট সংযোগ যাচাই করুন।
36000,লিগ স্কোর
36001,এম
36002,W
36003,এল
36004,ইতিহাস
36005,টপ
36006,ম্যাচের ফলাফল
36007,গ্রহণ করুন
36008,সম্পূর্ণ
36009,অসম্পূর্ণ
36010,লিঙ্ক
36011,সিজন
33000,আপগ্রেড কেবলমাত্র লেভেল ১০ পর্যন্ত সম্ভব।
33001,সফলতা
33002,ব্যর্থতা
33003,সাফল্যের সম্ভাবনা
33004,ফারাক
33005,আপনি কি টিউটোরিয়ালটি বাদ দিতে চান? টিউটোরিয়াল থেকে কোনো পুরস্কার পাবেন না।
33006,গেমটি পুনরায় চালু করার পর ভাষা বদলে যাবে।
34000,গুগল প্লে সার্ভিস সংস্করণ যাচাই করুন
34001,গুগল প্লে লগইন সম্পন্ন
34002,সার্ভার লগইন সম্পন্ন হয়েছে
34003,ক্লাউড সেভ নিশ্চিতকরণ সম্পন্ন হয়েছে
34004,ডেটা ইম্পোর্ট সম্পন্ন হয়েছে।
34005,সমস্যা পুনরায় চেষ্টা করুন
34006,ত্রুটি! অফলাইন মোডে লোড করুন
33007,রাউন্ড
33008,লাইন
33009,টিমফাইট
33010,অপারেশন
33011,টপ
33012,মিড
33013,বটম
33014,মহা পরাজয়
33015,পরাজয়
33016,বেয়ারিশ
33017,কন্টেনশন
33018,প্রাধান্য
33019,বিজয়
33020,দারুণ জয়!
33021,টিম জঙ্গলার গ্যাঙ্কিং
33022,দিন
33023,সিজন শেষ পুরস্কার
33024,আপনার বন্ধুকে ইতিমধ্যে অনুরোধ করা হয়েছে।
33025,ইতিমধ্যে বন্ধু
33026,আপনি কি নিশ্চিত যে এই বন্ধুকে মুছে ফেলতে চান?
33027,কপি করা স্ট্র্যাটেজি
33028,ধরনগুলি
33029,ব্যান
33030,ঘোষণা
33031,বাগ / পরামর্শ
33032,ম্যানেজার আমন্ত্রণ। এখনই একটি LOL দলটির ম্যানেজার হোন।
33033,চূড়ান্ত রেটিং
33034,চূড়ান্ত পুরস্কার
33035,সিজন শুরু
33036,একটি নতুন সিজন শুরু হয়েছে।
33037,হল অফ ফেমে অবদান
33038,বিরতি
33039,পর্যাপ্ত এসেন্স নেই
37000,ন্যান
37001,এসেন্স
37002,প্যাক
37003,প্যাকেজ
38000,সব
38001,সিলভার
38002,গোল্ড
38003,প্লাটিনাম
33040,সব
33041,সিলভার
33042,গোল্ড
33043,প্লাটিনাম
33044,ডায়মন্ড
33045,চ্যালেঞ্জার
33046,মাস্টার
33047,নিয়োগ
33048,প্যাকেজ
33049,প্রেজেন্টেশন
33050,সীমিতসহ
33051,শুধুমাত্র সীমিত
33052,সোয়াপ
33053,যোগ করুন
33054,মুছে ফেলুন
33055,মোট
33056,স্ট্যাটস
33057,ব্রোঞ্জ
33058,পরবর্তী র‍্যাংক আপগ্রেড পর্যন্ত
33059,চল
33060,গ্রহণ করুন
33061,একই খেলোয়াড় ইতিমধ্যে স্টার্টিং তালিকায় রয়েছে।
33062,ডেটা নেই।
33063,ডেটা অস্বাভাবিক।
33064,কারণ
33065,পরবর্তী ক্র্যাশ শুরুর তারিখ
33066,একটি টুর্নামেন্ট তৈরি করার সময় ত্রুটি ঘটেছে। নতুন টুর্নামেন্ট তৈরির জন্য **Retry**-তে চাপ দিন।
33067,সার্ভার ডেটা গ্রহণ করছে।
33068,ডেটা সঠিকভাবে গ্রহণ করা হয়নি।
33069,সিজন প্লেয়ার উপস্থাপন
33070,বিশ্ব চ্যাম্পিয়নশিপে প্রবেশ
33071,এই বছরে লিগে ডেবিউ করা নির্বাচিত খেলোয়াড়রা ভবিষ্যতের জন্য উন্মুখ। এটি শুধুমাত্র সিজন রিওয়ার্ড হিসেবে পাওয়া যাবে।
33072,আপনি কি অটো-ম্যাচ থামাতে চান? (ব্যবহার করা আইটেমগুলো অদৃশ্য হয়ে যাবে।)
33073,আপনি কি নিশ্চিতভাবে আপনার অ্যাকাউন্ট রিসেট করতে চান? (সংরক্ষিত ডেটা মুছে যাবে এবং গেমটি পুনরায় শুরু হবে।)
33074,একই কোচটি ইতিমধ্যে এন্ট্রিতে রয়েছে।
33075,আপনি কি নিশ্চিত যে কোচটি মুছে ফেলতে চান? আপনি ৩০ ইসেন্স পাবেন।
33076,আপনি কি আপনার টিমের নাম পরিবর্তন করতে চান? এতে ৫০০ এসেন্স ব্যবহার হবে।
33077,নিয়োগ তথ্য
33078,সম্ভাব্যতা তথ্য
33079,যখন বিজ্ঞাপন দেখা হচ্ছে {EXP}
33080,যখন অ্যাড{Essence দেখছেন।
