ID,Dec
10000,嗨，很高兴见到你。
10001,在经理的支持下，他在英雄联盟联赛组建了一支全新战队。
10002,请先为您的战队命名。
10003,让我们把 AAA 战队载入史册！
10004,这是本联赛的首场比赛。
10005,在比赛前，这里可查看我们队伍及其他队伍的详细信息。
10006,当前战队已经签下选手。
10007,不过，要想夺冠，你必须拥有足够多的选手。
10008,在比赛前先安排一名新人上场。
10009,点击招聘市场
10010,你可以在招募市场使用已有的精华来招募新选手。
10011,让我们凭现有的精华签下新选手。
10012,按下 X1 招募按钮。
10013,我们迎来了一名新选手。
10014,团队依旧缺乏竞争力。快签下更强的选手，提升我们的竞争力！
10015,精华不足，无法招募强力选手。此时可通过赞助商获取完整的数额。
10016,观看全部赞助商视频广告以获取奖励。
10017,最初】赞助广告已特别准备，奖励提升 50%。
10018,点击赞助广告
10019,赞助商给了我们一个整数，现在就用它招募一位新选手吧。
10020,按下 X5 招募按钮。
10021,我们迎来了一名新选手。
10022,现在让我们上场一名新选手。
10023,点击玩家管理按钮。
10024,在选手管理中，你可以选择一名候选选手。
10025,按下 “Swap” 按钮尝试该候选人。
10026,按下“替换”后，所选选手将成为首发选手，原先的选手将被提名。
10027,此外，依据首发阵容的组合，可获取额外效果。
10028,按下按钮
10029,您可以在此处查看有关 Tim Chemie 的信息。
10030,通过搭配不同的羁绊（例如类型与团队），即可提升你队伍的整体强度。
10031,按 X键退出。
10032,好，现在把那位不需要的选手换成另一名选手。
10033,尝试按下“重组”。
10034,这里可以将四名候补替换成新选手。
10035,暂时我安排了四名选手。现在让我们重新组合这些选手。
10036,按下“添加”按钮。
10037,按下“添加”按钮。
10038,按下“添加”按钮。
10039,按下“添加”按钮。
10040,把三位选手全都上场。现在换成一名新选手。
10041,你可以在招募信息中查看玩家的能力信息。
10042,现在获取玩家。
10043,尝试按下组合键。
10044,这样，你就能用新选手替换现有选手。
10045,现在让我们和这些选手一起上场。
10046,按下匹配按钮
10047,按下游戏进度按钮。
10048,比赛已开始。
10049,让我们相信选手，全程观看比赛！
10050,像这样，比赛结束后，你可以获取经验与金币。
10051,若超过每日对局上限，将无法获取精华。
10052,按下“继续”按钮退出赛场。
10053,第一局已经结束。
10054,选手对赢得比赛至关重要，但教练的策略同样不可或缺。
10055,按下“策略”按钮。
10056,快速设置让关键战术布局变得轻松。
10057,平衡已经成为基础战略。
10058,我们来更改设置。
10059,点击“线路/管理”。
10060,线控/运营是一种通过利用线上对抗中取得的优势，直接收官的战术。
10061,让我们将战略改为逐线作战。
10062,点击设置按钮
10063,团队的战术已转为线控推进。
10064,这套快捷设置让你轻松切换团队阵容与打法。
10065,可以通过说明书及选人车进行详细设定。
10066,现在让我们来测试我们的策略。
10067,按下匹配按钮
10068,在进入对局之前，先来看看如何使用对局装备。
10069,！按下按钮。
10070,我听说有一件赠送的 10% 经验加成道具。
10071,请检查使用情况。
10072,如果勾选「使用」，则在之后的对局中会自动使用相应的物品。
10073,如果拥有多件装备，可勾选 “自动”，系统将会自动使用这些装备。
10074,相同类别的道具不可重复使用。
10075,按 X 退出。
10076,现在，让我们一起盘点一下阵容思路与出装！
10077,按下游戏进度按钮
10078,本场比赛结束后，经理等级提升了。
10079,随着经理等级提升，你将获得类似这样的额外精华。
10080,无论每日对局上限如何，都可以通过教练等级获得额外的精华。
10081,按“继续”按钮退出赛场。
10082,有些选手在本场比赛中通过获取经验而升级。
10083,升级的玩家可以提升其属性。
10084,点击“玩家管理”。
10085,已升级的选手在等级上会显示箭头标记。
10086,点击玩家的等级以提升属性。
10087,在这里，您可以使用点数提升想要的属性。
10088,点击想要提升的属性旁边的箭头即可增加该属性。
10089,点击你想要的属性后，点击“决策”。
10090,这将提升选手的实力。
10091,按 X 键退出。
10092,选手可以通过这样升级和强化，变得更加强大。
10093,让我们通过强化来提升玩家的战力！
