ID,Korean,Dec
1000,효과음,音效
1001,배경음,背景音效
1002,언어,語言
1003,만든이: 허민구{연락: huccce@gmail.com,製作：Heo Min‑gu（聯絡方式：huccce@gmail.com）
1004,불러오는 중 /{구글 로그인,載入中 / {Google 登入}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>【提示】檢測到多筆資料，請選擇欲載入的資料。{未選取的資料將會被刪除。
1006,팀이름,團隊名稱
1007,라운드,回合
1008,정수,精華
1009,저장날짜,保存日期
1010,결정,決策
1011,경기,比賽
1012,리그,聯盟
1013,전략,戰術
1014,선수{관리,玩家{管理}
1015,영입{시장,招募{市場
1016,멀티{대전,多重對戰
1017,계정,帳號
1018,순위,排名
1019,승,W
1020,패,L
1021,라인전,線
1022,한타,團隊戰
1023,운영,行動
1024,포지션,位置
1025,이름,名稱
1026,종합,總計
1027,일정,賽程表
1028,상대팀,對方隊伍
1029,총합,總計
1030,결과,結果
1031,승리,勝利
1032,패배,失敗
1033,간편,簡單
1034,지침,指南
1035,밴픽,禁選
1036,설정,設定
1037,설명,說明
1038,라인,線
1039,타입,類型
1040,등급,評分
1041,강화,強化
1042,재조합,重組
1043,팀케미,Chemie戰隊
1044,선발 선수,首發選手
1045,후보 선수,替補選手
1046,레벨 포인트,等級點
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),團隊 Chemie（▲2）{年份 Chemie（▲1）{類別 Chemie（▲1）{聯盟 Chemie（▲1)
1048,케미스트리,默契
1049,재조합 선수,重組選手
1050,제거,移除
1051,강화 선수,替補選手
1052,재료 선수,裝備玩家
1053,성공확률:,成功機率：
1054,영입시장,招募市場
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,觀看贊助廣告以獲得獎勵。
1056,5번 보시면 200정수를 추가로 드립니다.,如果觀看 5 次，即可額外獲得 200 點精華。
1057,골드 영입,黃金招募
1058,실버 선수,銀牌選手
1059,시청,觀看
1060,플레,鉑金
1061,골드,黃金
1062,선수명단,選手名單
1063,가격,價格
1064,추천,推薦
1065,구입,購買
1066,탑 랭킹,最高段位
1067,내 순위,我的段位
1068,새로고침시간,刷新時間
1069,대전정보,比賽資訊
1070,대전찾기,對局搜尋
1071,선수,選手
1072,감독,經理
1073,로그인,登入
1074,확인,確認
1075,일일,日
1076,업적,成就
1077,기타,等等
1078,보상,獎勵
1079,공지사항,公告
1080,계속,繼續
1081,이곳을 눌러 입력,點此進入
1082,최종순위,最終排名
1083,시즌 보상:,賽季獎勵：
1084,스킵,跳過
1085,예,是
1086,아니오,否
1087,터치 하면 게임 시작,點擊開始遊戲
1088,평점,等級
1089,경기진행,比賽進度
1090,버전확인,檢查版本
1091,업데이트하러 가기,前往更新
1092,다시확인,再次檢查
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,載入隊伍資訊失敗。{請重新嘗試}
1094,이곳을 눌러 찾을 팀이름 입력,點此輸入隊伍名稱以搜尋
1095,밴플레이어,封禁玩家
1096,전달,中繼
1097,전송,發送
1098,문의하기,聯絡我們
1099,버그/건의,Bug / 建議
1100,게임 종료,退出遊戲
1101,초대링크,邀請連結
1102,모의경기,模擬賽
1103,전략복사,戰術複製
1104,신고,檢舉
1105,<이벤트>,<活動>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,贊助商快閃活動！{{立即查看贊助廣告，即可獲得額外 + 50% 獎勵。
1107,영입시장으로 가기,前往徵召市場
1108,<리뷰 이벤트>,回顧活動
