ID,Dec
11000,আপনার দল মহান কোচিং সঙ্গে লীগ জিতেছে! এর বিশ্ব চ্যাম্পিয়নশিপ জিততে প্রস্তুত।
11001,"যদিও এটি জয় না, এটি একটি মহান কাজ করেছে। বিশ্ব চ্যাম্পিয়নতে স্নান স্নান করা!"
11002,"এটি একটি চ্যাম্পিয়নশিপ ছিল না। তবে, আমরা বিশ্ব চ্যাম্পিয়নশিপে অগ্রসরতে সফল হয়েছি!"
11003,এটি একটি চ্যাম্পিয়নশিপ ছিল না। তবে আগামী মৌসুমে জয় করার চেষ্টা করার জন্য এটি একটি ভাল র্যাঙ্কিং।
11004,"সবচেয়ে খারাপ এড়ানো ছিল, কিন্তু এটি একটি ভাল র্যাঙ্কিং ছিল না। একটি উচ্চ র্যাঙ্কিং জন্য} আমি মনে করি এটি রক্ষণাবেক্ষণ প্রয়োজন।"
11005,আমরা সবচেয়ে খারাপ অবস্থানে ঋতু শেষ। আমাদের সমর্থন যারা ভক্তদের জন্য} আসুন পরবর্তী ঋতু জন্য আরও যান।
11006,গ্রেট কোচিংয়ের সাথে দলটি বিশ্ব চ্যাম্পিয়নশিপ জিতেছে! খেলোয়াড় এবং ভক্ত আপনার মহান কমান্ড উদযাপন। অভিনন্দন।
11007,"এটা জয় না, কিন্তু এটি একটি মহান কাজ করেছেন। আসুন আগামী মৌসুমে বিশ্ব চ্যাম্পিয়নশিপ জয় করার চেষ্টা করি!"
11008,"দুর্ভাগ্যবশত, এটি একটি মহান গ্রেড। আসুন আগামী মৌসুমে আমাদের ক্ষমতা বৃদ্ধি করি এবং পরবর্তী বিশ্ব চ্যাম্পিয়ন জয় করার চেষ্টা করি।"
11009,"আপনি সফলভাবে টুর্নামেন্টে প্রবেশ করেছেন। পরবর্তী ঋতু, আসুন উচ্চ টুর্নামেন্টের জন্য মাথা।"
11010,"দুর্ভাগ্যবশত, টুর্নামেন্ট ব্যর্থ হয়েছে। দুর্ভাগ্যবশত, আসুন আগামী মৌসুমে বিশ্ব চ্যাম্পিয়নশিপে অগ্রসর হব এবং চ্যাম্পিয়নশিপের লক্ষ্য রাখি।"
20000,লাইন প্রদর্শনী / অপারেশন
20001,ভারসাম্য
20002,টিমফাইট
20003,কাস্টম
21000,এটি শক্তিশালী লাইনের যুদ্ধের উপর ভিত্তি করে স্নোবলগুলি রোল করার কৌশল। {{- এটি আপনার একটি শক্তিশালী লাইন যুদ্ধ আছে যখন উপযুক্ত। {আপনি একটি দুর্বল ঘা আছে যখন আপনি এক শট ফিরে যেতে পারে।
21001,লাইনআপ} হান্টা} অপারেশন একটি সুষম ভাবে খেলাটি খেলুন। {{-এইএসটি উপযুক্ত যখন খেলোয়াড়দের ক্ষমতাও থাকে।
21002,এটি একটি কৌশল যা একটি একক শটের মাধ্যমে এক শটের জন্য লক্ষ্য করে। {{- এটি একটি দলের একটি শক্তিশালী এক শট ক্ষমতা আছে যখন উপযুক্ত। {
21003,এই আপনার কৌশল।
22000,খেলার কেন্দ্র
22001,একটি ganking কেন্দ্র
22002,প্রধান আদেশ
23000,খেলার কেন্দ্র হতে ক্ষমতা চয়ন করুন। দলের পরিসংখ্যান বৃদ্ধি হবে। পরিবর্তে} বাকি শক্তি পড়ে।
23001,Jungler gankinging জন্য লাইন সিদ্ধান্ত নেয়।
23002,অপারেশন উপর ফোকাস যে একটি অবস্থান সেট করুন। প্রধান আদেশ টিম অপারেশন অনুপাত বাড়বে।
24000,ভারসাম্য
24001,লাইন
24002,টিমফাইট
24003,অপারেশন
24004,ভারসাম্য
24005,শীর্ষ
24006,মধ্য পর্যন্ত
24007,নীচে
24008,শীর্ষ
24009,জঙ্গল
24010,মধ্য পর্যন্ত
24011,বিজ্ঞাপন
24012,সমর্থন
25000,আক্রমণ
25001,সুষম
25002,ট্যাঙ্কার
25003,আক্রমণ
25004,সুষম
25005,ট্যাঙ্কার
25006,আক্রমণ
25007,সুষম
25008,সমর্থক
25009,আক্রমণ
25010,সুষম
25011,ইউটিলিটি
25012,আক্রমণ
25013,সুষম
25014,ট্যাঙ্কার
26000,দৃঢ়ভাবে লাইন প্রতিদ্বন্দ্বী টিপুন। এটি বিভক্ত মাধ্যমে অপারেশন নিয়ন্ত্রণ নেয়। {{▲ অপারেশন পরিসংখ্যান বৃদ্ধি। {{লাইন বৃদ্ধি বা লাইন বৃদ্ধি বা হারিয়ে গেছে। {{▼ হান্টা স্ট্যাটাস কম।
26001,বেসিক ডিল ট্যাংক।
26002,"প্রভাব লাইন যুদ্ধে হ্রাস করা হয়। যাইহোক, তিনি হানাতে শক্তিশালী। {▲ হান্টা ক্ষমতা বৃদ্ধি করা হয়। {{লাইন অর্জিত বা লাইন হারিয়ে গেছে বা হারিয়ে গেছে। {{▼ অপারেশন স্ট্যাট কমিয়ে আনা হয়।"
