ID,Dec
11000,Đội của bạn đã giành giải đấu với huấn luyện tuyệt vời! Hãy chuẩn bị để giành chức vô địch thế giới.
11001,"Mặc dù nó không thắng, nhưng nó đã làm một công việc tuyệt vời. Tắm tuyết được thực hiện trong nhà vô địch thế giới!"
11002,"Đó không phải là một chức vô địch. Tuy nhiên, chúng tôi đã thành công trong việc tiến lên vô địch thế giới!"
11003,Đó không phải là một chức vô địch. Nhưng đó là một thứ hạng tốt để cố gắng giành chiến thắng vào mùa giải tới.
11004,"Điều tồi tệ nhất đã tránh được, nhưng nó không phải là một thứ hạng tốt. Cho một thứ hạng cao hơn} Tôi nghĩ rằng nó cần bảo trì."
11005,Chúng tôi đã kết thúc mùa giải ở vị trí tồi tệ nhất. Đối với những người hâm mộ hỗ trợ chúng tôi} hãy đi xa hơn cho mùa giải tới.
11006,Đội đã giành chức vô địch thế giới với huấn luyện tuyệt vời! Người chơi và người hâm mộ kỷ niệm lệnh tuyệt vời của bạn. Xin chúc mừng.
11007,"Nó không thắng, nhưng nó đã làm một công việc tuyệt vời. Hãy cố gắng giành chức vô địch thế giới mùa tới!"
11008,"Thật không may, đó là một lớp tuyệt vời. Hãy tăng sức mạnh của chúng tôi vào mùa giải tới và cố gắng giành chức vô địch thế giới tiếp theo."
11009,"Bạn đã tham gia thành công giải đấu. Mùa tới, hãy đứng đầu cho các giải đấu cao hơn."
11010,"Thật không may, giải đấu thất bại. Thật không may, hãy tiến lên Giải vô địch thế giới mùa tới và nhắm đến chức vô địch."
20000,Triển lãm / vận hành hàng
20001,Thăng bằng
20002,Đội bóng.
20003,Tập quán
21000,Đó là một chiến lược để lăn những quả cầu tuyết dựa trên các trận chiến mạnh mẽ. {{-It phù hợp khi bạn có một trận chiến mạnh mẽ. {-Bạn có thể được quay trở lại một phát bắn khi bạn có một cú đánh yếu.
21001,Lineup} Hoạt động Hanta} Chơi trò chơi một cách cân bằng. {{-Đây là phù hợp khi khả năng của người chơi là chẵn.
21002,Đó là một chiến lược nhằm mục đích cho một phát bắn qua một lần bắn. {{-It là phù hợp khi một đội có khả năng một lần mạnh mẽ. Đồn là
21003,Đây là chiến lược của bạn.
22000,Trung tâm của trò chơi
22001,Trung tâm của một gank
22002,ĐẶT HÀNG CHÍNH
23000,Chọn khả năng trở thành trung tâm của trò chơi. Số liệu thống kê của nhóm sẽ tăng lên. Thay vào đó} phần còn lại của sức mạnh rơi.
23001,Jungler quyết định dòng để ganking.
23002,Đặt một vị trí tập trung vào các hoạt động. Đơn hàng chính sẽ tăng tỷ lệ hoạt động của nhóm.
24000,Thăng bằng
24001,Hàng
24002,Đội bóng.
24003,Hoạt động
24004,Thăng bằng
24005,Đứng đầu
24006,Giữa cùng
24007,Đáy
24008,Đứng đầu
24009,Rừng nhiệt đới
24010,Giữa cùng
24011,Quảng cáo
24012,Ủng hộ
25000,Tấn công
25001,Cân bằng
25002,Tàu chở dầu
25003,Tấn công
25004,Cân bằng
25005,Tàu chở dầu
25006,Tấn công
25007,Cân bằng
25008,Hỗ trợ
25009,Tấn công
25010,Cân bằng
25011,Tính thiết thực
25012,Tấn công
25013,Cân bằng
25014,Tàu chở dầu
26000,Nhấn mạnh đối thủ xếp hàng. Nó cũng kiểm soát các hoạt động thông qua sự phân chia. {{▲ Thước đo Tăng. {{-Points đạt hoặc mất trên dòng tăng. {{Hanta stat lowers.
26001,Xe tăng giao dịch cơ bản.
26002,Ảnh hưởng là giảm trong các trận chiến dòng. Tuy nhiên} anh mạnh hơn ở Hanta. {{Khả năng Hanta được tăng lên. {{-Points đạt hoặc bị mất tại dòng được hạ xuống. {{Chỉ số chức năng hoạt động được hạ xuống.
26003,Ganking trở nên mạnh mẽ. Tuy nhiên} có nguy cơ thất bại gank cao. {{▲ Tăng số liệu thống kê. {{
26004,Xe tăng giao dịch cơ bản.
26005,Khả năng gank được hạ xuống. Tuy nhiên} khả năng đánh tăng. {{▲ khả năng đánh tăng. {{Khả năng dòng đi xuống.
26006,Nhấn mạnh đối thủ xếp hàng. Nó cũng kiểm soát các hoạt động thông qua sự phân chia. {{▲ Thước đo Tăng. {{-Points đạt hoặc mất trên dòng tăng. {{Hanta stat lowers.
26007,Cơ bản Nuker Champ.
26008,Mục tiêu là cải thiện khả năng của một DIL. {{▲ một chỉ số của một dl tăng lên.
26009,Những ngày đầu là mạnh mẽ. Tuy nhiên} khi thời gian trôi qua} nó sẽ yếu hơn. {{Xếp hàng cho đến 20 phút đầu tiên} khả năng Hanta tăng lên. {{Khả năng HANTA giảm từ nửa sau.
26010,CHAMP MỘT DEAL CHAMP.
26011,Tập trung vào việc giúp đỡ đội thay vì vai trò của Carrie. {{▲ chỉ số hoạt động tăng lên. {{{Dòng thống kê Down Down.
26012,Cuộc chiến trực tuyến là mạnh mẽ. Tuy nhiên} Thật nguy hiểm khi hoạt động với sức khỏe thấp. {{Tăng số liệu thống kê xếp hàng. {{-Points đạt hoặc mất từ hoạt động tăng.
26013,Champ hỗ trợ cơ bản.
26014,Yếu trong dòng. Tuy nhiên} nó mạnh mẽ ở Hanta. {{▲ Hanta Stat được tăng lên. {{{Lines stat được hạ xuống.
30000,"Nếu bạn không thể đăng nhập vào Google, bạn không thể chơi nhiều người chơi. Vui lòng đăng nhập Google."
30001,Có một kết thúc bất thường của trò chơi trong nhiều trận đấu cuối cùng. Trò chơi đã bị tịch thu.
30002,Xin chúc mừng! Bạn được thăng chức lên cấp độ tiếp theo!
30003,Bạn đã bị hạ cấp do thất bại liên tục.
30004,Đang đăng nhập
30005,Có vấn đề. Lý do cho vấn đề:
30006,"Kết nối Internet đã bị mất. Khi bạn có kết nối internet}, bạn sẽ tự động được kết nối lại."
30007,"Internet đã bị ngắt kết nối trong nhiều trận đấu. {Nếu bạn bấm OK}, bạn sẽ thoát khỏi sân vận động."
30008,Có một vấn đề tìm đối thủ của bạn. {Nhấn OK để thoát khỏi sân vận động.
30009,Trò chơi không cập nhật. Bạn cần cập nhật lên phiên bản mới nhất để chơi trận đấu. {{Nhấn nút bên dưới để kiểm tra lại phiên bản} hoặc đi đến trang cập nhật.
30010,Kiểm tra
30011,Nó không phải là phiên bản mới nhất.
30012,Phút
30013,Bạn đã được báo cáo là một người chơi gian lận và không thể chơi các trò chơi nhiều người chơi. {{Vui lòng gửi email cho adhucce @ gmail cho bất kỳ câu hỏi nào.
30014,Bạn được đăng ký là một người chơi gian lận.
30015,Kiểm tra máy chủ nhiều người. Vui lòng đợi cho đến khi thời gian kiểm tra kết thúc
30016,Không thể tải danh sách. Vui lòng đăng nhập Google vào nhiều người.
31000,Cảm ơn bạn đã chơi trò chơi. Đánh giá của bạn là một trợ giúp tuyệt vời cho nhà phát triển. Bạn sẽ nhận được 300 bản chất như một phần thưởng.
32000,
32001,Ad skipped You must watch the ad to the end to receive the reward.
32002,Failed to fetch ad Please check your internet connection.
36000,League score
36001,M
36002,W
36003,L
36004,History
36005,Top
36006,Match Results
36007,Receive
36008,Complete
36009,Incomplete
36010,Link
36011,Season
33000,Upgrading is only possible up to level 10.
33001,Success
33002,Failure
33003,Probability of success
33004,Difference
33005,Do you want to skip the tutorial? You can't get the rewards from the tutorial.
33006,The language will change when you restart the game.
34000,Google Play Service Version Check
34001,Google Play Login Complete
34002,Server login completed
34003,Cloud save confirmation complete
34004,Data import complete
34005,Problem retry
34006,Error! Load to offline mode
33007,Round
33008,Line
33009,TeamFight
33010,Operation
33011,Top
33012,Mid
33013,Bottom
33014,Great Defeat
33015,Defeat
33016,Bearish
33017,Contention
33018,Superiority
33019,Victory
33020,Great victory
33021,team jungler ganking.
33022,Day
33023,Season End Reward
33024,Your friend has already been requested.
33025,Already friend
33026,Are you sure you want to delete this friend?
33027,Copied strategy
33028,Kinds
33029,Ban
33030,Declaration
33031,Bug / Suggestions
33032,Manager invitation. Become a LOL team manager.
33033,Final Rating
33034,The final reward
33035,Season start
33036,A new season has begun.
33037,Hall of Fame contribution
33038,Rest
33039,Not enough essence
37000,None
37001,Essence
37002,Pack
37003,Package
38000,All
38001,Silver
38002,Gold
38003,Platinum
33040,All
33041,Silver
33042,Gold
33043,Platinum
33044,Diamond
33045,Challenger
33046,Master
33047,Recruitment
33048,Package
33049,Presentation
33050,Including limited
33051,Only limited
33052,Swap
33053,Add
33054,Remove
33055,Total
33056,Stats
33057,bronze
33058,Until next rank upgrade
33059,Move
33060,Receive
33061,The same player is already on the starting list.
33062,There is no data.
33063,Data is abnormal.
33064,Reason
33065,Next Crush Start Date
33066,An error occurred while creating a tournament.{{Touch Retry to create a new tournament.
33067,The server is receiving data.
33068,Data was not received properly.
33069,Season player presentation
33070,World Championship entry
33071,Selected players who made their debut in the league this year and look forward to the future. It can only be obtained as a season reward.
33072,Do you want to stop the auto match?{Used items will disappear.
33073,Are you sure you want to reset your account?{Save data will be deleted and the game will restart.
33074,The same coach is already in the entry.
33075,Are you sure you want to delete the coach? You can get 30 Essence.
