ID,Korean,Dec
1000,효과음,Kesan bunyi
1001,배경음,Bunyi latar belakang
1002,언어,Bahasa.
1003,만든이: 허민구{연락: huccce@gmail.com,Dicipta oleh: Heo Min-gu {Hubungi: huCcce@gmail.com
1004,불러오는 중 /{구글 로그인,Memuat / {Masuk Google masuk
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Perhatian> {{Terdapat lebih daripada satu data. Sila pilih data untuk memuatkan. {Data yang tidak dipilih akan dipadamkan.
1006,팀이름,Nama kumpulan
1007,라운드,Pusingan
1008,정수,Intipati
1009,저장날짜,Simpan tarikh
1010,결정,Keputusan
1011,경기,Perlawanan
1012,리그,Liga
1013,전략,Strategi
1014,선수{관리,Pemain {pengurusan
1015,영입{시장,Pengambilan {pasar.
1016,멀티{대전,Multi {Match.
1017,계정,Akaun
1018,순위,Pangkat
1019,승,W.
1020,패,L.
1021,라인전,Baris
1022,한타,TeamFight.
1023,운영,Operasi
1024,포지션,Kedudukannya
1025,이름,Nama
1026,종합,Jumlahnya
1027,일정,Kalendar
1028,상대팀,Pasukan lawan
1029,총합,Jumlahnya
1030,결과,Hasilnya
1031,승리,Kemenangan
1032,패배,Mengalahkan
1033,간편,Mudah
1034,지침,Garis panduan
1035,픽밴,Pilih Ban
1036,설정,Ditetapkan
1037,설명,Penjelasan.
1038,라인,Baris
1039,타입,Type.
1040,등급,Penarafan
1041,강화,Mengukuhkan
1042,재조합,Rekombinasi
1043,팀케미,Pasukan Chemie.
1044,선발 선수,Memulakan pemain
1045,후보 선수,Sub pemain
1046,레벨 포인트,Tahap tahap
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Pasukan Chemie (▲ 2) {Tahun Chemie (▲ 1) {Type Chemie (▲ 1) {League Chemie (▲ 1)
1048,케미스트리,Kimia.
1049,재조합 선수,Pemain rekombinan
1050,제거,Keluarkan
1051,강화 선수,Pemain Penguatkuasaan
1052,재료 선수,Pemain barangan
1053,성공확률:,Peluang kejayaan:
1054,영입시장,Pasaran pengambilan pekerja
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Menonton iklan yang ditaja untuk mendapatkan ganjaran.
1056,5번 보시면 200정수를 추가로 드립니다.,Sekiranya anda melihat 5 kali} anda akan menerima tambahan 200.
1057,골드 영입,Recruitment Gold.
1058,실버 선수,Pemain perak
1059,시청,Menonton
1060,플레,Platinum.
1061,골드,Emas
1062,선수명단,Senarai pemain
1063,가격,Harga
1064,추천,Mengesyorkan
1065,구입,Beli
1066,탑 랭킹,Pangkat teratas.
1067,내 순위,Pangkat saya.
1068,새로고침시간,Menyegarkan masa
1069,대전정보,Maklumat sepadan
1070,대전찾기,Carian perlawanan.
1071,선수,Pemain
1072,감독,Pengurus
1073,로그인,Log masuk
1074,확인,Sahkan
1075,일일,Hari
1076,업적,Pencapaian
1077,기타,Dan lain-lain
1078,보상,Ganjaran
1079,공지사항,Notis
1080,계속,Teruskan
1081,이곳을 눌러 입력,Tekan di sini untuk masuk
1082,최종순위,Pangkat terakhir.
1083,시즌 보상:,Ganjaran Musim:
1084,스킵,Melangkaui
1085,예,Ya.
1086,아니오,Tidak
1087,터치 하면 게임 시작,Sentuh untuk memulakan permainan
1088,평점,Gred
1089,경기진행,Perlawanan perlawanan
1090,버전확인,Semak versi
1091,업데이트하러 가기,Pergi ke kemas kini
1092,다시확인,Semak lagi
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Gagal memuat maklumat pasukan. {Cuba lagi
1094,이곳을 눌러 찾을 팀이름 입력,Ketik di sini untuk memasukkan nama pasukan untuk mencari
1095,밴플레이어,Pemain larangan
1096,전달,Relay
1097,전송,Hantar
1098,문의하기,Hubungi Kami
1099,버그/건의,Bug / cadangan
1100,게임 종료,Keluar permainan
1101,초대링크,Pautan jemputan
1102,모의경기,Perlawanan simulasi
1103,전략복사,Salinan strategik
1104,신고,Melaporkan
1105,<이벤트>,<Acara>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Acara Express Sponsor! {{Lihat iklan yang ditaja sekarang untuk mendapatkan tambahan + 50% ganjaran.
1107,영입시장으로 가기,Pergi ke pasaran pengambilan
1108,<리뷰 이벤트>,<Semak acara>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Terima kasih kerana bermain permainan. {{Ini adalah bantuan yang hebat untuk pemaju. Anda akan menerima 300 intipati sebagai ganjaran.
1110,리뷰하러 가기,Pergi ke ulasan.
1111,답변을 받으실 메일을 적어주세요.,Sila tulis e-mel untuk menjawab.
1112,(언어 변경 시 재시작 필요),(Memerlukan restart apabila menukar bahasa)
1113,이벤트,Acara
1114,포인트,Titik
1115,친구요청,Permintaan rakan
1116,친구추가,Menambah rakan
1117,친구 목록,Senarai rakan
1118,찾기,Cari
1119,아니요,Tidak
1120,멀티대전정보,Maklumat Multimakch
1121,친구 추가,Menambah rakan
1122,라인전{운영,Garis {operasi
1123,밸런스,Seimbang
1124,커스텀,Custom.
1125,탑,Teratas
1126,정글,Teratas
1127,미드,Jungle.
1128,원딜,MID.
1129,서폿,Iklan
1130,중심,Pusat
1131,갱킹,Ganking.
1132,메인오더,Urutan utama
1133,한정,Terhad
1134,레벨,Lv.
1135,팀,Pasukan
1136,당신의 팀이름을 정해주세요{(최대 5글자),Sila nyatakan nama pasukan anda {(sehingga 5 aksara)
1137,보낸이,Dari
1138,내용,Kandungan
1139,첨부,Lampiran
1140,쪽지 목록,Senarai mesej
1141,받는이:,Kepada:
1142,첨부종류:,Jenis Lampiran:
1143,상세:,Perincian:
1144,전송 비용:,Kos penghantaran:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Harga Item + Bayaran Asas 100 + 5% daripada harga item yang dilampirkan)
1146,쪽지보내기,Hantar satu mesej
1147,첼린저,Challenger.
1148,마스터,Master
1149,다이아,Berlian
1150,플레티넘,Platinum.
1151,골드,Emas
1152,실버,Perak
1153,브론즈,Gangsa
1154,<시즌 보상정보>,<Musim Ganjaran Maklumat>
1155,시즌 보상정보,Maklumat Ganjaran Musim
1156,등급상승 보상,Ganjaran menaik taraf kelas
1157,명예의 전당 헌액,Hall of Fame Sumbangan
1158,시즌보상카드 증정,Kad Ganjaran Musim
1159,다이아 패키지,Pakej berlian
1160,플레티넘 패키지,Pakej Platinum.
1161,골드 패키지,Pakej Emas.
1162,실버 패키지,Pakej perak
1163,모든선수 패키지,Semua pakej pemain
1164,다이아 영입,Perekunan Diamond.
1165,첼린저 영입,Pengambilan Challenger.
1166,모든한정포함 첼린저 영입,Semua termasuk pengambilan had
1167,보낸날짜,Tarikh dihantar
1168,보상정보,Maklumat Ganjaran
1169,모든팀에게 승리 시,Kemenangan kepada semua pasukan
1170,상세보기,Lihat butiran
1171,연습{경기,Amalan {Match.
1172,대전,Perlawanan
1173,멀티 시즌성적,Keputusan pelbagai musim
1174,새로운 시즌 시작,Musim baru bermula
1175,평균 선수 종합:,Jumlah Pemain AVG:
1176,이곳을 눌러{선수 이름 입력,Tekan di sini untuk {Nama Pemain masuk
1177,시즌,Musim
1178,영입정보,Maklumat Pengambilan
1179,검색,Seach.
1180,난이도,Kesukaran
1181,대표팀,Pasukan terkenal
1191,새로운 리그 시작,New League bermula
1192,<선수 등급 정보>,<Maklumat Kadar Player>
1193,토너먼트,Kejohanan
1194,우승,Juara
1195,승자조,Braket pemenang
1196,패자조,Braket Loser.
1197,시즌보상정보,Maklumat Ganjaran Musim
1198,격전보상정보,Maklumat Ganjaran Crush.
1199,재시도,Mencuba semula
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,"※ Jika anda tidak meneruskan ke kejohanan terakhir, anda tidak akan diberi ganjaran."
1201,랭크,Pangkat
1202,격전,Hancur
1203,팀정보,Maklumat pasukan
1204,다음경기,Perlawanan seterusnya
1205,팀 능력,Statistik pasukan
1206,선수 능력,Statistik pemain
1207,<시즌보상선수>,<Pemain Ganjaran Musim>
1208,추가경험치,Tambah Exp.
1209,경기 자동,Perlawanan Auto.
1210,아이템,Item
1211,사용중인 아이템,Item yang digunakan
1212,경기 아이템,Match Items.
1213,사용,Gunakan
1214,개수,Mengira
1215,자동,Auto.
1216,추가경험치,Addexp.
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ Ganjaran hanya boleh diterima pada musim 10 atau lebih.
1218,언어설정,Bahasa Seting.
