ID,Korean,Dec
1000,효과음,音效
1001,배경음,背景音效
1002,언어,语言
1003,만든이: 허민구{연락: huccce@gmail.com,作者：Heo Min‑gu {联系方式：huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,加载中 / {Google 登录}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{有多个数据，请选择要加载的文件。未选中的数据将被删除。
1006,팀이름,队名
1007,라운드,轮次
1008,정수,精华
1009,저장날짜,锁定日期
1010,결정,决定
1011,경기,比赛
1012,리그,英雄联盟
1013,전략,战术
1014,선수{관리,选手{管理
1015,영입{시장,招募{市场}
1016,멀티{대전,多重对局
1017,계정,账户
1018,순위,段位
1019,승,W
1020,패,输
1021,라인전,线路
1022,한타,团战
1023,운영,行动
1024,포지션,位置
1025,이름,名称
1026,종합,总计
1027,일정,赛程表
1028,상대팀,对方队伍
1029,총합,总计
1030,결과,结果
1031,승리,胜利
1032,패배,失败
1033,간편,简洁
1034,지침,指南
1035,밴픽,禁选
1036,설정,赛段
1037,설명,说明
1038,라인,线路
1039,타입,类型
1040,등급,评分
1041,강화,强化
1042,재조합,重组
1043,팀케미,化学团队
1044,선발 선수,首发选手
1045,후보 선수,替补选手
1046,레벨 포인트,段位积分
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),队伍 Chemie(▲2){年度 Chemie(▲1){类型 Chemie(▲1){联赛 Chemie(▲1)
1048,케미스트리,默契
1049,재조합 선수,重组选手
1050,제거,移除
1051,강화 선수,增援选手
1052,재료 선수,装备选手
1053,성공확률:,成功率：
1054,영입시장,招募市场
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,观看赞助广告即可获得奖励。
1056,5번 보시면 200정수를 추가로 드립니다.,如果你查看 5 次，就能额外获得 200 点精华。
1057,골드 영입,黄金招募
1058,실버 선수,银牌选手
1059,시청,观看
1060,플레,铂金
1061,골드,黄金
1062,선수명단,选手名单
1063,가격,价格
1064,추천,推荐
1065,구입,购买
1066,탑 랭킹,最高段位
1067,내 순위,我的段位
1068,새로고침시간,刷新时间
1069,대전정보,比赛信息
1070,대전찾기,匹配搜索
1071,선수,选手
1072,감독,经理
1073,로그인,登录
1074,확인,确认
1075,일일,天
1076,업적,成就
1077,기타,等等
1078,보상,奖励
1079,공지사항,通知
1080,계속,继续
1081,이곳을 눌러 입력,点击此处进入
1082,최종순위,最终排名
1083,시즌 보상:,赛季奖励：
1084,스킵,跳过
1085,예,是
1086,아니오,否
1087,터치 하면 게임 시작,点击开始游戏
1088,평점,段位
1089,경기진행,比赛进度
1090,버전확인,检查版本
1091,업데이트하러 가기,前往更新
1092,다시확인,再次检查
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,加载队伍信息失败。{请重试}
1094,이곳을 눌러 찾을 팀이름 입력,点此输入队伍名称进行查找
1095,밴플레이어,封禁玩家
1096,전달,中继赛
1097,전송,发送
1098,문의하기,联系我们
1099,버그/건의,Bug / 建议
1100,게임 종료,退出游戏
1101,초대링크,邀请链接
1102,모의경기,模拟赛
1103,전략복사,战略复制
1104,신고,举报
1105,<이벤트>,赛事
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,赞助商快闪活动！立即查看赞助广告，即可额外获得 +50% 奖励。
1107,영입시장으로 가기,前往招募市场
1108,<리뷰 이벤트>,复盘事件
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,感谢您游玩本局游戏。{{这对开发者是极大的帮助，您将获得 300 点精华作为奖励。}}
1110,리뷰하러 가기,前往回放
