ID,Korean,Dec
1000,효과음,サウンドエフェクト
1001,배경음,背景サウンド
1002,언어,言語
1003,만든이: 허민구{연락: huccce@gmail.com,作成者：Heo Min-Gu {連絡先：huccce@gmail.com
1004,불러오는 중 /{구글 로그인,ロード / {Googleサインイン
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,"<注意> {{複数のデータがあります。
ロードするデータを選択してください。
 {選択されていないデータが削除されます。"
1006,팀이름,チーム名
1007,라운드,ラウンド
1008,정수,エッセンス
1009,저장날짜,日付を節約します
1010,결정,決断
1011,경기,マッチ
1012,리그,リーグ
1013,전략,戦略
1014,선수{관리,Player {management
1015,영입{시장,採用{市場
1016,멀티{대전,Multi {Match
1017,계정,アカウント
1018,순위,ランク
1019,승,で
1020,패,l
1021,라인전,ライン
1022,한타,チームファイト
1023,운영,手術
1024,포지션,位置
1025,이름,名前
1026,종합,合計
1027,일정,カレンダー
1028,상대팀,反対チーム
1029,총합,合計
1030,결과,結果
1031,승리,勝利
1032,패배,敗北
1033,간편,単純
1034,지침,ガイドライン
1035,픽밴,禁止を選択します
1036,설정,セット
1037,설명,説明
1038,라인,ライン
1039,타입,タイプ
1040,등급,評価
1041,강화,強化
1042,재조합,組換え
1043,팀케미,チームケミー
1044,선발 선수,プレーヤーを開始
1045,후보 선수,サブプレーヤー
1046,레벨 포인트,レベルポイント
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie（▲2）{Year Chemie（▲1）{Type Chemie（▲1）{League Chemie（▲1）
1048,케미스트리,化学
1049,재조합 선수,組換えプレーヤー
1050,제거,取り除く
1051,강화 선수,補強団
1052,재료 선수,スタッフプレーヤー
1053,성공확률:,成功のチャンス：
1054,영입시장,採用市場
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,報酬を得るためにスポンサーの広告を見てください。
1056,5번 보시면 200정수를 추가로 드립니다.,5回見た場合}追加の200エッセンスを受け取ります。
1057,골드 영입,金の募集
1058,실버 선수,シルバープレーヤー
1059,시청,時計
1060,플레,白金
1061,골드,金
1062,선수명단,プレーヤーリスト
1063,가격,価格
1064,추천,推薦する
1065,구입,買う
1066,탑 랭킹,トップランク
1067,내 순위,私のランク
1068,새로고침시간,更新時間
1069,대전정보,情報を一致させます
1070,대전찾기,一致する検索
1071,선수,プレーヤー
1072,감독,マネージャー
1073,로그인,ログイン
1074,확인,確認する
1075,일일,日
1076,업적,成果
1077,기타,等
1078,보상,褒美
1079,공지사항,知らせ
1080,계속,続く
1081,이곳을 눌러 입력,こちらを押して入力します
1082,최종순위,最終ランク
1083,시즌 보상:,シーズン報酬：
1084,스킵,スキップ
1085,예,はい
1086,아니오,いいえ
1087,터치 하면 게임 시작,タッチしてゲームを開始します
1088,평점,学年
1089,경기진행,進行状況を一致させます
1090,버전확인,バージョンを確認してください
1091,업데이트하러 가기,更新に移動します
1092,다시확인,もう一度確認してください
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,チーム情報のロードに失敗しました。{再試行してください
1094,이곳을 눌러 찾을 팀이름 입력,ここをタップしてチーム名を入力して見つけます
1095,밴플레이어,プレーヤーを禁止します
1096,전달,リレー
1097,전송,送信
1098,문의하기,お問い合わせ
1099,버그/건의,バグ /提案
1100,게임 종료,ゲームを終了します
1101,초대링크,招待状リンク
1102,모의경기,シミュレーションマッチ
1103,전략복사,戦略的コピー
1104,신고,報告
1105,<이벤트>,<Event>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,"スポンサーのエクスプレスイベント！
 {{スポンサー付き広告を今すぐチェックして、追加の + 50％の報酬を得る。"
1107,영입시장으로 가기,採用市場に行きます
1108,<리뷰 이벤트>,<レビューイベント>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,"ゲームをプレイしてくれてありがとう。
 {これは開発者にとって大きな助けです。
あなたは報酬として300のエッセンスを受け取ります。"
1110,리뷰하러 가기,レビューに移動します
1111,답변을 받으실 메일을 적어주세요.,回答するためにメールを書いてください。
1112,(언어 변경 시 재시작 필요),（言語を変更するときに再起動が必要です）
1113,이벤트,イベント
1114,포인트,ポイント
1115,친구요청,友達リクエスト
1116,친구추가,友達を追加します
1117,친구 목록,友達リスト
1118,찾기,探す
1119,아니요,いいえ
1120,멀티대전정보,マルチマッチ情報
1121,친구 추가,友達を追加します
1122,라인전{운영,Line {操作
1123,밸런스,バランスが取れています
1124,커스텀,カスタム
1125,탑,トップ
1126,정글,ジャングル
1127,미드,ミッド
1128,원딜,広告
1129,서폿,サポート
1130,중심,中心
1131,갱킹,ガンキング
1132,메인오더,メインオーダー
1133,한정,限定
1134,레벨,lv
1135,팀,チーム
1136,당신의 팀이름을 정해주세요{(최대 5글자),チーム名を指定してください{（最大5文字）
1137,보낸이,から
1138,내용,コンテンツ
1139,첨부,添付ファイル
1140,쪽지 목록,メッセージリスト
1141,받는이:,に：
1142,첨부종류:,添付ファイルタイプ：
1143,상세:,詳細：
1144,전송 비용:,送信コスト：
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),（アイテム価格 +基本料金100 +添付のアイテム価格の5％）
1146,쪽지보내기,メッセージを送信します
1147,첼린저,チャレンジャー
1148,마스터,マスター
1149,다이아,ダイヤモンド
1150,플레티넘,白金
1151,골드,金
1152,실버,銀
1153,브론즈,ブロンズ
1154,<시즌 보상정보>,<シーズン報酬情報>
1155,시즌 보상정보,シーズン報酬情報
1156,등급상승 보상,クラスアップグレード報酬
1157,명예의 전당 헌액,殿堂の貢献
1158,시즌보상카드 증정,シーズン報酬カード
1159,다이아 패키지,ダイヤモンドパッケージ
1160,플레티넘 패키지,プラチナパッケージ
1161,골드 패키지,ゴールドパッケージ
1162,실버 패키지,シルバーパッケージ
1163,모든선수 패키지,すべてのプレーヤーパッケージ
1164,다이아 영입,ダイヤモンドの募集
1165,첼린저 영입,チャレンジャーの募集
1166,모든한정포함 첼린저 영입,全インクリュードが採用を制限します
1167,보낸날짜,送信日
1168,보상정보,報酬情報
1169,모든팀에게 승리 시,すべてのチームへの勝利
1170,상세보기,詳細を表示します
1171,연습{경기,練習{マッチ
1172,대전,マッチ
1173,멀티 시즌성적,マルチシーズンの結果
1174,새로운 시즌 시작,新しいシーズンが始まります
1175,평균 선수 종합:,AVGプレーヤー合計：
1176,이곳을 눌러{선수 이름 입력,こちらを押して{プレーヤー名Enterを押します
1177,시즌,季節
1178,영입정보,採用情報
1179,검색,見た
1180,난이도,困難
1181,대표팀,有名なチーム
1191,새로운 리그 시작,新しいリーグのスタート
1192,<선수 등급 정보>,<プレーヤーレート情報>
1193,토너먼트,トーナメント
1194,우승,チャンピオン
1195,승자조,勝者のブラケット
1196,패자조,敗者のブラケット
1197,시즌보상정보,シーズン報酬情報
1198,격전보상정보,報酬情報をクラッシュします
1199,재시도,リトライ
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,final最終トーナメントに進まないと、報われることはありません。
1201,랭크,ランク
1202,격전,打ち砕く
1203,팀정보,チーム情報
1204,다음경기,次の試合
1205,팀 능력,チームの統計
1206,선수 능력,プレイヤーの統計
1207,<시즌보상선수>,<シーズン報酬プレーヤー>
1208,추가경험치,Expを追加します
1209,경기 자동,オートマッチ
1210,아이템,アイテム
1211,사용중인 아이템,使用中のアイテム
1212,경기 아이템,一致アイテム
1213,사용,使用
1214,개수,カウント
1215,자동,自動
1216,추가경험치,addexp
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,rewards報酬は、シーズン10以上でのみ受け取ることができます。
1218,언어설정,言語設定
1219,리셋,リセット
1220,재시작,リブート
1221,코치,コーチ
1222,추가,追加
1223,후보,サブ
1224,새게임,新しいゲーム
1225,버그 제보,バグレポート
1226,코치명단,コーチリスト
1227,새로운 광고 준비 중... 기다려주세요,新しい広告の準備...待ってください
1228,확률정보,確率情報
1229,팀명 변경,チーム名の変更
1230,보상선수,報酬プレーヤー
1231,선수명단,プレーヤーリスト
