ID,Dec
11000,La tua squadra ha vinto la Lega con grande coaching! Prepariamoci a vincere il campionato del mondo.
11001,"Anche se non ha vinto, ha fatto un ottimo lavoro. La neve è fatta nel campione del mondo!"
11002,"Non era un campionato. Tuttavia, siamo riusciti ad avanzare al Campionato del Mondo!"
11003,Non era un campionato. Ma è una buona classifica per cercare di vincere la prossima stagione.
11004,"Il peggio è stato evitato, ma non era una buona classifica. Per una classifica più alta} Penso che abbia bisogno di manutenzione."
11005,Abbiamo concluso la stagione nella peggiore posizione. Per i fan che ci sostengono} andiamo oltre per la prossima stagione.
11006,La squadra ha vinto il campionato del mondo con grande coaching! I giocatori e i fan festeggiano il tuo grande comando. Congratulazioni.
11007,"Non ha vinto, ma ha fatto un ottimo lavoro. Proviamo a vincere il campionato del mondo la prossima stagione!"
11008,"Sfortunatamente, è un grande grado. Aumentiamo il nostro potere la prossima stagione e cerchiamo di vincere il prossimo campione del mondo."
11009,"Hai inserito con successo il torneo. La prossima stagione, andiamo per tornei più alti."
11010,"Sfortunatamente, il torneo fallì. Sfortunatamente, avanzando al campionato del mondo la prossima stagione e mirano per il campionato."
20000,Mostra / funzionamento della linea
20001,Bilancia
20002,Combattimento a squadre
20003,Costume
21000,È una strategia per rotolare palle di neve basata su battaglie di linea forti. {{-It è adatto quando hai una forte battaglia della linea. {- Puoi essere rivertito a un colpo quando hai un colpo debole.
21001,LINEUP} HANTA} Operazione Gioca al gioco in modo equilibrato. {{-Questo è adatto quando l'abilità dei giocatori è pari.
21002,È una strategia che mira a un colpo attraverso un singolo colpo. {{-It è adatto quando una squadra ha una forte capacità di un colpo. {
21003,Questa è la tua strategia.
22000,Il centro del gioco
22001,Il centro di un gancario
22002,Ordine principale
23000,Scegli la capacità di essere il centro del gioco. Le statistiche del team aumentano. Invece} il resto del potere cade.
23001,Il Jungler decide la linea per la gancellatura.
23002,Imposta una posizione che si concentra sulle operazioni. L'ordine principale aumenterà la proporzione dell'operazione di squadra.
24000,Bilancia
24001,Linea
24002,Combattimento a squadre
24003,Operazione
24004,Bilancia
24005,Superiore
24006,Medio
24007,Parte inferiore
24008,Superiore
24009,Giungla
24010,Medio
24011,ANNO DOMINI
24012,Supporto
25000,attacco
25001,Equilibrato
25002,Cisterna
25003,attacco
25004,Equilibrato
25005,Cisterna
25006,attacco
25007,Equilibrato
25008,Sostenitore
25009,attacco
25010,Equilibrato
25011,Utilità
25012,attacco
25013,Equilibrato
25014,Cisterna
26000,Premere fortemente l'avversario in linea. Prende anche il controllo dell'operazione attraverso la divisione. {{▲ Aumento delle statistiche operative aumentano. {{-Points acquisiti o persi sull'aumento della linea. {{▼ Hanta Stat Lowers.
26001,Serbatoio di base.
26002,L'influenza è ridotta in battaglie di linea. Tuttavia} è più forte a Hanta. {{▲ Abilità Hanta è aumentata. {{-Point acquisiti o persi alla linea sono abbassati. {{▼ Le statistiche operative sono abbassate.
26003,Il gancario diventa potente. Tuttavia} c'è un alto rischio di fallimento del gancio. {{▲ aumenta le statistiche di linea. {{{{{{{
26004,Serbatoio di base.
26005,L'abilità gancario è abbassata. Tuttavia} aumenta la capacità di colpire. {{▲ aumenta la capacità di colpire. {{▼ La capacità di formazione scende.
26006,Premere fortemente l'avversario in linea. Prende anche il controllo dell'operazione attraverso la divisione. {{▲ Aumento delle statistiche operative aumentano. {{-Points acquisiti o persi sull'aumento della linea. {{▼ Hanta Stat Lowers.
26007,Champ NUKER di base.
26008,L'obiettivo è migliorare la capacità dell'unica dil. {{▲ aumenta la statistica di un dil.
26009,I primi giorni sono potenti. Tuttavia} col passare del tempo a} diventa più debole. {{▲ line-up fino alle prime 20 minuti} Abilità HANTA aumenta. {{▼ Hanta La capacità diminuisce dalla seconda metà.
26010,Champ BASIC One-Deal.
26011,Concentrandosi sull'aiutare la squadra piuttosto che il ruolo di Carrie. {{▲ Le statistiche operative saliranno. {{▼ linee le statistiche scendono.
26012,La lotta della linea è potente. Tuttavia} è pericoloso operare con una bassa salute. {{▲ aumentano le statistiche di line-up. {{-Points acquisiti o persi dall'aumento dell'operazione.
26013,Champ Aspeporter di base.
26014,Debole in linea. Tuttavia} è forte in Hanta. {{▲ Hanta Stat è aumentato. {{▼ Le linee Stat è abbassato.
30000,Se non è possibile accedere a Google non è possibile riprodurre multiplayer. Effettua il login Google.
30001,C'era una fine anormale del gioco durante l'ultima partita multipla. Il gioco è stato rinunciato.
30002,Congratulazioni! Sei promosso al livello successivo!
30003,Sei stato demolito a causa della sconfitta costante.
30004,Registrarsi
30005,C'è un problema. Motivo del problema:
30006,La connessione Internet è stata persa. Quando hai una connessione Internet} verrai automaticamente ricollegato.
