ID,Dec
11000,Pasukan anda memenangi liga dengan jurulatih yang cemerlang! Mari bersedia untuk menjuarai Kejohanan Dunia.
11001,"Walaupun tidak menang, ia tetap melakukan kerja yang cemerlang. Mandi salji ini selesai di Peringkat Juara Dunia!"
11002,"Ia bukan kejuaraan, tetapi kami berjaya melayari laluan ke Kejohanan Dunia!"
11003,"Ia bukan kejuaraan, tetapi ia satu peringkat yang baik untuk cuba memenanginya pada musim akan datang."
11004,"Kes terburuk telah dielakkan, tetapi kedudukannya tidak memuaskan. Untuk mencapai kedudukan yang lebih tinggi, saya rasa ia memerlukan penyelenggaraan."
11005,"Kami mengakhiri musim dalam kedudukan terburuk. Untuk para peminat yang menyokong kami, mari kita melangkah lebih jauh pada musim depan."
11006,Pasukan memenangi Kejuaraan Dunia dengan jurulatih yang hebat! Pemain dan peminat meraikan kepimpinan anda yang luar biasa. Tahniah.
11007,"Ia tidak memenangi, tetapi melakukannya dengan cemerlang. Jom kita usahakan menjuarai Kejohanan Dunia pada musim depan!"
11008,"Sayangnya, ini peringkat yang tinggi. Mari kita tingkatkan kuasa kita pada musim depan dan berusaha memenangi Kejuaraan Dunia seterusnya."
11009,"Anda telah berjaya memasuki turnamen. Musim depan, mari kita menuju ke turnamen yang lebih tinggi."
11010,"Malangnya, kejohanan itu gagal. Namun, mari kita melangkah ke Kejohanan Dunia musim depan dan menargetkan gelaran juara."
20000,Pameran Garisan / Operasi
20001,Keseimbangan
20002,Pertarungan Pasukan
20003,Kustom
21000,Ia merupakan strategi untuk menggulung bola salji berdasarkan pertarungan lan yang kuat. {{- Sesuai apabila anda mempunyai pertarungan lan yang kukuh. {- Anda boleh dibalik menjadi satu tembakan bila anda mengalami serangan lemah.
21001,Susunan} Pertarungan Pasukan} Operasi Mainkan permainan secara seimbang. {{-Ini sesuai apabila kebolehan pemain seimbang.
21002,Strategi ini bertujuan untuk mendapatkan kill dengan satu tembakan sahaja. Sesuai bila pasukan mempunyai keupayaan one‑shot yang kuat.
21003,Ini strategi anda.
22000,Pusat permainan
22001,Pusat gank
22002,Perintah Utama
23000,"Pilih kebolehan untuk menjadi tumpuan utama dalam perlawanan. Statistik pasukan akan meningkat. Sebaliknya, kuasa yang selebihnya akan berkurang."
23001,Jungler menentukan lane untuk gank.
23002,Tetapkan kedudukan yang memfokuskan pada operasi. Perintah utama akan meningkatkan peratusan operasi pasukan.
