ID,Korean,Dec
1000,효과음,効果音
1001,배경음,背景音
1002,언어,言語
1003,만든이: 허민구{연락: huccce@gmail.com,作成者：Heo Min‑gu　{連絡先：huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,ロード中 / {Google サインイン}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{複数のデータがあります。ロードするデータを選択してください。（未選択のデータは削除されます。）}}
1006,팀이름,チーム名
1007,라운드,ラウンド
1008,정수,エッセンス
1009,저장날짜,開催日を保存
1010,결정,決定
1011,경기,試合
1012,리그,リーグ
1013,전략,戦略
1014,선수{관리,プレイヤー管理
1015,영입{시장,募集{マーケット}
1016,멀티{대전,マルチマッチ
1017,계정,アカウント
1018,순위,ランク
1019,승,W
1020,패,L
1021,라인전,ライン
1022,한타,チームファイト
1023,운영,作戦
1024,포지션,ポジション
1025,이름,名前
1026,종합,合計
1027,일정,カレンダー
1028,상대팀,相手チーム
1029,총합,合計
1030,결과,結果
1031,승리,勝利
1032,패배,敗北
1033,간편,シンプル
1034,지침,ガイドライン
1035,픽밴,ピック/バン
1036,설정,セット
1037,설명,解説
1038,라인,ライン
1039,타입,タイプ
1040,등급,レーティング
1041,강화,強化
1042,재조합,リコンビネーション
1043,팀케미,チーム・ケミー
1044,선발 선수,スターティングメンバー
1045,후보 선수,サブプレイヤー
1046,레벨 포인트,レベルポイント
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),チーム Chemie(▲2){Year Chemie(▲1){Type Chemie(▲1){League Chemie(▲1)
1048,케미스트리,ケミストリー
1049,재조합 선수,リコンビナントプレイヤー
1050,제거,削除
1051,강화 선수,リインフォースプレイヤー
1052,재료 선수,装備プレイヤー
1053,성공확률:,成功率：
1054,영입시장,採用市場
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,スポンサー広告を視聴して報酬をゲットしよう。
1056,5번 보시면 200정수를 추가로 드립니다.,5回見ると、さらに200エッセンスが獲得できます。
1057,골드 영입,ゴールド募集
1058,실버 선수,シルバープレイヤー
1059,시청,観戦
1060,플레,プラチナ
1061,골드,ゴールド
1062,선수명단,プレイヤーリスト
1063,가격,価格
1064,추천,おすすめ
1065,구입,購入
1066,탑 랭킹,トップランク
1067,내 순위,自分のランク
1068,새로고침시간,リフレッシュ時間
1069,대전정보,対戦情報
1070,대전찾기,マッチ検索
1071,선수,プレイヤー
1072,감독,マネージャー
1073,로그인,ログイン
1074,확인,確認
1075,일일,日
1076,업적,実績
1077,기타,等
1078,보상,報酬
1079,공지사항,お知らせ
1080,계속,続行
1081,이곳을 눌러 입력,ここをクリックしてエントリー
1082,최종순위,最終順位
1083,시즌 보상:,シーズン報酬：
1084,스킵,スキップ
1085,예,はい
1086,아니오,いいえ
1087,터치 하면 게임 시작,タップしてゲーム開始​
1088,평점,ランク
1089,경기진행,試合経過
1090,버전확인,バージョン確認
1091,업데이트하러 가기,アップデートへ
1092,다시확인,再確認
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,チーム情報の読み込みに失敗しました。{再試行}
1094,이곳을 눌러 찾을 팀이름 입력,ここをタップしてチーム名を入力し、検索
1095,밴플레이어,プレイヤーをBAN
1096,전달,リレー
1097,전송,送信
1098,문의하기,お問い合わせ
1099,버그/건의,バグ／提案
1100,게임 종료,ゲーム終了
1101,초대링크,招待リンク
1102,모의경기,シミュレーションマッチ
1103,전략복사,戦略的コピー
1104,신고,通報
1105,<이벤트>,イベント
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,スポンサー特別イベント！今すぐスポンサー広告をチェックして、追加で＋50%の報酬を獲得しよう！
1107,영입시장으로 가기,リクルートマーケットへ
1108,<리뷰 이벤트>,イベントレビュー
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,ゲームをプレイしてくれてありがとう。{{開発チームへの大きな支援になります。報酬として300エッセンスが付与されます。}}
1110,리뷰하러 가기,レビューへ
1111,답변을 받으실 메일을 적어주세요.,返答メールを作成してください。
1112,(언어 변경 시 재시작 필요),（言語を変更する際は再起動が必要です）
1113,이벤트,イベント
1114,포인트,ポイント
1115,친구요청,フレンド申請
1116,친구추가,フレンド追加
1117,친구 목록,フレンドリスト
1118,찾기,検索
1119,아니요,いいえ
1120,멀티대전정보,マルチマッチ情報
1121,친구 추가,フレンド追加
1122,라인전{운영,ライン{オペレーション
1123,밸런스,バランスの取れた
1124,커스텀,カスタム
1125,탑,トップレーン
1126,정글,ジャングル
1127,미드,ミッド
1128,원딜,AD
1129,서폿,サポート
1130,중심,センター
1131,갱킹,ギャンク
1132,메인오더,メインオーダー
1133,한정,限定
1134,레벨,レベル
1135,팀,チーム
1136,당신의 팀이름을 정해주세요{(최대 5글자),チーム名をご指定ください（5文字以内）。
1137,보낸이,から
1138,내용,コンテンツ
1139,첨부,添付
1140,쪽지 목록,メッセージリスト
1141,받는이:,宛先：
1142,첨부종류:,アタッチメントタイプ：
1143,상세:,詳細：
1144,전송 비용:,送信コスト:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),（アイテム価格＋基本料金100＋付随アイテム価格の5％）
1146,쪽지보내기,メッセージを送信
1147,첼린저,チャレンジャー
1148,마스터,マスター
1149,다이아,ダイヤモンド
1150,플레티넘,プラチナ
1151,골드,ゴールド
1152,실버,シルバー
1153,브론즈,ブロンズ
1154,<시즌 보상정보>,シーズン報酬情報
1155,시즌 보상정보,シーズン報酬情報
1156,등급상승 보상,クラスアップグレード報酬
1157,명예의 전당 헌액,殿堂への貢献
1158,시즌보상카드 증정,シーズン報酬カード
1159,다이아 패키지,ダイヤモンドパッケージ
1160,플레티넘 패키지,プラチナパッケージ
1161,골드 패키지,ゴールドパッケージ
1162,실버 패키지,シルバーパッケージ
1163,모든선수 패키지,全プレイヤーパッケージ
1164,다이아 영입,ダイヤモンド募集
1165,첼린저 영입,チャレンジャー募集
1166,모든한정포함 첼린저 영입,全員対象限定募集
1167,보낸날짜,送信日時
1168,보상정보,報酬情報
1169,모든팀에게 승리 시,全チームに勝利を！
1170,상세보기,詳細を見る
1171,연습{경기,練習マッチ
1172,대전,マッチ
1173,멀티 시즌성적,マルチシーズン結果
1174,새로운 시즌 시작,新シーズン開始
1175,평균 선수 종합:,平均プレイヤー総計：
1176,이곳을 눌러{선수 이름 입력,ここをクリックして{Player name}が参戦
1177,시즌,シーズン
1178,영입정보,募集情報
1179,검색,検索
1180,난이도,難易度
1181,대표팀,有名チーム
1191,새로운 리그 시작,新リーグ開始！
1192,<선수 등급 정보>,プレイヤーレート情報
1193,토너먼트,トーナメント
1194,우승,チャンピオン
1195,승자조,ウィナーズブラケット
1196,패자조,敗者ブラケット
1197,시즌보상정보,シーズン報酬情報
1198,격전보상정보,クラッシュ報酬情報
1199,재시도,リトライ
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,※決勝トーナメントに進出できなければ、報酬は支給されません。
1201,랭크,ランク
1202,격전,クラッシュ
1203,팀정보,チーム情報
1204,다음경기,次の試合
1205,팀 능력,チーム統計
1206,선수 능력,プレイヤー統計
1207,<시즌보상선수>,シーズンリワードプレイヤー
1208,추가경험치,経験値を追加
1209,경기 자동,オートマッチ
1210,아이템,アイテム
1211,사용중인 아이템,使用中アイテム
1212,경기 아이템,マッチアイテム
1213,사용,使用
1214,개수,カウント
1215,자동,オート
1216,추가경험치,経験値を追加
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※報酬はシーズン10以降のみ受け取れます。
1218,언어설정,言語設定
1219,리셋,リセット
1220,재시작,リブート
1221,코치,コーチ
1222,추가,追加
1223,후보,サブ
1224,새게임,新規ゲーム
1225,버그 제보,バグ報告
1226,코치명단,コーチリスト
1227,새로운 광고 준비 중... 기다려주세요,新しい広告を準備中です…しばらくお待ちください。
1228,확률정보,確率情報
1229,팀명 변경,チーム名変更
1230,보상선수,プレイヤーに報酬
1231,선수명단,プレイヤーリスト
1232,시간정보 재송신,時間情報をリロード
