ID,Korean,Dec
1000.0,효과음,Kesan bunyi
1001.0,배경음,Bunyi latar belakang
1002.0,언어,Bahasa.
1003.0,만든이: 허민구{연락: huccce@gmail.com,Dicipta oleh: Heo Min-gu {Hubungi: huCcce@gmail.com
1004.0,불러오는 중 /{구글 로그인,Memuat / {Masuk Google masuk
1005.0,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Perhatian> {{Terdapat lebih daripada satu data. Sila pilih data untuk memuatkan. {Data yang tidak dipilih akan dipadamkan.
1006.0,팀이름,Nama kumpulan
1007.0,라운드,Pusingan
1008.0,정수,Intipati
1009.0,저장날짜,Simpan tarikh
1010.0,결정,Keputusan
1011.0,경기,Perlawanan
1012.0,리그,Liga
1013.0,전략,Strategi
1014.0,선수{관리,Pemain {pengurusan
1015.0,영입{시장,Pengambilan {pasar.
1016.0,멀티{대전,Multi {match.
1017.0,계정,Akaun
1018.0,순위,Pangkat
1019.0,승,W.
1020.0,패,L.
1021.0,라인전,Baris
1022.0,한타,TeamFight.
1023.0,운영,Operasi
1024.0,포지션,Kedudukannya
1025.0,이름,Nama
1026.0,종합,Jumlahnya
1027.0,일정,Kalendar
1028.0,상대팀,Pasukan lawan
1029.0,총합,Jumlahnya
1030.0,결과,Hasilnya
1031.0,승리,Kemenangan
1032.0,패배,Mengalahkan
1033.0,간편,Mudah
1034.0,지침,Garis panduan
1035.0,픽밴,Pilih Ban
1036.0,설정,Ditetapkan
1037.0,설명,Penjelasan
1038.0,라인,Baris
1039.0,타입,Type.
1040.0,등급,Penarafan
1041.0,강화,Mengukuhkan
1042.0,재조합,Rekombinasi
1043.0,팀케미,Pasukan Chemie.
1044.0,선발 선수,Memulakan pemain
1045.0,후보 선수,Sub pemain
1046.0,레벨 포인트,Tahap tahap
1047.0,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Pasukan Chemie (▲ 2) {Tahun Chemie (▲ 1) {Type Chemie (▲ 1) {League Chemie (▲ 1)
1048.0,케미스트리,Kimia.
1049.0,재조합 선수,Pemain rekombinan
1050.0,제거,Keluarkan
1051.0,강화 선수,Pemain Penguatkuasaan
1052.0,재료 선수,Pemain barangan
1053.0,성공확률:,Peluang kejayaan:
1054.0,영입시장,Pasaran perekrutan
1055.0,스폰서 광고를 보고 원하는 보상을 받으세요.,Menonton iklan yang ditaja untuk mendapatkan ganjaran.
1056.0,5번 보시면 200정수를 추가로 드립니다.,Sekiranya anda melihat 5 kali} anda akan menerima tambahan 200.
1057.0,골드 영입,Recruitment Emas.
1058.0,실버 선수,Pemain perak
1059.0,시청,Menonton
1060.0,플레,Platinum.
1061.0,골드,Emas
1062.0,선수명단,Senarai pemain
1063.0,가격,Harga
1064.0,추천,Mengesyorkan
1065.0,구입,Beli
1066.0,탑 랭킹,Pangkat teratas.
1067.0,내 순위,Pangkat saya.
1068.0,새로고침시간,Menyegarkan masa
1069.0,대전정보,Maklumat sepadan
1070.0,대전찾기,Carian sepadan.
1071.0,선수,Pemain
1072.0,감독,Pengurus
1073.0,로그인,Log masuk
1074.0,확인,Sahkan
1075.0,일일,Hari
1076.0,업적,Pencapaian
1077.0,기타,Dan lain-lain
1078.0,보상,Ganjaran
1079.0,공지사항,Notis
1080.0,계속,Teruskan
1081.0,이곳을 눌러 입력,Tekan di sini untuk masuk
1082.0,최종순위,Kedudukan terakhir.
1083.0,시즌 보상:,Ganjaran Musim:
1084.0,스킵,Langkau
1085.0,예,Ya
1086.0,아니오,Tidak
1087.0,터치 하면 게임 시작,Sentuh untuk memulakan permainan
1088.0,평점,Gred
1089.0,경기진행,Perlawanan perlawanan
1090.0,버전확인,Semak versi
1091.0,업데이트하러 가기,Pergi ke kemas kini
1092.0,다시확인,Semak lagi
1093.0,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Gagal memuat maklumat pasukan. {Cuba lagi
1094.0,이곳을 눌러 찾을 팀이름 입력,Ketik di sini untuk memasukkan nama pasukan untuk mencari
1095.0,밴플레이어,Pemain larangan
1096.0,전달,Relay
1097.0,전송,Hantar
1098.0,문의하기,Hubungi Kami
1099.0,버그/건의,Bug / cadangan
1100.0,게임 종료,Keluar permainan
1101.0,초대링크,Pautan jemputan
1102.0,모의경기,Perlawanan simulasi
1103.0,전략복사,Salinan strategik
1104.0,신고,Melaporkan
1105.0,<이벤트>,<Acara>
