ID,Korean,Dec
1000,효과음,Ses efekti
1001,배경음,Arka Plan Sesi
1002,언어,Dil
1003,만든이: 허민구{연락: huccce@gmail.com,Oluşturan: Heo Min‑gu {İletişim: huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,Yükleniyor / {Google Oturumu Aç}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,Dikkat{{Birden fazla veri var. Lütfen yüklemek istediğiniz veriyi seçin. {Seçilmeyen veriler silinecek.
1006,팀이름,Takım adı
1007,라운드,Raund
1008,정수,Öz
1009,저장날짜,Tarihi Kaydet
1010,결정,Karar
1011,경기,Maç
1012,리그,Lig
1013,전략,Strateji
1014,선수{관리,Oyuncu{Yönetim
1015,영입{시장,Kadro Pazarı
1016,멀티{대전,Çoklu Maç
1017,계정,Hesap
1018,순위,Rütbe
1019,승,W
1020,패,L
1021,라인전,Koridor
1022,한타,Takım Savaşı
1023,운영,Operasyon
1024,포지션,Pozisyon
1025,이름,İsim
1026,종합,Toplam
1027,일정,Takvim
1028,상대팀,Rakip Takım
1029,총합,Toplam
1030,결과,Sonuç
1031,승리,Zafer
1032,패배,Mağlubiyet
1033,간편,Basit
1034,지침,Kılavuz
1035,픽밴,Pick/Ban
1036,설정,Set
1037,설명,Açıklama
1038,라인,Hat
1039,타입,Tür
1040,등급,Puan
1041,강화,Güçlendir
1042,재조합,Rekombinasyon
1043,팀케미,Team Kimya
1044,선발 선수,Başlangıç Oyuncusu
1045,후보 선수,Yedek Oyuncu
1046,레벨 포인트,Seviye Puanı
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Takım Chemie(▲2){Yıl Chemie(▲1){Tür Chemie(▲1){Lig Chemie(▲1)
1048,케미스트리,Kimya
1049,재조합 선수,Rekombinant Oyuncu
1050,제거,Kaldır
1051,강화 선수,Takviye Oyuncusu
1052,재료 선수,Ekipman Oyuncusu
1053,성공확률:,Başarı Şansı:
1054,영입시장,Kadro Pazarı
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Ödül kazanmak için sponsorlu reklamları izle.
1056,5번 보시면 200정수를 추가로 드립니다.,5 kez baktığında ek olarak 200 Öz kazanacaksın.
1057,골드 영입,Altın İşe Alım
1058,실버 선수,Gümüş oyuncu
1059,시청,İzle
1060,플레,Platin
1061,골드,Altın
1062,선수명단,Oyuncu Listesi
1063,가격,Fiyat
1064,추천,Öner
1065,구입,Satın Al
1066,탑 랭킹,En yüksek rütbe
1067,내 순위,Rütbem
1068,새로고침시간,Yenileme Süresi
1069,대전정보,Maç Bilgileri
1070,대전찾기,Maç Ara
1071,선수,Oyuncu
1072,감독,Menajer
1073,로그인,Giriş
1074,확인,Onayla
1075,일일,Gün
1076,업적,Başarılar
1077,기타,vb.
1078,보상,Ödül
1079,공지사항,Duyuru
1080,계속,Devam Et
1081,이곳을 눌러 입력,Girmek için buraya tıkla
1082,최종순위,Final rütbe
1083,시즌 보상:,Sezon Ödülü:
1084,스킵,Atla
1085,예,Evet
1086,아니오,Hayır
1087,터치 하면 게임 시작,Oyunu başlatmak için dokun.
1088,평점,Derece
1089,경기진행,Maç İlerlemesi
1090,버전확인,Sürümü Kontrol Et
1091,업데이트하러 가기,Güncellemeye git
1092,다시확인,Yeniden kontrol et
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Takım bilgileri yüklenemedi. {Tekrar deneyin}
1094,이곳을 눌러 찾을 팀이름 입력,Takım adını girip bulmak için buraya tıkla.
1095,밴플레이어,Oyuncuyu Yasakla
1096,전달,Röle
1097,전송,Gönder
1098,문의하기,Bize Ulaşın
1099,버그/건의,Hata / Öneriler
1100,게임 종료,Oyundan Çık
1101,초대링크,Davet Bağlantısı
1102,모의경기,Simülasyon Maçı
1103,전략복사,Stratejik Kopya
1104,신고,Raporla
1105,<이벤트>,<Etkinlik>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Sponsorun Hızlı Etkinliği! {{Şimdi Sponsorlu Reklamları inceleyerek ekstra %50 ödül kazan!}}
1107,영입시장으로 가기,İşe alım pazarına git
1108,<리뷰 이벤트>,İnceleme Etkinliği
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,"Oyunu oynadığınız için teşekkürler. {{Bu, geliştiriciler için büyük bir destek. Ödül olarak 300 Öz alacaksınız.}}"
1110,리뷰하러 가기,İncelemeye Git
1111,답변을 받으실 메일을 적어주세요.,Lütfen yanıtlamak için bir e-posta yazın.
1112,(언어 변경 시 재시작 필요),(Dil değiştirildiğinde yeniden başlatma gerekir)
1113,이벤트,Etkinlik
1114,포인트,Puan
1115,친구요청,Arkadaşlık isteği
1116,친구추가,Arkadaş Ekle
1117,친구 목록,Arkadaş Listesi
1118,찾기,Bul
1119,아니요,Hayır
1120,멀티대전정보,Çoklu Maç Bilgisi
1121,친구 추가,Arkadaş Ekle
1122,라인전{운영,Satır{İşlem}
1123,밸런스,Dengeli
1124,커스텀,Özel
1125,탑,Üst
1126,정글,Orman
1127,미드,Orta Koridor
1128,원딜,AD
1129,서폿,Destek
1130,중심,Merkez
1131,갱킹,Gankleme
1132,메인오더,Ana Sipariş
1133,한정,Sınırlı
1134,레벨,SEVİYE
1135,팀,Takım
1136,당신의 팀이름을 정해주세요{(최대 5글자),Lütfen takım isminizi girin (en fazla 5 karakter)
1137,보낸이,Kaynak
1138,내용,İçindekiler
1139,첨부,Ek
1140,쪽지 목록,Mesaj Listesi
1141,받는이:,Kime:
1142,첨부종류:,Ek Türü:
1143,상세:,Detay:
1144,전송 비용:,İletim maliyeti:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Eşya fiyatı + temel ücret 100 + ekli eşyanın fiyatının %5'i)
1146,쪽지보내기,Mesaj gönder
1147,첼린저,Challenger
1148,마스터,Usta
1149,다이아,Elmas
1150,플레티넘,Platin
1151,골드,Altın
1152,실버,Gümüş
1153,브론즈,Bronz
1154,<시즌 보상정보>,Sezon Ödül Bilgileri
1155,시즌 보상정보,Sezon Ödül Bilgileri
1156,등급상승 보상,Sınıf Yükseltme Ödülü
1157,명예의 전당 헌액,Şöhretler Salonu Katkısı
1158,시즌보상카드 증정,Sezon Ödül Kartı
1159,다이아 패키지,Elmas Paketi
1160,플레티넘 패키지,Platin Paketi
1161,골드 패키지,Alt Paketi
1162,실버 패키지,Gümüş Paketi
1163,모든선수 패키지,Tüm Oyuncu Paketi
1164,다이아 영입,Elmas Seçmeleri
1165,첼린저 영입,Challenger Adaylığı
1166,모든한정포함 첼린저 영입,Tam Kapsamlı Sınırlandırmalı İşe Alım
1167,보낸날짜,Gönderim Tarihi
1168,보상정보,Ödül Bilgileri
1169,모든팀에게 승리 시,Tüm takımlara zafer!
1170,상세보기,Detayları Gör
1171,연습{경기,Antrenman Maçı
1172,대전,Maç
1173,멀티 시즌성적,Çoklu Sezon Sonuçları
1174,새로운 시즌 시작,Yeni Sezon Başlangıcı
1175,평균 선수 종합:,Ortalama Oyuncu Toplamı:
1176,이곳을 눌러{선수 이름 입력,"Buraya tıkla, {Player name} katılsın"
1177,시즌,Sezon
1178,영입정보,Kadro Bilgileri
1179,검색,Ara
1180,난이도,Zorluk
1181,대표팀,Ünlü Takım
1191,새로운 리그 시작,Yeni Lig Başlat
1192,<선수 등급 정보>,Oyuncu Oran Bilgisi
1193,토너먼트,Turnuva
1194,우승,Şampiyon
1195,승자조,Kazananlar Çekişmesi
1196,패자조,Kaybedenler Bölümü
1197,시즌보상정보,Sezon Ödül Bilgileri
1198,격전보상정보,Ezme Ödül Bilgileri
1199,재시도,Tekrar Dene
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,※ Eğer son turnuvaya ilerlemezseniz ödül almazsınız.
1201,랭크,Rütbe
1202,격전,Ezmek
1203,팀정보,Takım Bilgileri
1204,다음경기,Sonraki Maç
1205,팀 능력,Takım İstatistikleri
1206,선수 능력,Oyuncu İstatistikleri
1207,<시즌보상선수>,Sezon Ödül Oyuncusu
1208,추가경험치,Exp Ekle
1209,경기 자동,Otomatik Eşleşme
1210,아이템,Eşya
1211,사용중인 아이템,Kullanılan Eşyalar
1212,경기 아이템,Maç Eşyaları
1213,사용,Kullan
1214,개수,Kont
1215,자동,Otomatik
1216,추가경험치,EXP Ekle
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ Ödüller sadece sezon 10 ve sonrasındaki oyunculara verilir.
1218,언어설정,Dil Ayarı
1219,리셋,Sıfırla
1220,재시작,Yeniden Başlat
1221,코치,Koç
1222,추가,Ekle
1223,후보,Yedek
1224,새게임,Yeni Oyun
1225,버그 제보,Hata Raporu
1226,코치명단,Koç Listesi
1227,새로운 광고 준비 중... 기다려주세요,Yeni reklam hazırlanıyor... Lütfen bekleyin.
1228,확률정보,Olasılık Bilgisi
1229,팀명 변경,Takım İsmi Değişikliği
1230,보상선수,Oyuncuyu Ödüllendir
1231,선수명단,Oyuncu Listesi
1232,시간정보 재송신,Zaman bilgisi yenilendi
