ID,Name,Dec
1000,दैनिक लॉगिन रिवॉर्ड,आज लॉग‑इन इनाम
1001,3 दैनिक इनाम,आज के 3 मैच रिवॉर्ड्स
1002,सपोर्ट,आप डेवलपर को Twonation के ज़रिए स्पॉन्सर कर सकते हैं।
1003,रिव्यू,"कृपया समीक्षा करें, फिर हम आपको पुरस्कार देंगे।"
1004,ट्यूटोरियल पूरा हो गया,ट्यूटोरियल पूरा करें
1005,सिल्वर रैंक उपलब्धि,Multiplay सिल्वर रैंक हासिल करें
1006,गोल्ड रैंक उपलब्धि,Multiplay गोल्ड रैंक हासिल करो
1007,प्लेटिनम रैंक उपलब्धि,Multiplay प्लेटिनम रैंक प्राप्त करें
1008,डायमंड रैंक उपलब्धि,मल्टीप्ले डायमंड रैंक हासिल करें
1009,मास्टर रैंक उपलब्धि,Multiplay मास्टर रैंक हासिल करें
1010,चैलेंज़र उपलब्धि,Multiplay Challenger रैंक प्राप्त करें
1011,लीग चैंपियन,लीग में पहला स्थान हासिल किया।
1012,सिल्वर मेडल,लीग में दूसरा स्थान प्राप्त किया।
1013,कांस्य पदक,लीग में तीसरा स्थान हासिल किया
1014,3 चैंपियन,तीन लीग टाइटल हासिल करें
1015,3 सिल्वर मेडल,तीन लीगों में द्वितीय स्थान प्राप्त किया।
1016,3 कांस्य पदक,तीन लीगों में तृतीय स्थान हासिल किया।
1017,5 चैम्पियन,पाँच लीग खिताब हासिल करें
1018,5 सिल्वर मेडल,पाँच लीगों में द्वितीय स्थान प्राप्त करें।
1019,5 कांस्य पदक,पाँच लीगों में तृतीय स्थान हासिल करें
1020,पहला सीजन,पहले सीज़न की समाप्ति तिथि
1021,तीसरा सीजन,तीसरा सीज़न डेडलाइन
1022,पाँचवाँ सीज़न,पांचवीं सीज़न की डेडलाइन
1023,दसवाँ सीज़न,10वाँ सीज़न डेडलाइन
1024,6 दैनिक इनाम,आज के 6 मैच रिवॉर्ड्स
1025,सिल्वर रैंक की उपलब्धि,मल्टीप्ले सिल्वर रैंक हासिल करें
1026,गोल्ड रैंक उपलब्धि,मल्टीप्ले में गोल्ड रैंक हासिल करो।
1027,प्लैटिनम रैंक उपलब्धि,Multiplay प्लेटिनम रैंक हासिल करें
1028,डायमंड रैंक उपलब्धि,मल्टीप्ले डायमंड रैंक हासिल करें
1029,मास्टर रैंक उपलब्धि,Multiplay मास्टर रैंक हासिल करो!
1030,चैलेंजर उपलब्धि,मल्टीप्ले चैलेंजर रैंक हासिल करें
1031,दैनिक मैच सीमा,प्रति दिन उन मैचों की संख्या जहाँ आप एसेन्स प्राप्त कर सकते हैं।
