ID,Dec
10000,Chào! Rất vui được gặp bạn.
10001,"Với sự hỗ trợ của người quản lý, anh đã thành lập một đội mới trong LOL League."
10002,Vui lòng đặt tên đội của bạn trước.
10003,Cùng nhau đưa AAA Team ghi danh vào lịch sử!
10004,Đây là trận đấu đầu tiên của giải.
10005,Ở đây bạn có thể xem thông tin đội của chúng ta và các đội khác trước khi trận đấu bắt đầu.
10006,Đội hiện tại đã có một tuyển thủ đăng ký.
10007,Nhưng bạn cần rất nhiều người chơi để giành chiến thắng.
10008,Hãy tìm một tuyển thủ mới trước khi vào trận!
10009,Chạm vào thị trường tuyển dụng
10010,Bạn có thể tuyển mộ các tuyển thủ mới bằng tinh chất mà bạn đang sở hữu trong thị trường tuyển quân.
10011,Cùng tuyển một người chơi mới bằng tinh hoa hiện có của chúng ta.
10012,Nhấn nút tuyển dụng X1.
10013,Chúng ta có một tuyển thủ mới.
10014,Đội vẫn chưa đủ sức cạnh tranh. Hãy tuyển một tuyển thủ xuất sắc hơn để nâng cao tính cạnh tranh của chúng ta.
10015,"Không đủ Tinh Xanh để tuyển một tay chơi chất lượng. Trong trường hợp này, bạn có thể nhận được một số nguyên thông qua tài trợ."
10016,Xem toàn bộ quảng cáo video của các nhà tài trợ để nhận phần thưởng.
10017,"Ban đầu, Quảng cáo tài trợ đã được chuẩn bị đặc biệt để nhận phần thưởng tăng thêm 50 %."
10018,Nhấn Quảng cáo tài trợ
10019,"Đối tác đã gửi cho chúng ta một số nguyên. Bây giờ, hãy tạo một cầu thủ mới bằng số nguyên này."
10020,Nhấn nút “Tuyển Dụng X5”.
10021,Chúng ta có một tuyển thủ mới.
10022,Bây giờ chúng ta sẽ thử một tuyển thủ mới.
10023,Nhấn nút “Quản lý Người chơi”.
10024,"Trong phần Quản Lý Người Chơi, bạn có thể chọn một tuyển thủ tiềm năng."
10025,Nhấn nút **Swap** để thử ứng cử viên.
10026,"Nhấn “Thay thế” sẽ đưa người chơi đã chọn vào vị trí cầu thủ xuất phát, còn người hiện có sẽ bị chuyển sang danh sách đề cử."
10027,"Ngoài ra, tùy theo bố cục của đội hình xuất phát, bạn có thể thu được các hiệu ứng phụ thêm."
10028,Nhấn nút
10029,Bạn có thể tìm thông tin về Tim Chemie ở đây.
10030,"Bạn có thể làm đội mạnh hơn bằng cách ghép các synergy khác nhau, chẳng hạn như kiểu dáng và đội hình."
10031,Nhấn X để thoát.
10032,"Bây giờ, hãy thay người không cần thiết bằng một tuyển thủ khác."
10033,Thử kích hoạt tái hợp đi.
10034,Ở đây bạn có thể thay thế bốn tuyển thủ bằng những người chơi mới.
10035,Tạm thời mình đã đưa 4 tuyển thủ. Cùng tái hợp các tuyển thủ này nào.
10036,Nhấn nút **Thêm**.
10037,Nhấn nút **Thêm**.
10038,Nhấn nút **Thêm**.
10039,Nhấn nút **Thêm**.
10040,Đưa cả ba người chơi vào. Bây giờ chúng ta sẽ chuyển sang người chơi mới.
10041,Bạn có thể xem thông tin khả năng của người chơi trong mục tuyển mộ.
10042,Bây giờ hãy lấy người chơi.
10043,Hãy thử bấm vào tái hợp.
10044,"Bằng cách này, bạn có thể thay thế các tuyển thủ hiện tại bằng những tuyển thủ mới."
10045,Bây giờ chúng ta sẽ ra sân cùng những tuyển thủ này.
10046,Nhấn nút “Match”.
10047,Nhấn nút tiến độ trò chơi.
10048,Ván đấu đã bắt đầu.
10049,Hãy tin tưởng vào các tuyển thủ và cùng nhau theo dõi trận đấu.
10050,"Khi trận đấu kết thúc, bạn sẽ nhận được kinh nghiệm và điểm ảnh hưởng."
10051,Không thể nhận Tinh hoa nếu đã vượt quá giới hạn số trận hôm nay.
10052,Nhấn nút **Tiếp tục** để rời khỏi sân vận động.
10053,Ván đấu đầu tiên đã kết thúc.
10054,"Các tuyển thủ là yếu tố then chốt để giành chiến thắng, nhưng chiến thuật của huấn luyện viên cũng không kém phần quan trọng."
10055,Nhấn nút Chiến lược.
10056,Cài đặt nhanh giúp việc xây dựng các chiến thuật chủ chốt trở nên đơn giản.
10057,Cân bằng giờ là chiến thuật nền tảng.
10058,Hãy thay đổi cài đặt nào.
10059,Nhấn vào Đường / Quản lý.
10060,Chiến thuật đấu đường / vận hành là một chiến lược kết thúc trận đấu bằng việc khai thác tối đa các lợi thế đã giành được trong giai đoạn lane.
10061,Hãy đổi chiến thuật sang chế độ vận hành theo từng lane.
10062,Nhấn nút Cài đặt
10063,Chiến thuật của đội hiện đã chuyển sang line‑to‑run.
10064,Cài đặt nhanh này giúp bạn dễ dàng thay đổi chiến thuật cho đội của mình.
10065,Các cài đặt chi tiết có thể được thiết lập thông qua hướng dẫn và giai đoạn pick/ban.
10066,Bây giờ chúng ta sẽ thử nghiệm chiến thuật của mình.
10067,"Nhấn nút ""Tìm trận""."
10068,Hãy xem cách sử dụng vật phẩm trong trận trước khi tiến hành trận đấu.
10069,! Bấm nút nào!
10070,Tôi nghe có một vật phẩm tăng thêm 10 % kinh nghiệm được tặng làm quà.
10071,Vui lòng kiểm tra việc sử dụng.
10072,"Nếu bạn bật tùy chọn “Sử dụng”, vật phẩm tương ứng sẽ được dùng trong các trận đấu sau."
10073,"Nếu có nhiều vật phẩm, bạn có thể bật tùy chọn **Auto** để tự động sử dụng chúng."
10074,Các vật phẩm cùng loại không được sử dụng lặp lại.
10075,Nhấn X để thoát.
10076,Bây giờ chúng ta cùng khám phá các chiến thuật và trang bị nhé.
10077,Nhấn nút tiến độ trò chơi
10078,"Sau trận đấu này, cấp độ của người quản lý đã tăng lên."
10079,"Khi cấp độ quản lý tăng lên, bạn sẽ nhận được một tinh chất bổ sung như sau."
10080,Bạn có thể nhận thêm tinh túy từ cấp độ quản lý bất kể giới hạn trận đấu hàng ngày.
10081,Nhấn nút **Tiếp tục** để rời sân vận động.
10082,Một số người chơi đã lên cấp nhờ nhận được kinh nghiệm trong trận đấu này.
10083,Các người chơi lên cấp có thể tăng các chỉ số của mình.
10084,Nhấn Quản lý Người chơi
10085,Cầu thủ đã lên cấp sẽ có biểu tượng mũi tên trên mức độ.
10086,Nhấn vào cấp độ của người chơi để nâng các chỉ số.
10087,Ở đây bạn có thể tăng các chỉ số mong muốn bằng điểm.
10088,Bạn có thể tăng chỉ số bằng cách nhấn vào mũi tên của chỉ số mong muốn.
10089,Nhấn vào các chỉ số bạn muốn và nhấn “Quyết Định”.
10090,Điều này sẽ nâng cao khả năng của người chơi.
10091,Nhấn X để thoát.
10092,Các vận động viên có thể được tăng sức mạnh bằng cách lên cấp và gia tăng chỉ số như sau.
10093,Hãy tăng cường để làm cho người chơi trở nên mạnh mẽ hơn!
10094,Nhấn nút **Củng cố**.
10095,Củng cố giúp người chơi trở nên mạnh hơn nhờ chính bản thân mình.
