ID,Dec
11000,在优秀的教练指导下，战队夺得了联赛冠军！让我们全力备战，冲击世界赛冠军！
11001,虽未夺冠，却表现出色。雪浴已经在世界总决赛中完成！
11002,这并非冠军赛，但我们已经成功晋级世界总决赛！
11003,这并非冠军赛，但它是个绝佳的排位，值得我们冲刺，下赛季争取夺冠。
11004,最糟的局面已被规避，但排名仍不理想。若想争取更高名次，估计还需进行调优。
11005,我们本赛季以最差的排名收场。感谢一直支持我们的粉丝们，让我们在下个赛季冲得更远！
11006,球队凭借出色的教练团队夺得了全球总决赛冠军！选手与粉丝们共同庆祝你们卓越的指挥。恭喜！
11007,虽然没有夺冠，但发挥出色。下个赛季我们冲击全球总决赛！
11008,可惜，这个段位太高了。下赛季我们要提升实力，冲击下一届全球总决赛冠军。
11009,你已成功进入本次赛事。下个赛季，冲击更高段位的比赛吧！
11010,很遗憾，赛事告负。没关系，我们下赛季冲击全球总决赛，争夺冠军！
20000,线路展示 / 操作
20001,平衡
20002,团战
20003,自定义
21000,这是一种基于强势对线的滚雪球策略。{{-当你拥有强势对线时适用。{-在劣势对线时可能被一次性击杀。
21001,阵容} 团战} 操作：以均衡的方式进行游戏。{{-当玩家实力相当时适用。
21002,这是一种通过一次攻击即完成击杀的一招制敌策略。——当阵容具备强力单点秒杀能力时适用。
21003,这就是你的战术。
22000,比赛的核心
22001,埋伏的中心
22002,主指令
23000,选择该技能成为比赛核心，团队属性将获得提升，其余力量将随之削弱。
23001,打野决定前往哪条线路进行埋伏。
23002,设置一个侧重操作的定位。主指令将提高团队操作的占比。
24000,均衡
24001,线路
24002,团战
24003,行动
24004,平衡
24005,上路
24006,中路
24007,下路
24008,上路
24009,打野
24010,中路
24011,攻击力
24012,辅助
25000,攻击
25001,平衡
25002,肉盾
25003,攻击
25004,平衡
25005,坦克选手
25006,攻击
25007,平衡
25008,支持者
25009,攻击
25010,平衡
25011,功用
25012,攻击
25013,平衡
25014,肉盾
