ID,Dec
10000,হাই। আপনাকে দেখে ভাল লাগলো।
10001,"ম্যানেজারের সমর্থনে, তিনি LoL লিগে একটি নতুন দল গঠন করেছেন।"
10002,দয়া করে প্রথমে আপনার দলের নাম লিখুন।
10003,চল AAA টিমকে ইতিহাসের পাতায় নামিয়ে দিই!
10004,এটি লিগের প্রথম ম্যাচ।
10005,এখানে আপনি ম্যাচের আগে আমাদের দল এবং অন্যান্য দলের তথ্য দেখতে পারবেন।
10006,বর্তমান দলটি ইতিমধ্যে একটি খেলোয়াড়কে সাইন‑আপ করেছে।
10007,কিন্তু জয়লাভের জন্য আপনাকে প্রচুর সংখ্যক খেলোয়াড় প্রয়োজন।
10008,ম্যাচের আগে প্রথমে একটা নতুন প্লেয়ার নিই।
10009,রিক্রুটমেন্ট মার্কেটকে ট্যাপ করুন
10010,আপনি আপনার হাতে থাকা এসেন্স ব্যবহার করে রিক্রুটিং মার্কেট‑এ নতুন প্লেয়ার নিয়োগ করতে পারবেন।
10011,চল এখন আমাদের হাতে থাকা এসেন্স দিয়ে একটি নতুন খেলোয়াড় নিযুক্ত করি।
10012,X1 রিক্রুটমেন্ট বাটন চাপুন।
10013,আমাদের কাছে নতুন একটি খেলোয়াড় আছে।
10014,দলটি এখনও প্রতিযোগিতামূলক নয়। আমাদের প্রতিদ্বন্দ্বিতা বাড়াতে একটি শীর্ষ স্তরের খেলোয়াড়কে নিযুক্ত করি।
10015,একজন ভালো খেলোয়াড়কে রিক্রুট করার জন্য পর্যাপ্ত এসেন্স নেই। এই ক্ষেত্রে আপনি স্পনসরের মাধ্যমে পুরো সংখ্যা পেতে পারেন।
10016,সকল স্পন্সরের ভিডিও বিজ্ঞাপন দেখুন এবং পুরস্কার অর্জন করুন।
10017,প্রারম্ভে} স্পনসরড অ্যাডগুলি বিশেষভাবে প্রস্তুত করা হয়েছে ৫০% বেশি পুরস্কার অর্জনের জন্য।
10018,স্পনসর্ড বিজ্ঞাপন চাপুন
10019,স্পনসর আমাদের একটি পূর্ণসংখ্যা পাঠিয়েছেন। এখন এই সংখ্যার সাহায্যে আমরা নতুন খেলোয়াড়কে ডাকা যাক।
10020,X5 রিক্রু্টমেন্ট বাটন টিপুন।
10021,আমাদের দলে একটি নতুন খেলোয়াড় যোগ হয়েছে।
10022,এবার আমরা একটা নতুন খেলোয়াড় নিয়ে পরীক্ষা করে দেখব।
10023,প্লেয়ার ম্যানেজমেন্ট বোতামটি চাপুন।
10024,প্লেয়ার ম্যানেজমেন্টে আপনি একটি প্রার্থী খেলোয়াড় নির্বাচন করতে পারেন।
10025,প্রার্থীকে পরীক্ষা করার জন্য Swap বোতামটি চাপুন।
10026,"রিপ্লেস বোতাম চাপলে নির্বাচিত খেলোয়াড় স্টার্টার প্লেয়ার হয়ে যাবে, আর বর্তমান খেলোয়াড়টি বিকল্প হিসেবে মনোনীত হবে।"
10027,এছাড়াও} স্টার্টারের কম্পোজিশনের উপর নির্ভর করে} অতিরিক্ত ইফেক্ট পাওয়া যায়।
10028,বাটনটি চাপুন
10029,আপনি এখানে টিম চেমি সম্পর্কিত তথ্য পেতে পারেন।
10030,আপনি টাইপ ও টিমের মতো বিভিন্ন কেমিস্ট্রি মেলিয়ে আপনার দলকে আরও শক্তিশালী করতে পারেন।
10031,বের হতে X চাপুন।
10032,"এখন যেই খেলোয়াড় প্রয়োজনীয় নয়, তাকে আরেকজন খেলোয়াড়ে বদলিয়ে দিই।"
10033,রিকম্বিনেশন চেপে দেখো!
10034,এখানে আপনি চারজন প্রার্থীকে নতুন খেলোয়াড়দের দিয়ে বদলাতে পারেন।
10035,"অস্থায়ীভাবে আমি চারজন খেলোয়াড় দিয়েছি। চল, এসব খেলোয়াড়কে আবার মেশাই!"
10036,Add বোতামটি চাপুন।
10037,Add বোতামটি চাপুন।
10038,Add বোতামটি চাপুন।
10039,Add বোতামটি চাপুন।
10040,সব তিনজন প্লেয়ারকে রাখুন। এবার নতুন একজন প্লেয়ারে স্যুইচ করা যাক।
10041,আপনি রিক্রুটমেন্ট তথ্য থেকে খেলোয়াড়ের ক্ষমতার বিশদ দেখতে পারবেন।
10042,এখনই খেলোয়াড়টাকে পেয়ে নাও!
10043,রিকম্বিনেশন চেপে দেখো!
10044,এইভাবে আপনি বিদ্যমান প্লেয়ারদের নতুন প্লেয়ার দিয়ে প্রতিস্থাপন করতে পারেন।
10045,এবার চলি এই খেলোয়াড়দের সঙ্গে ম্যাচটা শুরু করি।
10046,ম্যাচ বোতামটি চাপুন
10047,গেমের অগ্রগতি বোতামটি চাপুন।
10048,গেমটি শুরু হয়েছে।
