ID,Korean,Dec
1000,효과음,Efecto de sonido
1001,배경음,Sonido de fondo
1002,언어,Idioma
1003,만든이: 허민구{연락: huccce@gmail.com,Creado por: heo min-gu {contacto: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Cargando / {google iniciar sesión
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,"<Atención> {{{Hay más de uno de los datos. Por favor, seleccione los datos para cargar. {Los datos no seleccionados serán eliminados."
1006,팀이름,Nombre del equipo
1007,라운드,Redondo
1008,정수,Esencia
1009,저장날짜,Guarde la fecha
1010,결정,Decisión
1011,경기,Partido
1012,리그,Liga
1013,전략,Estrategia
1014,선수{관리,Jugador {gestión
1015,영입{시장,Reclutamiento {Mercado
1016,멀티{대전,Multi {partido
1017,계정,Cuenta
1018,순위,Rango
1019,승,W
1020,패,L
1021,라인전,Línea
1022,한타,Pelea de equipo
1023,운영,Operación
1024,포지션,Posición
1025,이름,Nombre
1026,종합,Total
1027,일정,Calendario
1028,상대팀,Equipo contrario
1029,총합,Total
1030,결과,Resultado
1031,승리,Victoria
1032,패배,Fracaso
1033,간편,Sencillo
1034,지침,Guía
1035,픽밴,Pique la prohibición
1036,설정,Colocar
1037,설명,Explicación
1038,라인,Línea
1039,타입,Escribe
1040,등급,Clasificación
1041,강화,Reforzarse
1042,재조합,Recombinación
1043,팀케미,Química del equipo
1044,선발 선수,Jugador inicial
1045,후보 선수,Sub jugador
1046,레벨 포인트,Punto de nivel
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {Año Chemie (▲ 1) {Type Chemie (▲ 1) {League Chemie (▲ 1)
1048,케미스트리,Química
1049,재조합 선수,Jugador recombinante
1050,제거,Eliminar
1051,강화 선수,Reproductor de refuerzo
1052,재료 선수,Jugador de cosas
1053,성공확률:,Probabilidad de éxito:
1054,영입시장,Mercado de reclutamiento
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Observe anuncios patrocinados para obtener recompensas.
1056,5번 보시면 200정수를 추가로 드립니다.,Si te ves 5 veces} recibirá un 200senciario adicional.
1057,골드 영입,Reclutamiento de oro
1058,실버 선수,Plataforma de plata
1059,시청,Reloj
1060,플레,Platino
1061,골드,Oro
1062,선수명단,Lista de jugadores
1063,가격,Precio
1064,추천,Recomendar
1065,구입,Comprar
1066,탑 랭킹,Bromear
1067,내 순위,Mi rango
1068,새로고침시간,Actualizar tiempo
1069,대전정보,Coincidir la información
1070,대전찾기,Búsqueda de coincidencias
1071,선수,Jugador
1072,감독,Gerente
1073,로그인,Acceso
1074,확인,Confirmar
1075,일일,Día
1076,업적,Logros
1077,기타,Etc.
1078,보상,Recompensa
1079,공지사항,Aviso
1080,계속,Continuar
1081,이곳을 눌러 입력,Presiona aquí para entrar
1082,최종순위,Rango final
1083,시즌 보상:,Recompensa de temporada:
1084,스킵,Saltar
1085,예,sí
1086,아니오,No
1087,터치 하면 게임 시작,Toque para iniciar el juego.
1088,평점,Calificación
1089,경기진행,Partido progreso
1090,버전확인,Ver la versión
1091,업데이트하러 가기,Ir a actualizar
1092,다시확인,revisar otra vez
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Error al cargar información del equipo. {Intento de nuevo
1094,이곳을 눌러 찾을 팀이름 입력,Toque aquí para ingresar el nombre del equipo para encontrar
1095,밴플레이어,Jugador
1096,전달,Relé
1097,전송,Enviar
1098,문의하기,Contáctenos
1099,버그/건의,ERROR / SUGERENCIAS
1100,게임 종료,Salir del juego
1101,초대링크,Enlace de invitación
1102,모의경기,Partido de simulación
1103,전략복사,Copia estratégica
1104,신고,Reporte
1105,<이벤트>,<Evento>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,¡El evento expreso del patrocinador! {{Echa un vistazo a los anuncios patrocinados ahora para obtener una recompensa adicional de + 50%.
1107,영입시장으로 가기,Ir al mercado de reclutamiento
1108,<리뷰 이벤트>,<Evento de revisión>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Gracias por jugar el juego. {{Esta es una gran ayuda para los desarrolladores. Recibirás 300 esencia como recompensa.
1110,리뷰하러 가기,Ir a la revisión
1111,답변을 받으실 메일을 적어주세요.,Por favor escriba un correo electrónico para responder.
1112,(언어 변경 시 재시작 필요),(Requiere reinicio al cambiar el idioma)
1113,이벤트,Evento
1114,포인트,Punto
1115,친구요청,Solicitud de amistad
1116,친구추가,Añadir amigo
1117,친구 목록,Lista de amigos
1118,찾기,Encontrar
1119,아니요,No
1120,멀티대전정보,Información multimatch
1121,친구 추가,Añadir amigo
1122,라인전{운영,Línea {operación
1123,밸런스,Equilibrado
1124,커스텀,Personalizado
1125,탑,Cima
1126,정글,Cima
1127,미드,Selva
1128,원딜,Medio
1129,서폿,ANUNCIO
1130,중심,Centrar
1131,갱킹,Ganking
1132,메인오더,Orden principal
1133,한정,Limitado
1134,레벨,Lv
1135,팀,Equipo
1136,당신의 팀이름을 정해주세요{(최대 5글자),"Por favor, especifique el nombre de su equipo {(hasta 5 caracteres)"
1137,보낸이,Desde
1138,내용,Contenido
1139,첨부,Adjunto archivo
1140,쪽지 목록,Lista de mensajes
1141,받는이:,A:
1142,첨부종류:,Tipo de fijación:
1143,상세:,Detalle:
1144,전송 비용:,Costo de transmisión:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Precio del artículo + tarifa básica 100 + 5% del precio de artículo adjunto)
1146,쪽지보내기,Enviar un mensaje
1147,첼린저,Desafiador
1148,마스터,Maestría
1149,다이아,Diamante
1150,플레티넘,Platino
1151,골드,Oro
1152,실버,Plata
1153,브론즈,Bronce
1154,<시즌 보상정보>,<Información de recompensa de la temporada>
1155,시즌 보상정보,Información de recompensa de temporada
1156,등급상승 보상,Recompensa de actualización de clase
