ID,Dec
10000,Merhaba. Tanıştığımıza memnun oldum.
10001,Yöneticinin desteğiyle LoL Ligi’nde yeni bir takım kurdu.
10002,Lütfen önce takımınıza bir isim verin.
10003,AAA Takımını tarihe geçirelim.
10004,Bu ligin ilk maçı.
10005,Burada maç öncesinde takımımız ve diğer takımların bilgilerini görebilirsin.
10006,Mevcut takıma zaten bir oyuncu kaydedilmiş durumda.
10007,Ama kazanmak için çok sayıda oyuncuya ihtiyacın var.
10008,Maç öncesinde önce yeni bir oyuncu edinelim.
10009,İşe Alım Pazarına Dokun
10010,İşe alım pazarındaki esansınızı kullanarak yeni oyuncuları işe alabilirsiniz.
10011,Şu anki özümüzle yeni bir oyuncu alalım.
10012,X1 İşe Alım düğmesine bas.
10013,Yeni bir oyuncumuz var.
10014,Takım hâlâ rekabetçi değil. Rekabet gücümüzü artırmak için daha iyi bir oyuncu alalım.
10015,İyi bir oyuncu alacak kadar öz yeterli değil. Bu durumda bir sponsordan tam sayı (tam puan) elde edebilirsin.
10016,Tüm sponsorların video reklamlarını izleyerek ödül kazan.
10017,"Başlangıçta} Sponsorlu Reklamlar, %50 daha fazla ödül alacak şekilde özel olarak hazırlanmıştır."
10018,Sponsorluk Reklamına Tıkla
10019,Sponspör bize bir tam sayı gönderdi. Şimdi bu sayı ile yeni bir oyuncu edinelim.
10020,X5 Recruitment düğmesine bas.
10021,Yeni bir oyuncumuz var.
10022,Şimdi yeni bir oyuncuya geçelim!
10023,Oyuncu Yönetimi düğmesine basın.
10024,Oyuncu Yönetimi'nde aday bir oyuncuyu seçebilirsiniz.
10025,Adayı denemek için **Swap** düğmesine bas.
10026,“Değiştir” butonuna bastığınızda seçili oyuncu ilk kadroya alınır ve mevcut oyuncu yedek olarak atanır.
10027,"Ayrıca, başlangıç kadrosunun kompozisyonuna bağlı olarak ekstra etkiler elde edilebilir."
10028,Butona bas!
10029,Tim Chemie hakkında bilgileri burada bulabilirsiniz.
10030,Farklı **tür** ve **takım** gibi kimyaları eşleştirerek ekibini güçlendirebilirsin.
10031,X tuşuna basarak çık.
10032,Şimdi ihtiyacımız olmayan oyuncuyu başka bir oyuncu ile değiştirelim.
10033,Rekombinasyona basmayı dene.
10034,Burada dört adayı yeni oyuncularla değiştirebilirsiniz.
10035,Geçici olarak dört oyuncuya dağıttım. Şimdi bu oyuncuları tekrar bir araya getirelim.
10036,Ekle düğmesine bas.
10037,Ekle düğmesine bas.
10038,Ekle düğmesine bas.
10039,Ekle düğmesine bas.
10040,Üç oyuncuyu yerleştir. Şimdi yeni bir oyuncuya geçelim.
10041,Oyuncunun yetenek bilgilerini işe alım bilgilerinden kontrol edebilirsin.
10042,Şimdi oyuncuyu seç.
10043,Rekombinasyona basmayı dene.
10044,Bu şekilde mevcut oyuncuları yeni oyuncularla değiştirebilirsin.
10045,Şimdi bu oyuncularla oynayalım.
10046,Maç düğmesine bas.
10047,Oyun ilerleme butonuna bas.
10048,Maç başladı.
10049,Oyunculara güvenelim ve maçı izleyelim.
10050,"Böylece, oyun bittiğinde deneyim ve puan kazanabilirsiniz."
10051,Günlük maç sınırı aşıldığında öz alınamaz.
10052,Stadyumu terk etmek için **Devam** butonuna basın.
10053,İlk oyun bitti.
10054,"Oyuncular galibiyet için kritiktir, ancak koçun stratejisi de aynı derecede önem taşır."
10055,Strateji butonuna basın.
10056,"Hızlı Kurulum, kritik stratejileri hızlı ve sorunsuz bir şekilde ayarlamayı sağlar."
10057,Denge artık temel strateji.
10058,Haydi ayarları değiştirelim!
10059,Satır / Yönet üzerine tıkla.
10060,"Koridor eşleşmesi/operasyonu, koridorda elde edilen avantajları kullanarak maçı sona erdiren bir stratejidir."
10061,Stratejimizi hat‑hat operasyonuna değiştirelim.
10062,Ayarlar butonuna bas.
10063,Takımın stratejisi artık line‑to‑run (hat‑koşu) ile değişti.
10064,"Bu hızlı ayar, ekibinizin taktiklerini anında değiştirmenizi sağlar."
10065,Detaylı ayarlar talimatlar ve pick‑van aracılığıyla yapılabilir.
10066,Şimdi stratejimizi test edelim!
10067,Maç düğmesine bas
10068,Maça başlamadan önce maç eşyalarını nasıl kullanacağımızı görelim.
10069,! Butona bas.
10070,"Duyduğuma göre, hediye olarak %10 ekstra tecrübe eşyası almışım."
10071,Lütfen kullanımı kontrol edin.
10072,"Kullan seçeneğini işaretlerseniz, ilgili eşyayı sonraki maçlarda otomatik olarak kullanacaksınız."
10073,"Birden fazla eşya varsa, Auto seçeneğini işaretleyerek eşyaları otomatik olarak kullanabilirsiniz."
10074,Aynı türdeki eşyalar tekrarlı olarak kullanılamaz.
10075,X tuşuna basarak çık.
10076,Şimdi stratejilere ve eşyalara göz atalım.
10077,Maç ilerleme düğmesine bas.
10078,Bu maçın ardından menajerin seviyesi yükseldi.
10079,"Yönetici seviyen yükseldikçe, bu şekilde ekstra bir öz kazanırsın."
10080,"Yönetici seviyesinden, günlük maç limitine bakılmaksızın ek özler elde edebilirsiniz."
10081,Stadyumu terk etmek için **Devam** butonuna basın.
10082,Bu maçta deneyim kazanarak bazı oyuncular seviye atladı.
10083,Seviye atlayan oyuncular istatistiklerini yükseltebilir.
10084,Oyuncu Yönetimine Bas.
10085,Seviyesi yükselen oyuncuların seviyesinde bir ok işareti bulunur.
10086,İstatistikleri artırmak için oyuncunun seviyesine dokun.
10087,Burada puanlarla istediğiniz istatistikleri artırabilirsiniz.
10088,İstediğiniz istatistiğin okuna dokunarak puanı yükseltebilirsiniz.
10089,İstediğin istatistikleri seç ve ardından **Karar**'a tıkla.
10090,"Bu, oyuncunun yeteneğini artıracak."
10091,Çıkmak için X'e bas.
10092,"Sporcular, seviyelerini yükselterek ve güçlendirerek böyle daha da güçlü hâle getirilebilir."
10093,Takviye ederek oyuncuyu daha güçlü hâle getirelim.
10094,Reinforce butonuna bas.
10095,"Takviye, aynı oyuncuya uygulanarak onu daha da güçlendirir."
10096,Bu sefer sana verdiğimiz oyuncuyu güçlendirelim.
10097,▼ butonuna basmayı deneyin.
10098,Başlangıç listesini katlamak için butona basın. Yedek oyuncuların daha geniş bir listesini görmek için butona basın.
10099,Şimdi bir oyuncu eklemeyi deneyin.
10100,Ekle düğmesine basın.
10101,Bir oyuncu eklendiğinde yalnızca o oyuncu görülür.
10102,Ekle düğmesine bas.
10103,Yeni oyuncular eklendikçe başarı şansını görebilirsin.
10104,"Başarı ihtimali, takviye seviyesindeki farkla belirlenir."
10105,Reinforce düğmesine bas!
10106,"Böyle güçlendirdiğinde, o birim kaybolur."
10107,Bunu yapmamak ana oyuncunun kaybolmasına veya sınıfını kaybetmesine neden olmaz.
10108,Şimdi lig bilgilerine son bir kez bakalım.
10109,League düğmesine bas.
10110,Program düğmesine basın.
10111,Takımınızın lig programına buradan göz atabilirsiniz.
10112,Rütbe butonuna bas.
10113,Burada lig sıralamasını görebilirsin.
10114,Turnuva düğmesine bas.
10115,Normal sezon bittikten sonra buradan playoffları kontrol edebilirsiniz.
10116,"W, Dünya Şampiyonasına yükselmek için gereken sıralamadır."
10117,"Dünya Şampiyonası, normal sezonun sonunda düzenlenir."
10118,Diğer liglerdeki en iyi takımlarla rekabet edebilir ve daha yüksek ödüller kazanabilirsiniz.
10119,Set düğmesine basın.
10120,Ligi nerede görmek istersin?
10121,Zorluk seviyesini ayarlayıp yeni bir lig başlatabilirsiniz.
10122,"Bir lig ve zorluk seviyesini seçtiğinde, değişen ödülleri ve lig takımının gücünü görebilirsin."
10123,"Ligini ve zorluk seviyesini seç, ardından “Yeni Lig Başlat” butonuna bas."
10124,Yeni bir ligi böyle başlatabilirsin.
10125,Şimdi her şey hazır!
10126,Sonunda yönetici bize özü gönderdi.
10127,AAA Ligi Şampiyonunu Kazanalım!
10128,Selam! Multi Match oyununa hoş geldin.
10129,Burada diğer koçlarla maça çıkabilirsiniz.
10130,Burada takımının puanlarını ve maç verilerini görebilirsin.
10131,Ödül bilgi düğmesine bas.
10132,Burada Çoklu Maç’ın ödülleriyle ilgili bilgileri bulabilirsin.
10133,"Seviye tablosunda altı seviye bulunur: Bronze, Silver, Gold, Platinum, Diamond, Master ve Challenger."
10134,İlk defa başladığında bronz seviyede başlarsın.
10135,"Sıralamanızı yükseltmek, size yukarıda belirtilen Esansı kazandırır."
10136,Ve maç sonunda aşağıda belirtilen yüzdeye göre bonus Öz kazanabilirsiniz.
10137,Sezonu açıklayacağım.
10138,"Sezon, rütbeyi sıfırlar ve belirli bir süreden sonra yeni bir maç başlatır."
10139,"Yeni bir sezon başladığında, geçen sezondaki rütben doğrultusunda ödüllendirilirsin."
10140,Rütbenize ait ödüller burada yer alıyor.
10141,Şimdi ödül bilgisini kapatmak için X tuşuna basın.
10142,Rütbe atlamak için maçı kazanmalı ve puan toplamalısın.
10143,Sonraki rütbeye geçmek için 100 puan topla.
10144,Ama dikkatli ol; sıfır puanda ardı ardına kaybettiğinde rütben düşebilir!
10145,"Kazandıkça rütbenizi yükselttiğinizde, aşağıdaki sıralamadan takımınızın derecesini kontrol edebilirsiniz."
10146,Takımın sıralama oyuncularını ayrıntılı olarak görebilirsin.
10147,Butona bas!
10148,Artık rütbeli oyuncuların kullandığı taktikleri ve stratejileri görebilirsin. Hemen incele ve ekibini daha da güçlendir.
10149,Şimdi tekrar düğmeye basalım.
10150,Sıralamanın yenilenmesi zaman alıyor.
10151,"Eğer hemen yenilemek istiyorsan, yenileme düğmesine basarak sıralamayı anında güncelleyebilirsin."
10152,"İyi. Hazır mısın? Rütbeni yükselt ve puan topla, en iyi menajer ol!"
10153,Hesabınızda} hesap bilgilerinizi ve günlük} başarılarınızı diğer bilgilerle görebilirsiniz.
10154,Günlük görevler her gün güncellenir.
10155,"Başarımlar menüsünde}, başarıları görebilirsin."
10156,Sezon’da her sezonda güncellenen yeni görevleri görebilirsin.
10157,"Diğer bölümde, geliştirici desteği gibi ek bölümleri görebilirsin."
10158,Görev başarılarını ya da diğer bölümleri tamamlayarak ödül kazanabilirsin.
10159,"Ayrıca, sponsorluk gelecekte oyunu geliştirmeye devam etmemizi sağlayacak."
10160,Patronajınız için teşekkür ederiz. Teşekkürler.
