ID,Korean,Dec
1000,효과음,Efek suara
1001,배경음,Suara latar belakang
1002,언어,Bahasa
1003,만든이: 허민구{연락: huccce@gmail.com,Dibuat oleh: heo min-gu {hubungi: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Memuat / {Google Masuk
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<PERHATIAN> {{Ada lebih dari satu data. Silakan pilih data untuk memuat. {Data yang tidak dipilih akan dihapus.
1006,팀이름,Nama tim
1007,라운드,Bulat
1008,정수,Esensi
1009,저장날짜,HEMAT TANGGAL
1010,결정,Keputusan
1011,경기,Pertandingan
1012,리그,Liga
1013,전략,Strategi
1014,선수{관리,Player {Management.
1015,영입{시장,Rekrutmen {Market.
1016,멀티{대전,Multi {Match.
1017,계정,Akun
1018,순위,Pangkat
1019,승,W.
1020,패,L.
1021,라인전,Garis
1022,한타,Pertarungan tim
1023,운영,Operasi
1024,포지션,Posisi
1025,이름,Nama
1026,종합,Total
1027,일정,Kalender
1028,상대팀,Tim lawan.
1029,총합,Total
1030,결과,Hasil
1031,승리,Kemenangan
1032,패배,Mengalahkan
1033,간편,Sederhana
1034,지침,Pedoman.
1035,픽밴,Pilih larangan
1036,설정,Set
1037,설명,Penjelasan
1038,라인,Garis
1039,타입,Tipe
1040,등급,Peringkat
1041,강화,Memperkuat
1042,재조합,Rekombinasi.
1043,팀케미,Tim Chemie.
1044,선발 선수,Memulai pemain
1045,후보 선수,Sub pemain
1046,레벨 포인트,Titik level.
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {Tahun Chemie (▲ 1) {Tipe Chemie (▲ 1) {League Chemie (▲ 1)
1048,케미스트리,Kimia
1049,재조합 선수,Pemain rekombinan
1050,제거,Menghapus
1051,강화 선수,Pemutar penguat.
1052,재료 선수,Pemain Stuff.
1053,성공확률:,Kesempatan keberhasilan:
1054,영입시장,Pasar rekrutmen
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Tonton iklan yang disponsori untuk mendapatkan hadiah.
1056,5번 보시면 200정수를 추가로 드립니다.,Jika Anda terlihat 5 kali} Anda akan menerima 200 kaki tambahan.
1057,골드 영입,Rekrutmen Emas.
1058,실버 선수,Pemain perak
1059,시청,Menonton
1060,플레,Platinum
1061,골드,Emas
1062,선수명단,Daftar Pemain
1063,가격,Harga
1064,추천,Sarankan
1065,구입,Membeli
1066,탑 랭킹,Peringkat Atas
1067,내 순위,Pangkat saya
1068,새로고침시간,Menyegarkan waktu
1069,대전정보,Mencocokkan informasi
1070,대전찾기,Cari Pencocokan
1071,선수,Pemain
1072,감독,Pengelola
1073,로그인,Gabung
1074,확인,Konfirmasi
1075,일일,Hari
1076,업적,Prestasi
1077,기타,Dll
1078,보상,Penghargaan
1079,공지사항,Memperhatikan
1080,계속,Terus
1081,이곳을 눌러 입력,Tekan di sini untuk masuk
1082,최종순위,Peringkat akhir.
1083,시즌 보상:,Hadiah Musim:
1084,스킵,Melewatkan
1085,예,Iya
1086,아니오,Tidak
1087,터치 하면 게임 시작,Sentuh untuk memulai permainan
1088,평점,Kelas
1089,경기진행,Pertandingan berlangsung
1090,버전확인,Periksa versi
1091,업데이트하러 가기,Buka Perbarui
1092,다시확인,Periksa lagi
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Gagal memuat info tim. {Coba lagi
1094,이곳을 눌러 찾을 팀이름 입력,Ketuk di sini untuk memasukkan nama tim untuk menemukan
1095,밴플레이어,Ban pemain
1096,전달,Menyampaikan
1097,전송,Kirim
1098,문의하기,Hubungi kami
1099,버그/건의,Bug / saran.
1100,게임 종료,Keluar permainan
1101,초대링크,Tautan Undangan
1102,모의경기,Simulasi Match.
1103,전략복사,Salin Strategis
1104,신고,Melaporkan
1105,<이벤트>,<Event>
