ID,Dec
11000,"Đội của bạn đã thắng giải đấu với huấn luyện tuyệt vời!
 Hãy chuẩn bị giành chức vô địch thế giới."
11001,"Mặc dù nó không thắng, nhưng nó đã làm một công việc tuyệt vời.
 Tắm tuyết được thực hiện trong vô địch thế giới!"
11002,"Đó không phải là một chức vô địch.
 Tuy nhiên, chúng tôi đã thành công trong việc tiến tới Giải vô địch thế giới!"
11003,"Đó không phải là một chức vô địch.
 Nhưng đó là một thứ hạng tốt để cố gắng giành chiến thắng trong mùa giải tới."
11004,"Điều tồi tệ nhất đã tránh được, nhưng nó không phải là một thứ hạng tốt.
 Đối với một thứ hạng cao hơn} Tôi nghĩ rằng nó cần bảo trì."
11005,"Chúng tôi đã kết thúc mùa giải ở vị trí tồi tệ nhất.
 Đối với những người hâm mộ ủng hộ chúng tôi}, hãy để Lôi đi xa hơn cho mùa giải tiếp theo."
11006,"Đội đã giành giải vô địch thế giới với huấn luyện tuyệt vời!
 Người chơi và người hâm mộ ăn mừng mệnh lệnh tuyệt vời của bạn.
 Chúc mừng."
11007,"Nó không thắng, nhưng nó đã làm một công việc tuyệt vời.
 Hãy cố gắng giành chức vô địch thế giới mùa tới!"
11008,"Thật không may, đó là một lớp tuyệt vời.
 Hãy tăng sức mạnh của chúng tôi trong mùa giải tới và cố gắng giành được nhà vô địch thế giới tiếp theo."
11009,"Bạn đã tham gia thành công giải đấu.
 Mùa tới, hãy hướng đến các giải đấu cao hơn."
11010,"Thật không may, giải đấu thất bại.
 Thật không may, chúng ta hãy tiến tới Giải vô địch thế giới mùa tới và nhắm đến chức vô địch."
20000,Triển lãm / Hoạt động
20001,Sự cân bằng
20002,Đội đua
20003,Phong tục
21000,"Đó là một chiến lược để lăn những quả bóng tuyết dựa trên các trận chiến mạnh mẽ.
 {{-It phù hợp khi bạn có một trận chiến mạnh mẽ.
 {-Bạn có thể được hoàn nguyên thành một phát khi bạn có một cú đánh yếu."
21001,"Đội hình} TeamFight} Hoạt động Chơi trò chơi một cách cân bằng.
 {{-This này phù hợp khi khả năng của người chơi là đồng đều."
21002,"Đó là một chiến lược nhằm mục đích cho một phát bắn qua một phát bắn.
 {{-It phù hợp khi một đội có khả năng một phát mạnh.
 {"
21003,Đây là chiến lược của bạn.
22000,Trung tâm của trò chơi
22001,Trung tâm của một tấm gan
22002,Đơn đặt hàng chính
23000,"Chọn khả năng trở thành trung tâm của trò chơi.
 Số liệu thống kê của đội sẽ tăng lên.
 Thay vào đó} phần còn lại của sức mạnh rơi."
23001,Người đi rừng quyết định dòng để khai thác.
23002,"Đặt một vị trí tập trung vào các hoạt động.
 Thứ tự chính sẽ tăng tỷ lệ hoạt động của nhóm."
24000,Sự cân bằng
24001,Đường kẻ
24002,Đội đua
24003,Hoạt động
24004,Sự cân bằng
24005,Đứng đầu
24006,Giữa
24007,Đáy
24008,Đứng đầu
24009,Rừng
24010,Giữa
24011,Quảng cáo
24012,Ủng hộ
25000,Tấn công
25001,Cân bằng
25002,Tàu chở dầu
25003,Tấn công
25004,Cân bằng
25005,Tàu chở dầu
25006,Tấn công
25007,Cân bằng
25008,Người ủng hộ
25009,Tấn công
25010,Cân bằng
25011,Tính thiết thực
25012,Tấn công
25013,Cân bằng
25014,Tàu chở dầu
26000,"Nhấn mạnh đối thủ trong dòng.
 Nó cũng kiểm soát hoạt động thông qua việc chia tách.
 {{▲ Thống kê hoạt động tăng.
 {{-Points đạt được hoặc bị mất trên dòng tăng.
 {{▼ Teamfight Stat giảm."
26001,Bể thỏa thuận cơ bản.
