ID,Korean,Dec
1000,효과음,Effetto sonoro
1001,배경음,Audio di sottofondo
1002,언어,Lingua
1003,만든이: 허민구{연락: huccce@gmail.com,Creato da: Heo Min‑gu {Contatto: huccce@gmail.com}
1004,불러오는 중 /{구글 로그인,Caricamento / {Accesso Google}
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{Sono presenti più dati. Seleziona i dati da caricare. I dati non selezionati verranno eliminati.}}
1006,팀이름,Nome squadra
1007,라운드,Turno
1008,정수,Essenza
1009,저장날짜,Segna la data
1010,결정,Decisione
1011,경기,Partita
1012,리그,League
1013,전략,Strategia
1014,선수{관리,Giocatore{Gestione
1015,영입{시장,Reclutamento{Mercato
1016,멀티{대전,Multi{Match}
1017,계정,Account
1018,순위,Classifica
1019,승,W
1020,패,L
1021,라인전,Linea
1022,한타,Scontro di squadra
1023,운영,Operazione
1024,포지션,Posizione
1025,이름,Nome
1026,종합,Totale
1027,일정,Calendario
1028,상대팀,Squadra avversaria
1029,총합,Totale
1030,결과,Risultato
1031,승리,Vittoria
1032,패배,Sconfitta
1033,간편,Semplice
1034,지침,Linee guida
1035,픽밴,Pick Ban
1036,설정,Set
1037,설명,Spiegazione
1038,라인,Corsia
1039,타입,Tipo
1040,등급,Rating
1041,강화,Rinforza
1042,재조합,Ricombinazione
1043,팀케미,Team Chemie
1044,선발 선수,Giocatore titolare
1045,후보 선수,Sostituto
1046,레벨 포인트,Punto livello
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Squadra Chemie(▲2){Anno Chemie(▲1){Tipo Chemie(▲1){Lega Chemie(▲1)
1048,케미스트리,Chimica
1049,재조합 선수,Giocatore ricombinante
1050,제거,Rimuovi
1051,강화 선수,Giocatore di rinforzo
1052,재료 선수,Equipaggiamento Giocatore
1053,성공확률:,Probabilità di successo:
1054,영입시장,Mercato del reclutamento
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Guarda gli annunci sponsorizzati per ottenere ricompense.
1056,5번 보시면 200정수를 추가로 드립니다.,"Se guardi 5 volte, otterrai ulteriori 200 Essenza."
1057,골드 영입,Reclutamento Oro
1058,실버 선수,Giocatore Silver
1059,시청,Guarda
1060,플레,Platino
1061,골드,Oro
1062,선수명단,Lista Giocatori
1063,가격,Prezzo
1064,추천,Consiglia
1065,구입,Acquista
1066,탑 랭킹,Classifica Top
1067,내 순위,Il mio rango
1068,새로고침시간,Tempo di ricarica
1069,대전정보,Informazioni sulla partita
1070,대전찾기,Ricerca partita
1071,선수,Giocatore
1072,감독,Manager
1073,로그인,Accesso
1074,확인,Conferma
1075,일일,Giornata
1076,업적,Obiettivi
1077,기타,Ecc.
1078,보상,Ricompensa
1079,공지사항,Avviso
1080,계속,Continua
1081,이곳을 눌러 입력,Premi qui per accedere
1082,최종순위,Classifica finale
1083,시즌 보상:,Ricompensa Stagionale:
1084,스킵,Salta
1085,예,Sì
1086,아니오,No
1087,터치 하면 게임 시작,Tocca per avviare la partita
1088,평점,Grado
1089,경기진행,Andamento della partita
1090,버전확인,Controlla versione
1091,업데이트하러 가기,Vai all’aggiornamento
1092,다시확인,Controlla di nuovo
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Impossibile caricare le informazioni del team. Riprova.
1094,이곳을 눌러 찾을 팀이름 입력,Tocca qui per inserire il nome della squadra da cercare.
1095,밴플레이어,Banna giocatore
1096,전달,Trasmissione
1097,전송,Invia
1098,문의하기,Contattaci
1099,버그/건의,Bug / Suggerimenti
1100,게임 종료,Esci dalla partita
1101,초대링크,Link d’invito
1102,모의경기,Partita di simulazione
1103,전략복사,Copia Strategica
1104,신고,Segnala
1105,<이벤트>,<Evento>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,Evento Espresso dello Sponsor! {{Guarda subito gli Annunci Sponsorizzati per ottenere un bonus extra del +50% di ricompensa.}}
1107,영입시장으로 가기,Vai al mercato del reclutamento
1108,<리뷰 이벤트>,Rivedi evento
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Grazie per aver giocato! {{Questo è un enorme aiuto per gli sviluppatori. Riceverai 300 Essenza come ricompensa.}}
1110,리뷰하러 가기,Vai alla revisione
1111,답변을 받으실 메일을 적어주세요.,Per favore scrivi un’email di risposta.
1112,(언어 변경 시 재시작 필요),(Richiede il riavvio quando si cambia lingua)
1113,이벤트,Evento
1114,포인트,Punto
1115,친구요청,Richiesta di amicizia
1116,친구추가,Aggiungi amico
1117,친구 목록,Lista amici
1118,찾기,Cerca
1119,아니요,No
1120,멀티대전정보,Info MultiMatch
1121,친구 추가,Aggiungi amico
1122,라인전{운영,Linea{Operazione
1123,밸런스,Bilanciato
1124,커스텀,Personalizzato
1125,탑,Top
1126,정글,Giungla
1127,미드,Mid
1128,원딜,AD
1129,서폿,Support
1130,중심,Centro
1131,갱킹,gankare
1132,메인오더,Ordine principale
1133,한정,Limitato
1134,레벨,LV
1135,팀,Squadra
1136,당신의 팀이름을 정해주세요{(최대 5글자),Inserisci il nome della tua squadra (max 5 caratteri)
1137,보낸이,Da
1138,내용,Contenuti
1139,첨부,Allegato
1140,쪽지 목록,Lista Messaggi
1141,받는이:,A:
1142,첨부종류:,Tipo di allegato:
1143,상세:,Dettaglio:
1144,전송 비용:,Costo di trasmissione:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),Prezzo dell’oggetto + fee base 100 + 5 % del prezzo dell’oggetto collegato
1146,쪽지보내기,Invia un messaggio
1147,첼린저,Challenger
1148,마스터,Master
1149,다이아,Diamante
1150,플레티넘,Platino
1151,골드,Oro
1152,실버,Argento
1153,브론즈,Bronzo
1154,<시즌 보상정보>,Informazioni sui premi stagionali
1155,시즌 보상정보,Informazioni sui premi di stagione
1156,등급상승 보상,Ricompensa per l’aggiornamento di classe
1157,명예의 전당 헌액,Contributo alla Hall of Fame
1158,시즌보상카드 증정,Carta ricompensa stagionale
1159,다이아 패키지,Pacchetto Diamante
1160,플레티넘 패키지,Pacchetto Platino
1161,골드 패키지,Pacchetto Oro
1162,실버 패키지,Pacchetto Argento
1163,모든선수 패키지,Pacchetto per tutti i giocatori
1164,다이아 영입,Reclutamento Diamond
1165,첼린저 영입,Reclutamento Challenger
1166,모든한정포함 첼린저 영입,Reclutamento a limite tutto compreso
1167,보낸날짜,Data di invio
1168,보상정보,Info Ricompense
1169,모든팀에게 승리 시,Vittoria a tutte le squadre
1170,상세보기,Visualizza dettagli
1171,연습{경기,Partita di prova
1172,대전,Partita
1173,멀티 시즌성적,Risultati multistagione
1174,새로운 시즌 시작,Inizio Nuova Stagione
1175,평균 선수 종합:,Totale medio giocatore:
1176,이곳을 눌러{선수 이름 입력,Premi qui per {Player name enter}
1177,시즌,Stagione
1178,영입정보,Info Reclutamento
1179,검색,Cerca
1180,난이도,Difficoltà
1181,대표팀,Team Famoso
1191,새로운 리그 시작,Inizio Nuova Lega
1192,<선수 등급 정보>,Info rating giocatore
1193,토너먼트,Torneo
1194,우승,Campione
1195,승자조,Bracket dei vincitori
1196,패자조,Bracket dei perdenti
1197,시즌보상정보,Info ricompensa stagionale
1198,격전보상정보,Info Ricompensa Crush
1199,재시도,Riprova
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,"※ Se non ti qualifichi per il torneo finale, non otterrai alcuna ricompensa."
1201,랭크,Classifica
1202,격전,Schiacciare
1203,팀정보,Info squadra
1204,다음경기,Prossima Partita
1205,팀 능력,Statistiche squadra
1206,선수 능력,Statistiche Giocatore
1207,<시즌보상선수>,Giocatore Ricompensa Stagionale
1208,추가경험치,Aggiungi XP
1209,경기 자동,Match automatico
1210,아이템,Oggetto
1211,사용중인 아이템,Oggetti in uso
1212,경기 아이템,Oggetti della partita
1213,사용,Usa
1214,개수,Conte
1215,자동,Auto
1216,추가경험치,Aggiungi XP
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ Le ricompense sono disponibili solo dalla stagione 10 in poi.
1218,언어설정,Impostazioni lingua
1219,리셋,Reset
1220,재시작,Riavvio
1221,코치,Allenatore
1222,추가,Aggiungi
1223,후보,Sostituto
1224,새게임,Nuova partita
1225,버그 제보,Segnalazione Bug
1226,코치명단,Lista Allenatori
1227,새로운 광고 준비 중... 기다려주세요,Caricamento del nuovo annuncio… attendi.
1228,확률정보,Info Probabilità
1229,팀명 변경,Cambio nome squadra
1230,보상선수,Premia Giocatore
1231,선수명단,Lista Giocatori
1232,시간정보 재송신,Ricarica info temporale
