ID,Dec
11000,"Ihr Team hat die Liga mit großartigem Trainer gewonnen!  Bereiten wir uns darauf vor, die Weltmeisterschaft zu gewinnen."
11001,"Obwohl es nicht gewann, hat es einen tollen Job gemacht.  Schneebad ist im Weltmeister!"
11002,"Es war keine Meisterschaft.  Es ist uns jedoch gelungen, zur Weltmeisterschaft zu kommen!"
11003,"Es war keine Meisterschaft.  Aber es ist eine gute Rangliste, in der nächsten Saison zu gewinnen."
11004,"Das Schlimmste wurde vermieden, aber es war kein gutes Rang.  Für ein höheres Ranking} denke ich, dass es Wartung benötigt."
11005,"Wir beendeten die Saison in der schlechtesten Position.  Für die Fans, die uns unterstützen, gehen wir für die nächste Saison weiter."
11006,Das Team gewann die Weltmeisterschaft mit großartigem Coaching!  Spieler und Fans feiern Ihr großartiges Kommando.  Glückwunsch.
11007,"Es gewann nicht, aber es hat einen tollen Job gemacht.  Versuchen wir, die Weltmeisterschaft in der nächsten Saison zu gewinnen!"
11008,"Leider ist es eine großartige Note.  Lassen Sie uns unsere Macht in der nächsten Saison erhöhen und versuchen, den nächsten Weltmeister zu gewinnen."
11009,Sie haben erfolgreich das Turnier eingetreten.  In der nächsten Saison gehen wir zu höheren Turnieren.
11010,Leider ist das Turnier gescheitert.  Lassen Sie uns leider in der nächsten Saison zur Weltmeisterschaft voranschreiten und die Meisterschaft anstreben.
20000,Linienausstellung / -betrieb
20001,Gleichgewicht
20002,Teamkampf
20003,Brauch
21000,"Es ist eine Strategie, Schneebälle zu rollen, die auf starken Linienschlachten basieren.  {{-It ist geeignet, wenn Sie eine starke Linienschlacht haben.  {-Sie können zu einem Schuss zurückgekehrt werden, wenn Sie einen schwachen Schlag haben."
21001,"LineUp} Teamfight} Operation spielen das Spiel ausgewogen.  {{-This ist geeignet, wenn die Fähigkeit der Spieler gleichmäßig ist."
21002,"Es ist eine Strategie, die einen Schuss durch einen einzigen Schuss abzielt.  {{-It ist geeignet, wenn ein Team eine starke One-Shot-Fähigkeit hat.  {"
21003,Dies ist Ihre Strategie.
22000,Das Spiel in der Spiele
22001,Das Zentrum eines Gankings
22002,Hauptreihenfolge
23000,"Wählen Sie die Fähigkeit, die Mitte des Spiels zu sein.  Die Statistiken des Teams werden zunehmen.  Stattdessen fällt der Rest der Kraft."
23001,Der Jungler entscheidet die Linie zum Ganking.
23002,"Stellen Sie eine Position fest, die sich auf Operationen konzentriert.  Die Hauptreihenfolge erhöht den Anteil des Teambetriebs."
24000,Gleichgewicht
24001,Linie
24002,Teamkampf
24003,Betrieb
24004,Gleichgewicht
24005,Spitze
24006,Mitte
24007,Unten
24008,Spitze
24009,Dschungel
24010,Mitte
24011,ANZEIGE
24012,Unterstützung
25000,Angriff
25001,Ausgewogen
25002,Tanker
25003,Angriff
25004,Ausgewogen
25005,Tanker
25006,Angriff
25007,Ausgewogen
25008,Fan
25009,Angriff
25010,Ausgewogen
25011,Dienstprogramm
25012,Angriff
25013,Ausgewogen
25014,Tanker
26000,Drücken Sie den Gegner stark in der Schlange.  Es übernimmt auch die Kontrolle über die Operation durch die Spaltung.  {{▲ Betriebsstatistik erhöht sich.  {{-Points gewonnen oder verloren in der Zunahme.  {{▼ Teamkampfstat senkt.
26001,Basic Deal Tank.
26002,"Einfluss wird in Linienschlachten verringert.  Allerdings ist er im Teamkampf stärker.  {{▲ Teamfight -Fähigkeit wird erhöht.  {{-Points, die an der Linie gewonnen oder verloren gegangen sind, werden gesenkt.  {{▼ Operation STAT ist gesenkt."
26003,Das Ganking wird mächtig.  } Es besteht jedoch ein hohes Risiko für das Versagen des Gankierens.  {{▲ Zeilenstatistiken erhöhen sich.  {{{{
26004,Basic Deal Tank.
26005,Die Fähigkeit zur Ganking wird gesenkt.  } Die Trefferfähigkeit nimmt jedoch zu.  {{▲ Die Schlagfähigkeit nimmt zu.  {{▼ Die Aufstellungsfähigkeit geht aus.
26006,Drücken Sie den Gegner stark in der Schlange.  Es übernimmt auch die Kontrolle über die Operation durch die Spaltung.  {{▲ Betriebsstatistik erhöht sich.  {{-Points gewonnen oder verloren in der Zunahme.  {{▼ Teamkampfstat senkt.
26007,Basic Nuker Champ.
26008,"Ziel ist es, die Fähigkeit des einen DIL zu verbessern.  {{▲ Ein DIL -STAT nimmt zu."
26009,Die frühen Tage sind mächtig.  Allerdings} mit der Zeit} Es wird schwächer.  {{▲ Einstellung bis zu den ersten 20 Minuten} Die Teamkampffähigkeit steigt.  {{▼ Teamkampffähigkeit nimmt von der zweiten Hälfte ab.
26010,Basic One-Deal Champ.
26011,"Konzentration auf die Rolle des Teams und nicht darauf, Carries Rolle zu helfen.  {{▲ Betriebsstatistiken steigen.  {{▼ Linienstatistiken gehen unter."
26012,"Linienkampf ist mächtig.  Es ist jedoch gefährlich, mit geringer Gesundheit zu arbeiten.  {{▲ Line-up-Statistiken erhöhen sich.  {{-Points gewonnen oder verloren durch die Erhöhung der Operation."
26013,Basic -Unterstützer -Champion.
26014,Schwach in der Schlange.  Allerdings ist es im Teamkampf stark.  {{▲ Teamfight Stat wird erhöht.  {{▼ Linien stat wird gesenkt.
30000,"Wenn Sie sich nicht bei Google anmelden können, können Sie keinen Multiplayer abspielen.  Bitte melden Sie sich Google an."
30001,Während des letzten Mehrspiels gab es ein abnormales Ende des Spiels.  Das Spiel wurde verwirkt.
30002,Glückwunsch!  Sie werden auf die nächste Ebene befördert!
30003,Sie wurden wegen einer ständigen Niederlage herabgestuft.
30004,Anmelden
30005,Es gibt ein Problem.  Ausgabegrund:
30006,"Die Internetverbindung ist verloren gegangen.  Wenn Sie eine Internetverbindung haben}, werden Sie automatisch wieder verbunden."
30007,"Das Internet wurde während des Multi -Spiels getrennt.  {Wenn Sie auf OK} klicken, beenden Sie das Stadion."
30008,"Es gab ein Problem, Ihren Gegner zu finden.  {Drücken Sie OK, um das Stadion zu verlassen."
30009,"Das Spiel ist nicht auf dem neuesten Stand.  Sie müssen die neueste Version aktualisieren, um das Match abzuspielen.  {{{Drücken Sie die Taste unten, um die Version erneut zu überprüfen} oder zur Aktualisierungsseite gehen."
30010,Überprüfung
30011,Es ist nicht die neueste Version.
30012,Minute
30013,Sie wurden als Cheat -Spieler gemeldet und können keine Multiplayer -Spiele spielen. {{Bitte senden Sie eine E -Mail {hucce@gmail.com für Fragen.
