ID,Dec
11000,Đội của bạn đã giành chức vô địch giải đấu nhờ huấn luyện xuất sắc! Hãy chuẩn bị để chinh phục World Championship.
11001,"Mặc dù không giành chiến thắng, nhưng đã thể hiện xuất sắc. “Snow Bathing” đã được thực hiện trong trận đấu Giải vô địch Thế giới!"
11002,"Đó không phải là giải vô địch, nhưng chúng ta đã vươn lên tới Chung Kỳ Thế Giới!"
11003,"Không phải một giải vô địch, nhưng đó là thứ hạng tốt để chúng ta cố gắng giành chiến thắng mùa tới."
11004,"Cái tệ nhất đã được tránh khỏi, nhưng xếp hạng vẫn chưa đạt yêu cầu. Để leo lên vị trí cao hơn, mình nghĩ cần phải cải thiện và duy trì hiệu suất."
11005,"Chúng ta kết thúc mùa giải ở vị trí tệ nhất. Đối với những fan hâm mộ luôn ủng hộ chúng ta, hãy cùng tiến bước mạnh mẽ hơn trong mùa giải tới."
11006,Đội đã giành chức vô địch Thế giới nhờ huấn luyện xuất sắc! Các tuyển thủ và người hâm mộ đang ăn mừng chiến thuật đỉnh cao của các bạn. Xin chúc mừng.
11007,"Nó không thắng, nhưng đã thể hiện xuất sắc. Hãy cố gắng giành chức vô địch Thế giới mùa tới nhé!"
11008,"Thật tiếc, nhưng đây là một cấp độ ấn tượng. Hãy nâng tầm sức mạnh ở mùa giải tới và nỗ lực giành ngôi Vô địch Thế giới kế tiếp!"
11009,"Bạn đã vào giải đấu thành công. Mùa tới, hãy cùng tiến lên các giải cao hơn."
11010,"Thật tiếc, giải đấu đã không thành công. Nhưng hãy tiến tới Chung Kết Thế Giới mùa tới và đặt mục tiêu giành ngôi vô địch."
20000,Giao hữu Đường / Vận hành
20001,Cân bằng
20002,Teamfight
20003,Tùy chỉnh
21000,"Chiến thuật này là ""roll snowball"" dựa trên các trận giao tranh đường mạnh mẽ. {{- Thích hợp khi bạn có lợi thế trong giao tranh đường. {- Khi gặp đòn tấn công yếu, bạn có thể bị đảo ngược thành một cú đánh duy nhất."
21001,Đội hình} Trận đấu nhóm} Hoạt động – Chơi game một cách cân bằng. {{-Phù hợp khi mức độ kỹ năng của các người chơi đồng đều.
21002,Đây là chiến thuật “one‑shot” – nhằm hạ đối phương chỉ bằng một đòn duy nhất. {{- Thích hợp khi đội có khả năng “one‑shot” mạnh mẽ.
21003,Đây là chiến lược của bạn.
22000,Trung tâm của trận đấu
22001,Trung tâm của một pha gank
22002,Lệnh chính
23000,"Chọn khả năng để trở thành trung tâm của trận đấu. Các chỉ số đội sẽ được tăng lên. Thay vào đó, phần còn lại của sức mạnh sẽ giảm xuống."
23001,Jungler quyết định đường sẽ thực hiện gank.
23002,Đặt vị trí tập trung vào việc điều hành. Lệnh chính sẽ tăng tỷ lệ tham gia điều hành của đội.
24000,Cân bằng
24001,Đường
24002,Giao tranh đội
24003,Chiến dịch
24004,Cân bằng
24005,Đường trên
24006,Đường giữa
