ID,Name,Dec
1000,Tägliche Login‑Belohnung,Tägliche Login‑Belohnung
1001,3 tägliche Belohnungen,Heutige 3‑Match‑Belohnungen
1002,Support,Du kannst den Entwickler über Twonation sponsern.
1003,Analyse,"Bitte prüft das, und wir belohnen euch."
1004,Tutorial abgeschlossen,Tutorial abschließen
1005,Silber‑Rang‑Erfolg,Multiplay‑Silberrang erreichen
1006,Gold‑Rang‑Erfolg,Erreiche den Multiplay‑Goldrang
1007,Platin‑Rang‑Erfolg,Erreiche den Platin‑Rang im Mehrspielermodus.
1008,Diamant‑Rang‑Erreichung,Erreiche den Diamond‑Rang im Mehrspieler.
1009,Meister‑Rang‑Errungenschaft,Erreiche den Multiplay‑Master‑Rang
1010,Challenger‑Errungenschaft,Multiplay‑Challenger‑Rang erreichen
1011,Liga‑Champion,Erster Platz in der Liga erreicht.
1012,Silbermedaille,Den zweiten Platz in der Liga erreicht.
1013,Bronzemedaille,Drittplatzierung in der Liga erreicht.
1014,3 Champions,Erziele 3 Ligatitel
1015,3 Silbermedaillen,Den zweiten Platz in drei Ligen erreicht.
1016,3 Bronze‑Medaillen,Erreichte den dritten Platz in drei Ligen.
1017,5 Champions,Erziele 5 Ligatitel
1018,5 Silbermedaillen,Sichere dir den zweiten Platz in fünf Ligen.
1019,5 Bronze‑Medaillen,Erziele den dritten Platz in fünf Ligen.
1020,Erste Saison,Frist für die erste Saison
1021,Dritte Saison,Frist für die dritte Saison
1022,Fünfte Saison,Deadline der 5. Saison
1023,10. Saison,10. Saison‑Deadline
1024,6 tägliche Belohnungen,Heutige 6‑Match‑Belohnungen
1025,Silber‑Rang‑Erfolg,Erreiche den Multiplay‑Silberrang
1026,Gold‑Rang‑Erfolg,Multiplay‑Goldrang erreichen
1027,Platin‑Rang‑Erfolg,Erreiche den Multiplayer‑Platinrang
1028,Diamant‑Rang‑Erreichung,Erreiche den Multiplay‑Diamant‑Rang
1029,Meister‑Rang‑Erfolg,Erreiche den Multiplay‑Master‑Rang
1030,Challenger‑Erfolg,Erreiche den Multiplay‑Challenger‑Rang
1031,Tägliches Match‑Limit,"Anzahl der Matches pro Tag, in denen du Essenz erhalten kannst"
