ID,Dec
11000,¡Tu equipo ganó la liga con un gran coaching! ¡Preparémonos para llevarnos el Campeonato Mundial!
11001,"Aunque no ganó, hizo un gran trabajo. ¡El baño de nieve se lleva a cabo en el Campeonato del Mundo!"
11002,"No era un campeonato, ¡pero logramos clasificar al Mundial!"
11003,"No era un campeonato, pero es una buena clasificación para intentar ganar la próxima temporada."
11004,"El peor escenario se evitó, pero el puesto no fue bueno. Para escalar más en la clasificación creo que necesita una puesta a punto."
11005,"Terminamos la temporada en la peor posición. ¡A los fans que nos apoyan, vamos a ir más lejos la próxima temporada!"
11006,¡El equipo se llevó el Campeonato Mundial con una dirección magistral! Jugadores y fanáticos celebran tu gran liderazgo. ¡Felicidades!
11007,"No ganó, pero hizo un gran trabajo. ¡Vamos a intentar llevarnos el Campeonato Mundial la próxima temporada!"
11008,"¡Desafortunadamente, es una gran calificación! Vamos a aumentar nuestra potencia la próxima temporada y buscar el título de Campeón Mundial."
11009,"¡Has ingresado exitosamente al torneo! En la próxima temporada, ¡apuntemos a torneos de mayor nivel!"
11010,"Desafortunadamente, el torneo se vino abajo. Pero no hay problema, vamos a luchar por un puesto en el Campeonato Mundial la próxima temporada y apuntar al título."
20000,Exhibición de línea / Operación
20001,Equilibrio
20002,Teamfight
20003,Personalizado
21000,Es una estrategia para generar bolas de nieve basada en enfrentamientos fuertes en la línea. {{-Es adecuada cuando tienes un fuerte duelo en la línea. {-Puedes ser revertido a un solo disparo cuando tienes un golpe débil.}}
21001,Alineación} Combate de equipo} Operación Juega de manera equilibrada. {{-Esto es adecuado cuando la habilidad de los jugadores está igualada.
21002,Es una estrategia que busca conseguir la eliminación en un único disparo. {{- Es ideal cuando un equipo posee una alta capacidad de burst.}}
21003,¡Esta es tu estrategia!
22000,El centro del juego
22001,El centro de un gank
22002,Orden principal
23000,"Elige la habilidad que sea el centro de la partida. Las estadísticas del equipo aumentarán. En cambio, el resto del poder se perderá."
23001,¡El jungla elige la línea donde realizará los gankeos!
23002,Establece una posición centrada en las operaciones. La orden principal incrementará la proporción del juego en equipo.
24000,Equilibrio
24001,Línea
24002,Teamfight
24003,Operación
24004,Equilibrio
24005,Top
24006,Mid
24007,Bot
24008,Top
24009,Jungla
24010,Mid
24011,AD
24012,Soporte
25000,¡Ataque!
25001,Balanceado
25002,Tanque
25003,Ataque
25004,Balanceado
25005,Tanquero
25006,Ataque
25007,Balanceado
25008,Soporte
25009,¡Ataque!
25010,Balanceado
25011,Utilidad
25012,¡Ataque!
25013,Balanceado
25014,Tanque
26000,Presiona fuertemente al oponente en la línea. También toma el control de la operación a través del split. {{▲ Aumentan las estadísticas de Operación. {{-Los puntos ganados o perdidos en la línea aumentan. {{▼ Disminuyen las estadísticas de Teamfight.
26001,Tanque básico
26002,"Influencia se reduce en batallas de línea. Sin embargo, es más fuerte en las peleas de equipo. {{▲ La capacidad en teamfight aumenta. {{- Los puntos ganados o perdidos en la línea disminuyen. {{▼ La estadística de operación se reduce."
26003,"El gank se vuelve poderoso. Sin embargo, hay un alto riesgo de fallar el gank. {{▲ Aumentan las estadísticas de línea. {{"
26004,Tanque de daño básico.
26005,"La capacidad de gank se reduce. Sin embargo, la capacidad de golpe aumenta. {{▲ La capacidad de golpe aumenta. {{▼ La capacidad de alineación disminuye."
26006,Presiona con fuerza al adversario en la línea. También toma el control de la operación mediante el split. {{▲ Aumentan las estadísticas de Operación. {{-Los puntos ganados o perdidos en la línea aumentan. {{▼ Disminuyen las estadísticas de Teamfight.}}
26007,Campeón nuker básico.
26008,El objetivo es mejorar la capacidad del One Dil. {{▲ Aumenta la estadística de One Dil.
26009,"Los primeros minutos son poderosos. Sin embargo, a medida que avanza el tiempo, se debilita. {{▲ Alineación hasta los primeros 20 minutos} La capacidad de teamfight aumenta. {{▼ La capacidad de teamfight disminuye a partir de la segunda mitad."
26010,Campeón básico de una sola jugada.
26011,Enfocándose en ayudar al equipo más que en el rol de Carrie. {{▲ Las estadísticas operativas suben. {{▼ Las estadísticas de líneas bajan.
26012,"La pelea de línea es poderosa. Sin embargo, operar con poca vida es arriesgado. {{▲ Aumentan las estadísticas del alineamiento. {{-Los puntos ganados o perdidos por la operación aumentan."
26013,Campeón de soporte básico.
26014,Débil en líneas. Sin embargo} es fuerte en teamfights. {{▲ La estadística de teamfight ha aumentado. {{▼ La estadística de líneas ha disminuido.
30000,"Si no puedes iniciar sesión en Google, no podrás jugar en modo multijugador. Inicia sesión en Google."
30001,Hubo un final anormal del juego durante el último partido de la serie. El juego se declaró por abandono.
30002,¡Felicidades! ¡Has ascendido al siguiente nivel!
30003,¡Has sido relegado por derrotas constantes!
30004,Iniciando sesión
30005,¡Hay un problema! Motivo del incidente:
30006,"Se ha perdido la conexión a Internet. Cuando recuperes la conexión, serás reconectado automáticamente."
30007,Se perdió la conexión a Internet durante la partida múltiple. {Si haces clic en Aceptar} saldrás del estadio.
30008,Hubo un problema al encontrar a tu oponente. {Presiona OK para salir del estadio.
30009,El juego no está actualizado. Necesitas actualizar a la última versión para jugar la partida. {{Presiona el botón abajo para volver a comprobar la versión} o dirígete a la página de actualización.
30010,Revisando
30011,No es la última versión.
30012,Minuto
30013,Has sido reportado como jugador con trampas y no puedes jugar partidas multijugador.{{Por favor envía un correo a hucce@gmail.com para cualquier consulta.
30014,Estás registrado como jugador tramposo.
30015,"Comprobando el servidor multijugador. Por favor, espera hasta que finalice la verificación."
30016,No se pudo cargar la lista. Inicia sesión con Google en Multiplay.
31000,Gracias por jugar. Tu reseña es de gran ayuda para el desarrollador. Recibirás 300 Esencia como recompensa.
32000,¡Gracias por ver el anuncio! Haz clic en **OK** para recibir tu recompensa por la visualización.
32001,"Anuncio omitido  
Debes ver el anuncio hasta el final para recibir la recompensa."
32002,"No se pudo cargar el anuncio. Por favor, verifica tu conexión a Internet."
36000,Puntuación de la liga
36001,M
36002,W
36003,L
36004,Historial
36005,Top
36006,Resultados del Partido
36007,¡Recibir!
36008,Completar
36009,Incompleto
36010,Enlace
36011,Temporada
33000,Solo se puede mejorar hasta el nivel 10.
33001,Éxito
33002,Fallo
33003,Probabilidad de éxito
33004,Diferencia
33005,¿Quieres saltarte el tutorial? No podrás obtener las recompensas del tutorial.
33006,El idioma cambiará al reiniciar la partida.
34000,Comprobación de versión de Google Play Services
34001,¡Inicio de sesión en Google Play completado!
34002,Inicio de sesión en el servidor completado
34003,Confirmación de guardado en la nube completa
34004,¡Importación de datos completada!
34005,Error al reintentar
34006,¡Error! Cambiar al modo fuera de línea.
33007,Ronda
33008,Carril
33009,Teamfight
33010,Operación
33011,Top
33012,mid
33013,Bot
33014,¡Gran Derrota!
33015,Derrota
33016,Bearish
33017,Contention
33018,Superioridad
33019,¡VICTORIA!
33020,¡Gran victoria!
33021,Gank del jungla del equipo.
33022,Día
33023,Recompensa de Fin de Temporada
33024,¡Ya se ha enviado la solicitud a tu amigo!
33025,¡Ya es tu amigo!
33026,¿Estás seguro de que deseas eliminar a este amigo?
33027,¡Estrategia copiada!
33028,Tipos
33029,Ban
33030,Declaración
33031,Error / Sugerencias
33032,Invitación de manager. Conviértete en manager de un equipo de LoL.
33033,Valoración final
33034,La recompensa final
33035,¡Inicio de temporada!
33036,¡Ha comenzado una nueva temporada!
33037,Contribución al Salón de la Fama
33038,Descanso
33039,¡Esencia insuficiente!
37000,nan
37001,Esencia
37002,Paquete
37003,Paquete
38000,Todo
38001,Plata
38002,Oro
38003,Platino
33040,Todo
33041,Plata
33042,Oro
33043,Platino
33044,Diamante
33045,Desafiante
33046,Maestro
33047,Reclutamiento
33048,Paquete
33049,Presentación
33050,Con edición limitada
33051,¡Solo limitado!
33052,Intercambio
33053,Agregar
33054,Eliminar
33055,Total
33056,Estadísticas
33057,Bronce
33058,¡Hasta el próximo ascenso de rango!
33059,¡Muévete!
33060,¡Recibir!
33061,Ese jugador ya está en la lista de alineación.
33062,No hay datos.
33063,Los datos son anormales.
33064,Razón
33065,Próxima fecha de inicio de Crush
33066,¡Error al crear el torneo! {{Toque Reintentar}} para iniciar uno nuevo.
33067,¡El servidor está recibiendo datos!
33068,Los datos no se recibieron correctamente.
33069,Presentación del jugador de la temporada
33070,Entrada al Campeonato Mundial
33071,Jugadores seleccionados que debutaron en la liga este año y miran con ansias el futuro. Solo se obtiene como recompensa de temporada.
33072,¿Quieres cancelar la partida automática?{Los objetos usados desaparecerán.
33073,¿Estás seguro de que quieres restablecer tu cuenta? Los datos guardados se borrarán y el juego se reiniciará.
33074,¡El mismo entrenador ya está registrado!
33075,¿Estás seguro de que quieres eliminar al entrenador? Obtendrás 30 de esencia.
33076,¿Te gustaría cambiar el nombre de tu equipo? Usa 500 Esencia.
33077,Info de Reclutamiento
33078,Información de probabilidad
33079,Al ver el anuncio
33080,Al ver el anuncio de Esencia
