ID,Dec
11000,فريقك فاز بالدوري بفضل التدريب المميز! لنستعد الآن للفوز ببطولة العالم.
11001,"على الرغم من عدم فوزه، فقد قام بأداء مميز. تم تنفيذ ""Snow Bathing"" في بطولة العالم!"
11002,لم يكن بطولة، لكننا نجحنا في التأهل إلى كأس العالم!
11003,لم تكن بطولة، لكنها تصنيفة جيدة لتسعى للفوز بها في الموسم القادم.
11004,تم تجنّب الأسوأ، لكن الترتيب لم يكن جيدًا. للحصول على ترتيب أعلى، أعتقد أنه يحتاج إلى صيانة.
11005,أنهينا الموسم في أسوأ موقع. للجماهير التي تدعمنا، هيا نرتقي إلى المستوى التالي في الموسم القادم.
11006,فاز الفريق ببطولة العالم بفضل التدريب الرائع! اللاعبون والجماهير يحتفلون بقيادتكم المتميزة. مبروك.
11007,لم يفز، لكنه قدم أداءً رائعًا. هيا نحاول الفوز ببطولة العالم الموسم القادم!
11008,للأسف، النتيجة رائعة. لنرفع قوتنا في الموسم القادم ولنستهدف الفوز بالبطولة العالمية التالية.
11009,تم تسجيل دخولك إلى البطولة بنجاح. في الموسم القادم، لننطلق نحو البطولات العليا.
11010,للأسف، فشل البطولة. لكن لا تقلقوا، سننتقل إلى بطولة العالم الموسم القادم ونستهدف اللقب.
20000,معرض الخط / العملية
20001,التوازن
20002,قتال الفريق
20003,مخصَّص
21000,إنها استراتيجية لتدوير الثلوج بناءً على معارك خطوط قوية. {{-تكون مناسبة عندما تكون لديك معركة خطية قوية. {-يمكن أن تُعكس إلى ضربة واحدة عندما تواجه هجمة ضعيفة.
21001,التشكيلة} معركة الفريق} العملية — العب اللعبة بطريقة متوازنة. {{-هذا مناسب عندما تكون قدرة اللاعبين متساوية.
21002,إنها إستراتيجية تستهدف القتل الفوري بضربة واحدة. {{-تُستَخدم عندما يكون لدى الفريق قدرة عالية على الإقصاء بطلقة واحدة.}}
21003,هذه هي استراتيجيتك.
22000,مركز اللعبة
22001,مركز الغنك
22002,الترتيب الرئيسي
23000,اختر القدرة لتصبح محور اللعبة. ستزداد إحصائيات الفريق. بدلاً من ذلك، سيتراجع باقي القوة.
23001,يقرر الجونگلر المسار للغنكينج.
23002,حدد موقعًا يركز على العمليات. سيزيد الأمر الرئيسي من نسبة تشغيل الفريق.
24000,التوازن
24001,الخط
24002,معركة فريقية
24003,عملية
24004,التوازن
24005,التوب
24006,ميد
24007,البوت
24008,التوب
24009,الغابة
24010,ميد
24011,الضرر الهجومي (AD)
24012,دعم
25000,هجوم
25001,متوازن
25002,تانكر
25003,هجوم
25004,متوازن
25005,تانكر
25006,هجوم
25007,متوازن
25008,داعم
25009,هجوم
25010,متوازن
25011,الفائدة
25012,هجوم
25013,متوازن
25014,تانكر
26000,اضغط بقوة على الخصم في الخط. كما يسيطر على العملية عبر الانقسام. {{▲ إحصائيات العملية ترتفع. {{-نقاط المكسب أو الخسارة في الخط تزداد. {{▼ إحصائية القتال الجماعي تنخفض.
26001,تانك أساسي
26002,"يقلّ تأثيره في المعارك على الخط، لكنه يصبح أقوى في القتال الجماعي.  
{{▲ يتم زيادة قدرة القتال الجماعي.  
{{- تُخفض النقاط المكتسبة أو المفقودة على الخط.  
{{▼ يُنخفض إحصاء العملية."
26003,تصبح الغنكة أقوى، لكن هناك خطر كبير من فشلها. ▲ تزداد إحصائيات الخط.
26004,دبابة أساسية
26005,انخفاض قدرة الغنك. ومع ذلك} تزداد القدرة على الضرب. {{▲ تزداد القدرة على الضرب. {{▼ تنخفض قدرة التشكيلة.
26006,اضغط بقوة على الخصم في الخط. كما يتحكم في العملية عبر الانقسام. {{▲ ارتفع إحصائيات العملية. {{- زيادة النقاط المكتسبة أو المفقودة على الخط. {{▼ انخفاض إحصائي المعركة الجماعية.
26007,بطل نَكر أساسي
26008,الهدف هو تعزيز قدرة الـ«ون ديِل». {{▲ يزداد إحصائيات الـ«ون ديِل».}}
26009,الأيام الأولى تكون قوية، لكن مع مرور الوقت تضعف. {{▲ تشكيلة حتى الدقيقة الـ20 الأولى} يزداد قدر الفريق في القتال الجماعي. {{▼ قدرة الفريق في القتال الجماعي تنخفض من النصف الثاني.
26010,بطل أساسي يُقهر بصفقة واحدة.
26011,التركيز على مساعدة الفريق بدلاً من دور كاري. {{▲ ارتفعت الإحصائيات التشغيلية. {{▼ انخفضت إحصاءات الخطوط.
26012,الاشتباك في الخط قوي، لكن اللعب بكمية صحة منخفضة يُعد خطرًا. {{▲ إحصائيات التشكيلة ترتفع. {{- نقاط العملية المكتسبة أو المفقودة تزداد.
26013,بطل دعم أساسي
26014,ضعيف في الخطوط. ومع ذلك، قوي في القتال الجماعي. {{▲ تم زيادة إحصائية القتال الجماعي. {{▼ تم خفض إحصائية الخطوط.
30000,إذا لم تستطع تسجيل الدخول إلى جوجل، فلن تتمكن من لعب وضع متعدد اللاعبين. يرجى تسجيل الدخول إلى جوجل.
30001,كان هناك إنهاء غير طبيعي للمباراة خلال آخر مباراة متعددة. تم التخلي عن اللعبة.
30002,مبروك! تم ترقيتك إلى المستوى التالي!
30003,تم خفض رتبك بسبب الهزائم المتتالية.
30004,تسجيل الدخول
30005,هناك مشكلة. سبب المشكلة:
30006,تم فقدان الاتصال بالإنترنت. عند استعادة اتصالك بالإنترنت، سيتم إعادة توصيلك تلقائيًا.
