ID,Dec
11000,Tim Anda memenangkan liga dengan pelatihan hebat! Mari bersiap untuk memenangkan kejuaraan dunia.
11001,"Meskipun tidak menang, itu melakukan pekerjaan dengan baik. Mandi salju dilakukan di juara dunia!"
11002,"Itu bukan kejuaraan. Namun, kami berhasil maju ke kejuaraan dunia!"
11003,Itu bukan kejuaraan. Tapi ini peringkat yang baik untuk mencoba memenangkan musim depan.
11004,"Yang terburuk dihindari, tetapi itu bukan peringkat yang baik. Untuk peringkat yang lebih tinggi} Saya pikir itu perlu perawatan."
11005,Kami mengakhiri musim dalam posisi terburuk. Untuk para penggemar yang mendukung kami} Ayo lanjutkan untuk musim berikutnya.
11006,Tim memenangkan Kejuaraan Dunia dengan Great Coaching! Pemain dan penggemar merayakan komando besar Anda. Selamat.
11007,"Itu tidak menang, tetapi itu melakukan pekerjaan dengan baik. Mari kita coba memenangkan kejuaraan dunia musim depan!"
11008,"Sayangnya, ini kelas yang bagus. Mari kita meningkatkan kekuatan kita musim depan dan mencoba memenangkan juara dunia berikutnya."
11009,"Anda telah berhasil memasuki turnamen. Musim depan, mari kita menuju turnamen yang lebih tinggi."
11010,"Sayangnya, turnamen gagal. Sayangnya, mari kita maju ke kejuaraan dunia musim depan dan bertujuan untuk kejuaraan."
20000,Pameran / Operasi Line
20001,Keseimbangan
20002,Pertarungan tim
20003,Adat
21000,Ini adalah strategi untuk menggulung bola salju berdasarkan pertempuran garis kuat. {{-Ini cocok ketika Anda memiliki pertempuran garis yang kuat. {-Anda dapat dikembalikan ke satu tembakan ketika Anda memiliki pukulan lemah.
21001,Lineup} Operasi Hanta} Mainkan game dengan cara yang seimbang. {{-Ini cocok ketika kemampuan pemain bahkan.
21002,Ini adalah strategi yang bertujuan untuk satu tembakan melalui satu tembakan. {{-Ini cocok ketika sebuah tim memiliki kemampuan satu tembakan yang kuat. {
21003,Ini strategi Anda.
22000,Pusat permainan
22001,Pusat ganking
22002,Pesanan utama.
23000,Pilih kemampuan untuk menjadi pusat permainan. Statistik tim akan meningkat. Sebaliknya} sisa kekuatan jatuh.
23001,Jungler memutuskan garis untuk gankinging.
23002,Tetapkan posisi yang berfokus pada operasi. Pesanan utama akan meningkatkan proporsi operasi tim.
24000,Keseimbangan
24001,Garis
24002,Pertarungan tim
24003,Operasi
24004,Keseimbangan
24005,Puncak
24006,Pertengahan
24007,Bawah
24008,Puncak
24009,Hutan
24010,Pertengahan
24011,IKLAN
24012,Dukung
25000,Menyerang
25001,Seimbang
25002,Truk tangki
25003,Menyerang
25004,Seimbang
25005,Truk tangki
25006,Menyerang
25007,Seimbang
25008,Pendukung
25009,Menyerang
25010,Seimbang
25011,Utilitas
25012,Menyerang
25013,Seimbang
25014,Truk tangki
26000,Sangat menekan lawan sesuai. Ini juga mengambil kendali atas operasi melalui split. {{▲ Statistik operasi meningkat. {{-Points naik atau hilang pada peningkatan garis. {{▼ hanta stat lowers.
26001,Tangki kesepakatan dasar.
26002,Pengaruh berkurang dalam pertempuran garis. Namun} Dia lebih kuat di Hanta. {{▲ Kemampuan Hanta meningkat. {{-Points yang diperoleh atau hilang pada garis diturunkan. {{▼ stat operasi diturunkan.
26003,Ganking menjadi kuat. Namun} ada risiko tinggi dari kegagalan ganking. {{▲ Statistik baris meningkat. {{
26004,Tangki kesepakatan dasar.
26005,Kemampuan ganking diturunkan. Namun} kemampuan memukul meningkat. {{▲ Kemampuan memukul meningkat. {{▼ kemampuan lineup turun.
26006,Sangat menekan lawan sesuai. Ini juga mengambil kendali atas operasi melalui split. {{▲ Statistik operasi meningkat. {{-Points naik atau hilang pada peningkatan garis. {{▼ hanta stat lowers.
26007,Champ nuker dasar.
26008,Tujuannya adalah untuk meningkatkan kemampuan satu DIL. {{▲ SATU SATU SATU MENINGKATKAN.
26009,Hari-hari awal sangat kuat. Namun} seiring berjalannya waktu} itu menjadi lebih lemah. {{▲ Line-up sampai 20 menit pertama} kemampuan hanta meningkat. {{▼ kemampuan hanta berkurang dari babak kedua.
26010,Champ satu-satunya dasar.
26011,Berfokus pada membantu tim daripada peran Carrie. {{▲ Statistik operasional naik. {{▼ statistik baris turun.
26012,Pertarungan lini sangat kuat. Namun} berbahaya untuk beroperasi dengan kesehatan yang rendah. {{▲ Statistik line-up meningkat. {{-Points yang diperoleh atau hilang dari peningkatan operasi.
26013,Juara pendukung dasar.
26014,Lemah sejalan. Namun} itu kuat di Hanta. {{▲ Stat Hanta meningkat. {{▼ garis stat diturunkan.
30000,"Jika Anda tidak dapat masuk ke Google, Anda tidak dapat memainkan multipemain. Silakan masuk Google."
30001,Ada akhir yang abnormal dari permainan selama Multi Match terakhir. Permainan itu hangus.
30002,Selamat! Anda dipromosikan ke tingkat berikutnya!
