ID,Dec
11000,ทีมของคุณชนะลีกด้วยการโค้ชที่ยอดเยี่ยม! มาเตรียมพร้อมเพื่อคว้าแชมป์ World Championship กันเถอะ!
11001,แม้จะไม่ได้ชนะ แต่ก็ทำได้ยอดเยี่ยมเลย! การอาบหิมะจบที่ระดับแชมป์โลก!
11002,มันไม่ได้เป็นการแข่งขันชิงแชมป์ แต่เราก็ประสบความสำเร็จในการผ่านเข้ารอบเวิลด์ชัมเปียนชิป!
11003,มันไม่ได้เป็นการชิงแชมป์ แต่ก็เป็นอันดับที่ดีให้พวกเราไล่ตามและคว้าชัยในซีซั่นหน้าที่จะมาถึง。
11004,ความแย่ที่สุดอาจหลีกเลี่ยงได้แล้ว แต่อันดับก็ยังไม่ดีพอ สำหรับการขึ้นอันดับที่สูงกว่า ผมคิดว่าต้องมีการปรับแต่งเพิ่มเติม.
11005,เราจบฤดูกาลในอันดับแย่ที่สุด สำหรับแฟน ๆ ที่คอยสนับสนุนเรา​ ไปต่อให้ไกลกว่าเดิมในซีซั่นหน้า!
11006,ทีมชนะแชมป์โลกด้วยการโค้ชที่ยอดเยี่ยม! ผู้เล่นและแฟน ๆ ร่วมฉลองคำสั่งอันทรงพลังของคุณ ขอแสดงความยินดีครับ.
11007,มันอาจไม่ได้ชนะ แต่ทำผลงานได้ยอดเยี่ยมแล้ว ลองมาทำให้แชมป์โลกในฤดูกาลหน้ากันเถอะ!
11008,น่าเสียดายที่ได้เกรดยอดเยี่ยมแล้ว ทีนี้มาเพิ่มพลังทีมในซีซั่นหน้ากันเลย และตั้งเป้าชิงตำแหน่ง World Champion ครั้งถัดไป!
11009,คุณได้เข้าร่วมการแข่งขันสำเร็จแล้ว! ซีซั่นหน้ามาเตะสู่ทัวร์นาเมนต์ระดับที่สูงกว่า together กันเลย!
11010,น่าเสียดายที่ทัวร์นาเมนต์นี้ล้มเหลวแล้ว แต่เราจะก้าวต่อไปสู่การแข่งขันระดับเวิลด์ชัมพิออนในซีซั่นหน้าและตั้งเป้าหมายคว้าแชมป์ให้ได้!
20000,การจัดแสดงสาย / ปฏิบัติการ
20001,สมดุล
20002,ทีมไฟท์
20003,กำหนดเอง
