ID,Korean,Dec
1000,효과음,Effet sonore
1001,배경음,Son de fond
1002,언어,Langue
1003,만든이: 허민구{연락: huccce@gmail.com,Créé par: heo min-gu {Contact: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Chargement / {Google Connexion
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Atyle> {{Il y a plusieurs données. Veuillez sélectionner les données à charger. {Les données non sélectionnées seront supprimées.
1006,팀이름,Nom de l'équipe
1007,라운드,Rond
1008,정수,Essence
1009,저장날짜,Économiser la date
1010,결정,Décision
1011,경기,Correspondre
1012,리그,Ligue
1013,전략,Stratégie
1014,선수{관리,Joueur {Management
1015,영입{시장,Recrutement {marché
1016,멀티{대전,Multi {correspond
1017,계정,Compte
1018,순위,Rang
1019,승,DANS
1020,패,L
1021,라인전,Doubler
1022,한타,Combat d'équipe
1023,운영,Opération
1024,포지션,Position
1025,이름,Nom
1026,종합,Total
1027,일정,Calendrier
1028,상대팀,Équipe adverse
1029,총합,Total
1030,결과,Résultat
1031,승리,Victoire
1032,패배,Défaite
1033,간편,Simple
1034,지침,Ligne directrice
1035,픽밴,Choisir l'interdiction
1036,설정,Ensemble
1037,설명,Explication
1038,라인,Doubler
1039,타입,Taper
1040,등급,Notation
1041,강화,Renforcer
1042,재조합,Recombinaison
1043,팀케미,Team Chemie
1044,선발 선수,Joueur de départ
1045,후보 선수,Sous-joueur
1046,레벨 포인트,Point de niveau
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie (▲ 2) {Year Chemie (▲ 1) {Type Chemie (▲ 1) {League Chemie (▲ 1)
1048,케미스트리,Chimie
1049,재조합 선수,Joueur recombinant
1050,제거,Retirer
1051,강화 선수,Joueur de renforcement
1052,재료 선수,Joueur
1053,성공확률:,Chance de réussite:
1054,영입시장,Marché du recrutement
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Regardez les annonces sponsorisées pour obtenir des récompenses.
1056,5번 보시면 200정수를 추가로 드립니다.,"Si vous regardez 5 fois}, vous recevrez une 200ssence supplémentaire."
1057,골드 영입,Recrutement d'or
1058,실버 선수,Joueur argenté
1059,시청,Montre
1060,플레,Platine
1061,골드,Or
1062,선수명단,Liste des joueurs
1063,가격,Prix
1064,추천,Recommander
1065,구입,Acheter
1066,탑 랭킹,Rang supérieur
1067,내 순위,Mon rang
1068,새로고침시간,Actualiser le temps
1069,대전정보,Faire correspondre les informations
1070,대전찾기,Recherche de correspondance
1071,선수,Joueur
1072,감독,Directeur
1073,로그인,Se connecter
1074,확인,Confirmer
1075,일일,Jour
1076,업적,Réalisations
1077,기타,Etc
1078,보상,Récompense
1079,공지사항,Avis
1080,계속,Continuer
